model,pooling,classifier,concat,delta,x_only,y_only
bert-base-uncased,cls,linear_svc,0.8269444444444445,0.8775,0.16666666666666666,0.7397222222222222
bert-base-uncased,cls,logreg,0.7030555555555555,0.72,0.16666666666666666,0.6780555555555555
bert-base-uncased,last_token,linear_svc,0.7563888888888889,0.8513888888888889,0.16666666666666666,0.7508333333333334
bert-base-uncased,last_token,logreg,0.6791666666666667,0.7102777777777778,0.16666666666666666,0.6847222222222222
bert-base-uncased,mean,linear_svc,0.885,0.8958333333333334,0.16666666666666666,0.8805555555555555
bert-base-uncased,mean,logreg,0.8725,0.8844444444444445,0.16666666666666666,0.8602777777777778
gpt2,cls,linear_svc,0.36833333333333335,0.38666666666666666,0.16666666666666666,0.36833333333333335
gpt2,cls,logreg,0.3422222222222222,0.3202777777777778,0.16666666666666666,0.36833333333333335
gpt2,last_token,linear_svc,0.7469444444444444,0.7563888888888889,0.16666666666666666,0.72
gpt2,last_token,logreg,0.6452777777777777,0.6683333333333333,0.16666666666666666,0.6252777777777778
gpt2,mean,linear_svc,0.7822222222222223,0.845,0.16666666666666666,0.7538888888888889
gpt2,mean,logreg,0.7802777777777777,0.7491666666666666,0.16666666666666666,0.7633333333333333
roberta-base,cls,linear_svc,0.8236111111111111,0.8736111111111111,0.16666666666666666,0.7911111111111111
roberta-base,cls,logreg,0.7944444444444444,0.8513888888888889,0.16666666666666666,0.7669444444444444
roberta-base,last_token,linear_svc,0.7655555555555555,0.765,0.16666666666666666,0.7041666666666667
roberta-base,last_token,logreg,0.7055555555555556,0.6755555555555556,0.16666666666666666,0.6738888888888889
roberta-base,mean,linear_svc,0.8630555555555556,0.8786111111111111,0.16666666666666666,0.8430555555555556
roberta-base,mean,logreg,0.815,0.8091666666666667,0.16666666666666666,0.8016666666666666
