model,layer,target_class,control,gain,target_marker_rate,other_marker_rate,mean_generated_chars,rows
distilgpt2,2,modality,negative_target,0.75,0.0,0.0,62.541666666666664,24
distilgpt2,2,modality,negative_target,1.5,0.0,0.0,52.083333333333336,24
distilgpt2,2,modality,negative_target,3.0,0.0,0.0,55.791666666666664,24
distilgpt2,2,modality,none,0.0,0.0,0.0,93.95833333333333,24
distilgpt2,2,modality,random_norm,0.75,0.0,0.0,100.125,24
distilgpt2,2,modality,random_norm,1.5,0.0,0.041666666666666664,87.20833333333333,24
distilgpt2,2,modality,random_norm,3.0,0.0,0.0,53.958333333333336,24
distilgpt2,2,modality,target,0.75,0.0,0.0,103.58333333333333,24
distilgpt2,2,modality,target,1.5,0.0,0.041666666666666664,104.875,24
distilgpt2,2,modality,target,3.0,0.0,0.08333333333333333,108.58333333333333,24
distilgpt2,2,modality,wrong_class,0.75,0.0,0.0,56.875,24
distilgpt2,2,modality,wrong_class,1.5,0.0,0.041666666666666664,55.583333333333336,24
distilgpt2,2,modality,wrong_class,3.0,0.0,0.041666666666666664,42.208333333333336,24
distilgpt2,2,negation,negative_target,0.75,0.0,0.0,90.25,24
distilgpt2,2,negation,negative_target,1.5,0.0,0.041666666666666664,38.375,24
distilgpt2,2,negation,negative_target,3.0,0.0,0.0,0.0,24
distilgpt2,2,negation,none,0.0,0.0,0.0,93.95833333333333,24
distilgpt2,2,negation,random_norm,0.75,0.0,0.0,77.83333333333333,24
distilgpt2,2,negation,random_norm,1.5,0.0,0.0,62.125,24
distilgpt2,2,negation,random_norm,3.0,0.0,0.041666666666666664,70.0,24
distilgpt2,2,negation,target,0.75,0.041666666666666664,0.041666666666666664,87.29166666666667,24
distilgpt2,2,negation,target,1.5,0.08333333333333333,0.20833333333333334,90.66666666666667,24
distilgpt2,2,negation,target,3.0,0.0,0.0,0.0,24
distilgpt2,2,negation,wrong_class,0.75,0.0,0.0,74.79166666666667,24
distilgpt2,2,negation,wrong_class,1.5,0.0,0.041666666666666664,75.5,24
distilgpt2,2,negation,wrong_class,3.0,0.0,0.041666666666666664,73.16666666666667,24
distilgpt2,2,question,negative_target,0.75,0.041666666666666664,0.041666666666666664,98.20833333333333,24
distilgpt2,2,question,negative_target,1.5,0.041666666666666664,0.041666666666666664,4.083333333333333,24
distilgpt2,2,question,negative_target,3.0,0.0,0.0,0.0,24
distilgpt2,2,question,none,0.0,0.0,0.0,93.95833333333333,24
distilgpt2,2,question,random_norm,0.75,0.041666666666666664,0.041666666666666664,69.625,24
distilgpt2,2,question,random_norm,1.5,0.08333333333333333,0.08333333333333333,34.583333333333336,24
distilgpt2,2,question,random_norm,3.0,0.0,0.0,18.208333333333332,24
distilgpt2,2,question,target,0.75,0.0,0.0,0.0,24
distilgpt2,2,question,target,1.5,0.0,0.0,0.0,24
distilgpt2,2,question,target,3.0,0.0,0.0,0.0,24
distilgpt2,2,question,wrong_class,0.75,0.0,0.0,101.29166666666667,24
distilgpt2,2,question,wrong_class,1.5,0.041666666666666664,0.08333333333333333,101.375,24
distilgpt2,2,question,wrong_class,3.0,0.041666666666666664,0.041666666666666664,92.25,24
distilgpt2,2,tense_shift,negative_target,0.75,0.0,0.0,91.95833333333333,24
distilgpt2,2,tense_shift,negative_target,1.5,0.0,0.0,79.91666666666667,24
distilgpt2,2,tense_shift,negative_target,3.0,0.0,0.125,84.95833333333333,24
distilgpt2,2,tense_shift,none,0.0,0.0,0.0,93.95833333333333,24
distilgpt2,2,tense_shift,random_norm,0.75,0.0,0.0,103.33333333333333,24
distilgpt2,2,tense_shift,random_norm,1.5,0.0,0.041666666666666664,95.04166666666667,24
distilgpt2,2,tense_shift,random_norm,3.0,0.0,0.0,60.458333333333336,24
distilgpt2,2,tense_shift,target,0.75,0.0,0.0,102.83333333333333,24
distilgpt2,2,tense_shift,target,1.5,0.0,0.0,101.83333333333333,24
distilgpt2,2,tense_shift,target,3.0,0.0,0.041666666666666664,96.5,24
distilgpt2,2,tense_shift,wrong_class,0.75,0.0,0.0,76.5,24
distilgpt2,2,tense_shift,wrong_class,1.5,0.0,0.08333333333333333,75.75,24
distilgpt2,2,tense_shift,wrong_class,3.0,0.0,0.041666666666666664,60.625,24
distilgpt2,4,modality,negative_target,0.75,0.0,0.041666666666666664,79.20833333333333,24
distilgpt2,4,modality,negative_target,1.5,0.0,0.0,63.0,24
distilgpt2,4,modality,negative_target,3.0,0.0,0.0,40.125,24
distilgpt2,4,modality,none,0.0,0.0,0.0,93.95833333333333,24
distilgpt2,4,modality,random_norm,0.75,0.0,0.041666666666666664,103.91666666666667,24
distilgpt2,4,modality,random_norm,1.5,0.0,0.0,93.875,24
distilgpt2,4,modality,random_norm,3.0,0.0,0.041666666666666664,81.08333333333333,24
distilgpt2,4,modality,target,0.75,0.0,0.0,108.91666666666667,24
distilgpt2,4,modality,target,1.5,0.0,0.0,110.95833333333333,24
distilgpt2,4,modality,target,3.0,0.041666666666666664,0.041666666666666664,100.95833333333333,24
distilgpt2,4,modality,wrong_class,0.75,0.0,0.0,80.0,24
distilgpt2,4,modality,wrong_class,1.5,0.0,0.0,77.20833333333333,24
distilgpt2,4,modality,wrong_class,3.0,0.0,0.0,47.416666666666664,24
distilgpt2,4,negation,negative_target,0.75,0.0,0.0,106.04166666666667,24
distilgpt2,4,negation,negative_target,1.5,0.0,0.0,110.08333333333333,24
distilgpt2,4,negation,negative_target,3.0,0.0,0.0,119.16666666666667,24
distilgpt2,4,negation,none,0.0,0.0,0.0,93.95833333333333,24
distilgpt2,4,negation,random_norm,0.75,0.0,0.0,100.125,24
distilgpt2,4,negation,random_norm,1.5,0.0,0.041666666666666664,87.08333333333333,24
distilgpt2,4,negation,random_norm,3.0,0.0,0.08333333333333333,62.416666666666664,24
distilgpt2,4,negation,target,0.75,0.0,0.0,87.58333333333333,24
distilgpt2,4,negation,target,1.5,0.0,0.041666666666666664,87.20833333333333,24
distilgpt2,4,negation,target,3.0,0.0,0.041666666666666664,31.666666666666668,24
distilgpt2,4,negation,wrong_class,0.75,0.0,0.0,70.625,24
distilgpt2,4,negation,wrong_class,1.5,0.0,0.0,66.54166666666667,24
distilgpt2,4,negation,wrong_class,3.0,0.0,0.0,61.541666666666664,24
distilgpt2,4,question,negative_target,0.75,0.041666666666666664,0.041666666666666664,111.875,24
distilgpt2,4,question,negative_target,1.5,0.08333333333333333,0.08333333333333333,80.33333333333333,24
distilgpt2,4,question,negative_target,3.0,0.0,0.0,20.0,24
distilgpt2,4,question,none,0.0,0.0,0.0,93.95833333333333,24
distilgpt2,4,question,random_norm,0.75,0.041666666666666664,0.041666666666666664,77.25,24
distilgpt2,4,question,random_norm,1.5,0.041666666666666664,0.041666666666666664,45.375,24
distilgpt2,4,question,random_norm,3.0,0.0,0.041666666666666664,44.541666666666664,24
