probe,mean_macro_f1,min_macro_f1,max_macro_f1,mean_chance,mean_subspace_rank,n
cyclic_vs_anticyclic_from_endpoint_delta,0.5223860618043873,0.3402061855670102,0.6561245872970406,0.5,1.0,49
endpoint_position_from_endpoint_delta,0.27359890795400926,0.0695714420124202,0.4758831550317441,0.16666666666666663,6.0,49
triple_label_from_single_endpoint_delta,0.7552581812053645,0.3453275243654669,0.9899948053675278,0.25,4.0,49
