model,pair,mean_commutator_norm,std_commutator_norm,mean_relative_commutator_norm,std_relative_commutator_norm,mean_cosine,std_cosine,mean_noncommutativity,std_noncommutativity,n
distilgpt2,MT_vs_TM,10.580908960103988,1.804172091234329,0.8545335042187052,0.21557107873917222,0.7110759772360324,0.17248859548513776,0.2889240227639675,0.17248859548513779,80
distilgpt2,NM_vs_MN,3.7641256123781206,0.9414184469552651,0.3098330448631995,0.08931212397251383,0.9582879021763802,0.028315031534924904,0.04171209782361984,0.02831503153492489,80
distilgpt2,NQ_vs_QN,5.789696049690247,0.6042723600135821,0.48411442522481074,0.10584925431637547,0.8844415090978146,0.047204113958252074,0.11555849090218544,0.04720411395825209,80
distilgpt2,NT_vs_TN,11.170299023389816,1.8385607263707877,0.8664183334777762,0.17493234225288176,0.7046202616766095,0.1704777698956934,0.2953797383233905,0.17047776989569347,80
distilgpt2,QM_vs_MQ,7.716208535432815,0.9341244467983132,0.6474144238107985,0.15426173017941222,0.8038741834461689,0.0973355289109249,0.1961258165538311,0.0973355289109249,80
distilgpt2,QT_vs_TQ,2.756619620323181,0.6002839853829328,0.3249429639256766,0.14272913527294728,0.9571011409163475,0.04701182726624895,0.0428988590836525,0.04701182726624895,80
gpt2,MT_vs_TM,11.325956988334656,1.9708173456351499,0.307177923555743,0.06938600855334787,0.9707075200974942,0.008040030827453377,0.029292479902505875,0.00804003082745339,80
gpt2,NM_vs_MN,5.2896765768527985,1.157907174719441,0.1894360161590119,0.03872180862478544,0.9901257358491421,0.003488093651658649,0.009874264150857926,0.003488093651658633,80
gpt2,NQ_vs_QN,11.17000093460083,1.5640085039842153,0.3854751738297505,0.08634366234071282,0.9336507573723793,0.028278165032355914,0.0663492426276207,0.028278165032355935,80
gpt2,NT_vs_TN,23.99575276374817,3.0734265866920145,0.7099677358374301,0.11861747645141914,0.9667113833129406,0.030479353074238734,0.0332886166870594,0.03047935307423872,80
gpt2,QM_vs_MQ,13.355551713705063,2.9359143431930765,0.5125487748148128,0.13127941697436607,0.8887889608740807,0.056289022126386215,0.11121103912591934,0.056289022126386215,80
gpt2,QT_vs_TQ,3.919142672419548,0.8892506450768705,0.21897394651560517,0.08463101179417526,0.9760505214333535,0.019566906140774974,0.023949478566646577,0.019566906140774977,80
