language,triple,mean_ratio_to_null_mean,std_ratio_to_null_mean,min_ratio_to_null_mean,max_ratio_to_null_mean,below_null_models,n_models
ar,NMT,0.6993846692935697,,0.6993846692935697,0.6993846692935697,1,1
ar,NQM,0.5469879004092506,,0.5469879004092506,0.5469879004092506,1,1
ar,NQT,0.6461013966837009,,0.6461013966837009,0.6461013966837009,1,1
ar,QMT,0.571043816288687,,0.571043816288687,0.571043816288687,1,1
de,NMT,0.7717607001894646,,0.7717607001894646,0.7717607001894646,1,1
de,NQM,0.6935698331171992,,0.6935698331171992,0.6935698331171992,1,1
de,NQT,0.8377991578464957,,0.8377991578464957,0.8377991578464957,1,1
de,QMT,0.7132955727486925,,0.7132955727486925,0.7132955727486925,1,1
en,NMT,0.8177980338603642,,0.8177980338603642,0.8177980338603642,1,1
en,NQM,0.6617291175387644,,0.6617291175387644,0.6617291175387644,1,1
en,NQT,0.7623908257219479,,0.7623908257219479,0.7623908257219479,1,1
en,QMT,0.7127478880394046,,0.7127478880394046,0.7127478880394046,1,1
es,NMT,0.756856161547598,,0.756856161547598,0.756856161547598,1,1
es,NQM,0.6547625331601986,,0.6547625331601986,0.6547625331601986,1,1
es,NQT,0.77073003347029,,0.77073003347029,0.77073003347029,1,1
es,QMT,0.656046643567806,,0.656046643567806,0.656046643567806,1,1
fr,NMT,0.7970659730961418,,0.7970659730961418,0.7970659730961418,1,1
fr,NQM,0.6572643145427328,,0.6572643145427328,0.6572643145427328,1,1
fr,NQT,0.7938035222281116,,0.7938035222281116,0.7938035222281116,1,1
fr,QMT,0.6861316189469591,,0.6861316189469591,0.6861316189469591,1,1
ru,NMT,0.7850628819930222,,0.7850628819930222,0.7850628819930222,1,1
ru,NQM,0.4563380316831119,,0.4563380316831119,0.4563380316831119,1,1
ru,NQT,0.6518040525527588,,0.6518040525527588,0.6518040525527588,1,1
ru,QMT,0.6158715936386435,,0.6158715936386435,0.6158715936386435,1,1
zh,NMT,0.8329232906216096,,0.8329232906216096,0.8329232906216096,1,1
zh,NQM,0.6364054484018208,,0.6364054484018208,0.6364054484018208,1,1
zh,NQT,0.7084005223117372,,0.7084005223117372,0.7084005223117372,1,1
zh,QMT,0.5871587302973392,,0.5871587302973392,0.5871587302973392,1,1
