pair,mean_relative_commutator_norm,std_relative_commutator_norm,min_relative_commutator_norm,max_relative_commutator_norm,n_cells
MT_vs_TM,0.19085076705148488,0.10395257596641026,0.0,0.3369111171133771,7
NM_vs_MN,0.1630515613565027,0.10357281125848324,0.0,0.332076051786693,7
NQ_vs_QN,0.7289818390885857,0.0716120593438855,0.6299232952679347,0.8319978812948087,7
NT_vs_TN,0.6869620576202113,0.2555933471041783,0.4168763620864182,1.2123860600247298,7
QM_vs_MQ,0.5077217419500856,0.06426150969410975,0.4133236245398485,0.6033007268090625,7
QT_vs_TQ,0.5415651758288368,0.02518558624974307,0.4910835877983224,0.5696414549841327,7
