triple,mean_ratio_to_null_mean,std_ratio_to_null_mean,min_ratio_to_null_mean,max_ratio_to_null_mean,below_null_cells,n_cells,frac_below_null_cells
NMT,0.7801216729431101,0.04406188356575408,0.6993846692935697,0.8329232906216096,7,7,1.0
NQM,0.6152938826932969,0.08364709096560725,0.4563380316831119,0.6935698331171992,7,7,1.0
NQT,0.7387185015450061,0.0724427158590826,0.6461013966837009,0.8377991578464957,7,7,1.0
QMT,0.6488994090753616,0.05863027646664916,0.571043816288687,0.7132955727486925,7,7,1.0
