model,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T
intfloat/multilingual-e5-large-instruct,en,linear,NQ_minus_QN,4,3.5878033026072713,0.9817207415713993,0.9998782089881593,8.936725685485989e-05,0.000999000999000999,-0.11987394091680433,0.10825919490741093,0.003481796058852659,0.017674314298751638
intfloat/multilingual-e5-large-instruct,en,linear,NM_minus_MN,4,3.440861919142264,0.993881195385631,0.9998756273234307,8.841009261378706e-05,0.000999000999000999,-0.06613343058857382,0.007970542583962063,0.047347053575974705,0.018116592561188773
intfloat/multilingual-e5-large-instruct,en,linear,NT_minus_TN,4,3.7129983251612084,0.9785961297342282,0.9998792804519967,8.504362090270769e-05,0.000999000999000999,-0.12612718473898277,-0.00028260463036543226,-0.005853267925716128,0.14637355711138975
intfloat/multilingual-e5-large-instruct,en,linear,QM_minus_MQ,4,2.6144463696921525,0.9904232588740297,0.9998809598667133,8.073738489523628e-05,0.000999000999000999,0.009509437394009503,-0.08941649599849727,0.04874047397471411,0.03395116126237989
intfloat/multilingual-e5-large-instruct,en,linear,QT_minus_TQ,4,2.518078617065451,0.986482217608057,0.9998775629013473,8.983605720755275e-05,0.000999000999000999,0.014859927360022963,-0.10365450682539187,0.017859119514995175,0.07652176712721323
intfloat/multilingual-e5-large-instruct,en,linear,MT_minus_TM,4,2.528082295158774,0.9979277219910041,0.9998756080933882,8.75037928225423e-05,0.000999000999000999,-0.0015353102545215358,0.03394941948254297,0.010323035272314957,-0.03896348495419777
intfloat/multilingual-e5-large-instruct,en,affine,NQ_minus_QN,4,3.5458668655214027,0.9779916233819657,0.999881911249063,8.36063495047089e-05,0.000999000999000999,-0.13190319975477002,0.12520225209858657,0.0024082283402135645,0.01563655093710695
intfloat/multilingual-e5-large-instruct,en,affine,NM_minus_MN,4,3.44787127041884,0.9947927393464641,0.9998805042153992,8.783437250246412e-05,0.000999000999000999,-0.06123425992816763,0.005534409722147665,0.04457773321349403,0.016183281572977944
intfloat/multilingual-e5-large-instruct,en,affine,NT_minus_TN,4,3.677756411926577,0.981105644068503,0.99987389985,9.145879884011806e-05,0.000999000999000999,-0.11603311582647997,-0.014887483517736756,0.00010388072923859448,0.1416640711863774
intfloat/multilingual-e5-large-instruct,en,affine,QM_minus_MQ,4,2.5763972877621173,0.9900208922330682,0.9998770239411943,8.409541246291442e-05,0.000999000999000999,0.007487382572721042,-0.09445191854216758,0.05007161443385567,0.038721854080467945
intfloat/multilingual-e5-large-instruct,en,affine,QT_minus_TQ,4,2.46443164076195,0.9875250332748714,0.9998755623020839,8.655755646756501e-05,0.000999000999000999,0.008193006409267057,-0.09982475823856721,0.015072046920582284,0.08142120855124325
intfloat/multilingual-e5-large-instruct,en,affine,MT_minus_TM,4,2.513109580380941,0.9978774535383352,0.9998777600708365,8.528336247965301e-05,0.000999000999000999,0.0007605730061616716,0.03342858585572827,0.010990352713456438,-0.04185519266779867
intfloat/multilingual-e5-large-instruct,es,linear,NQ_minus_QN,4,4.031515050981766,0.9877437095843385,0.9998791448040792,8.02217128758362e-05,0.000999000999000999,-0.100672414892998,0.09541098990096496,0.01961815251025674,-0.004912735825046083
intfloat/multilingual-e5-large-instruct,es,linear,NM_minus_MN,4,3.714437887628714,0.9925446036920044,0.9998765311906944,8.718501072837449e-05,0.000999000999000999,-0.06726121877384023,-0.011658686405738125,0.06747209623240524,0.022538833954221665
