model,heldout_language,method,operator,target_cosine,mse,n_test
intfloat/multilingual-e5-large-instruct,en,additive,N,0.8158832788467407,0.40159058570861816,160
intfloat/multilingual-e5-large-instruct,en,linear,N,0.8314355445588693,0.3533528539108785,160
intfloat/multilingual-e5-large-instruct,en,affine,N,0.8295719027519226,0.35726094245910645,160
intfloat/multilingual-e5-large-instruct,en,additive,Q,0.9168328046798706,0.16601762175559998,160
intfloat/multilingual-e5-large-instruct,en,linear,Q,0.790873387876981,0.37084136961063524,160
intfloat/multilingual-e5-large-instruct,en,affine,Q,0.7793899774551392,0.3911516070365906,160
intfloat/multilingual-e5-large-instruct,en,additive,M,0.9771035313606262,0.05324528366327286,160
intfloat/multilingual-e5-large-instruct,en,linear,M,0.8920947141535663,0.24204410649689487,160
intfloat/multilingual-e5-large-instruct,en,affine,M,0.8905347585678101,0.24390354752540588,160
intfloat/multilingual-e5-large-instruct,en,additive,T,0.9538496136665344,0.10302875190973282,160
intfloat/multilingual-e5-large-instruct,en,linear,T,0.9002396699460533,0.21857616015897516,160
intfloat/multilingual-e5-large-instruct,en,affine,T,0.8970018625259399,0.22284555435180664,160
intfloat/multilingual-e5-large-instruct,es,additive,N,0.8850967288017273,0.21859893202781677,160
intfloat/multilingual-e5-large-instruct,es,linear,N,0.8074562258731692,0.3369048123801961,160
intfloat/multilingual-e5-large-instruct,es,affine,N,0.8108015060424805,0.3336612582206726,160
intfloat/multilingual-e5-large-instruct,es,additive,Q,0.9580382108688354,0.07544706761837006,160
intfloat/multilingual-e5-large-instruct,es,linear,Q,0.8196109788941793,0.286711501094289,160
intfloat/multilingual-e5-large-instruct,es,affine,Q,0.8143116235733032,0.2943621575832367,160
intfloat/multilingual-e5-large-instruct,es,additive,M,0.9599321484565735,0.07571201026439667,160
intfloat/multilingual-e5-large-instruct,es,linear,M,0.8510008613639922,0.2575245377516703,160
intfloat/multilingual-e5-large-instruct,es,affine,M,0.845725417137146,0.26819849014282227,160
intfloat/multilingual-e5-large-instruct,es,additive,T,0.9587401151657104,0.08168260008096695,160
intfloat/multilingual-e5-large-instruct,es,linear,T,0.8335010641339178,0.29767896564145585,160
intfloat/multilingual-e5-large-instruct,es,affine,T,0.8321159482002258,0.30308276414871216,160
intfloat/multilingual-e5-large-instruct,fr,additive,N,0.8746064305305481,0.23407526314258575,160
intfloat/multilingual-e5-large-instruct,fr,linear,N,0.8141634803591679,0.3154205252223393,160
intfloat/multilingual-e5-large-instruct,fr,affine,N,0.8183543086051941,0.30957016348838806,160
intfloat/multilingual-e5-large-instruct,fr,additive,Q,0.9454895257949829,0.09592614322900772,160
intfloat/multilingual-e5-large-instruct,fr,linear,Q,0.8534389626969838,0.23217199638568536,160
intfloat/multilingual-e5-large-instruct,fr,affine,Q,0.8519660830497742,0.2346504181623459,160
intfloat/multilingual-e5-large-instruct,fr,additive,M,0.9562514424324036,0.08479254692792892,160
