model,heldout_language,method,operator,target_cosine,mse,n_test
bert-base-multilingual-cased,en,additive,N,0.8850167989730835,0.11268959939479828,160
bert-base-multilingual-cased,en,linear,N,0.6940069326529195,0.2587879039691042,160
bert-base-multilingual-cased,en,affine,N,0.6810379028320312,0.26838403940200806,160
bert-base-multilingual-cased,en,additive,Q,0.6897540092468262,0.28096097707748413,160
bert-base-multilingual-cased,en,linear,Q,0.5419178822382755,0.34865465107058835,160
bert-base-multilingual-cased,en,affine,Q,0.533397376537323,0.363525927066803,160
bert-base-multilingual-cased,en,additive,M,0.9121428728103638,0.08384208381175995,160
bert-base-multilingual-cased,en,linear,M,0.7895483436937225,0.18059023787051035,160
bert-base-multilingual-cased,en,affine,M,0.7866419553756714,0.18203338980674744,160
bert-base-multilingual-cased,en,additive,T,0.8324397206306458,0.15187440812587738,160
bert-base-multilingual-cased,en,linear,T,0.6493239174342319,0.24456060380640068,160
bert-base-multilingual-cased,en,affine,T,0.6429303884506226,0.2535881996154785,160
bert-base-multilingual-cased,es,additive,N,0.8550960421562195,0.10765683650970459,160
bert-base-multilingual-cased,es,linear,N,0.6181405831793143,0.24084495195451644,160
bert-base-multilingual-cased,es,affine,N,0.601474404335022,0.25489768385887146,160
bert-base-multilingual-cased,es,additive,Q,0.7801157236099243,0.16925865411758423,160
bert-base-multilingual-cased,es,linear,Q,0.5019459457002275,0.3060857537896731,160
bert-base-multilingual-cased,es,affine,Q,0.5005855560302734,0.31670501828193665,160
bert-base-multilingual-cased,es,additive,M,0.877995491027832,0.08743571490049362,160
bert-base-multilingual-cased,es,linear,M,0.7094900824297508,0.1799189732354271,160
bert-base-multilingual-cased,es,affine,M,0.6930525302886963,0.18788301944732666,160
bert-base-multilingual-cased,es,additive,T,0.8415452837944031,0.12201949208974838,160
bert-base-multilingual-cased,es,linear,T,0.6615279710776868,0.21788912875950572,160
bert-base-multilingual-cased,es,affine,T,0.6345418691635132,0.23438164591789246,160
bert-base-multilingual-cased,fr,additive,N,0.8773603439331055,0.09529711306095123,160
bert-base-multilingual-cased,fr,linear,N,0.6713968056698463,0.22068602674240417,160
bert-base-multilingual-cased,fr,affine,N,0.6554251909255981,0.2398545742034912,160
bert-base-multilingual-cased,fr,additive,Q,0.7420958280563354,0.22047369182109833,160
bert-base-multilingual-cased,fr,linear,Q,0.5050336043098236,0.3699238337345988,160
bert-base-multilingual-cased,fr,affine,Q,0.5200921893119812,0.3715952932834625,160
bert-base-multilingual-cased,fr,additive,M,0.9165123105049133,0.06200823187828064,160
bert-base-multilingual-cased,fr,linear,M,0.7329111474280917,0.17178378102714273,160
bert-base-multilingual-cased,fr,affine,M,0.6852405071258545,0.19991903007030487,160
bert-base-multilingual-cased,fr,additive,T,0.8814781904220581,0.0924733430147171,160
bert-base-multilingual-cased,fr,linear,T,0.6575781339020036,0.22583665442670703,160
bert-base-multilingual-cased,fr,affine,T,0.6520197987556458,0.23336677253246307,160
bert-base-multilingual-cased,de,additive,N,0.8860703706741333,0.08424262702465057,160
bert-base-multilingual-cased,de,linear,N,0.6491606920148889,0.21692025935193113,160
bert-base-multilingual-cased,de,affine,N,0.6168621778488159,0.24564993381500244,160
bert-base-multilingual-cased,de,additive,Q,0.7408473491668701,0.18998004496097565,160
bert-base-multilingual-cased,de,linear,Q,0.4532524481004584,0.31687923135395646,160
bert-base-multilingual-cased,de,affine,Q,0.44800272583961487,0.3315582871437073,160
bert-base-multilingual-cased,de,additive,M,0.9045368432998657,0.07081103324890137,160
bert-base-multilingual-cased,de,linear,M,0.6984061366874112,0.1887639046614006,160
bert-base-multilingual-cased,de,affine,M,0.6909552812576294,0.1925177276134491,160
bert-base-multilingual-cased,de,additive,T,0.8615215420722961,0.10229724645614624,160
bert-base-multilingual-cased,de,linear,T,0.6243565592773501,0.2231474729664476,160
bert-base-multilingual-cased,de,affine,T,0.6029149293899536,0.24696390330791473,160
bert-base-multilingual-cased,ru,additive,N,0.8885818719863892,0.08633299916982651,160
bert-base-multilingual-cased,ru,linear,N,0.600132672251946,0.250366343575992,160
bert-base-multilingual-cased,ru,affine,N,0.5927854776382446,0.2565550208091736,160
bert-base-multilingual-cased,ru,additive,Q,0.6961176991462708,0.2306927740573883,160
bert-base-multilingual-cased,ru,linear,Q,0.44465215480178044,0.3135802889157377,160
