method,operator,mean_target_cosine,std_target_cosine,mean_mse,cells
additive,M,0.9429961944383288,0.0298530106515884,0.2367808216728181,63
additive,N,0.8652096154197814,0.07782646273407999,0.4444099831697901,63
additive,Q,0.8817752760554117,0.07310774811381927,0.2847614387745067,63
additive,T,0.9222735317926558,0.035048596793349845,0.2968087428367681,63
affine,M,0.7311841956679783,0.17929252963632977,2.021708430293652,63
affine,N,0.6646249975476947,0.18133847274524864,2.137563116789337,63
affine,Q,0.6751664917147349,0.19224168609734005,1.3804908409744265,63
affine,T,0.709954446033826,0.18334131515671528,1.7402511916108547,63
linear,M,0.7875222803468256,0.10895906462926606,1.1184781667456192,63
linear,N,0.7117625267541453,0.13054801288692583,1.6719044773810132,63
linear,Q,0.7045181682751587,0.16620286668581666,1.076965874143249,63
linear,T,0.747967979009552,0.13324255244777952,1.5777255650103488,63
