model,within_class_mean_cosine,between_class_mean_cosine,separation_delta,within_n,between_n,permutation_p_value,permutation_mean_delta,permutation_std_delta
bert-base-uncased,0.49018281349005277,0.15173203658189058,0.33845077690816217,119400,600000,0.0196078431372549,-3.446226111537498e-05,0.0005510782434395305
roberta-base,0.7282868455726048,0.3332452496311869,0.3950415959414179,119400,600000,0.0196078431372549,2.193036836639517e-05,0.0006166971873052446
distilroberta-base,0.8239284522127566,0.3998284685564014,0.42409998365635515,119400,600000,0.0196078431372549,1.994587007631221e-05,0.00047405944314798796
distilgpt2,0.7167829767109372,0.4567780933776947,0.26000488333324245,119400,600000,0.0196078431372549,-1.853953708517486e-05,0.0005610988687851484
gpt2,0.8291269885976051,0.6973452029531222,0.13178178564448295,119400,600000,0.0196078431372549,-5.57601665511176e-05,0.0003568754144611754
