model,class,mean_cosine_to_centroid,std_cosine_to_centroid,mean_delta_norm,n
bert-base-uncased,active_to_passive,0.5849168765544891,0.09506492411317098,4.328617397546768,200
bert-base-uncased,certainty_to_uncertainty,0.7383869336545468,0.06075067142114629,5.222967510223389,200
bert-base-uncased,formalization,0.786749310195446,0.04221163995367533,5.30137981891632,200
bert-base-uncased,negation,0.6222897323966027,0.07233067623321579,4.308479740619659,200
bert-base-uncased,past_to_future,0.6866123513877391,0.065152890966011,4.392813926935196,200
bert-base-uncased,question,0.7682223349809647,0.04488252072631219,5.134513008594513,200
roberta-base,active_to_passive,0.8195299717783928,0.085292376367805,1.4676778841018676,200
roberta-base,certainty_to_uncertainty,0.8605045780539513,0.04598337675896483,1.4872177612781525,200
roberta-base,formalization,0.9341343408823013,0.024231718212156025,2.1101614207029344,200
roberta-base,negation,0.8154853138327599,0.059781547772282465,1.4200374054908753,200
roberta-base,past_to_future,0.8222648340463639,0.06520704480064407,1.2640839821100236,200
roberta-base,question,0.8667267647385597,0.03731832058313856,1.6564653199911117,200
distilroberta-base,active_to_passive,0.878374105989933,0.07215882924905001,1.3515520107746124,200
distilroberta-base,certainty_to_uncertainty,0.9247943955659866,0.023771781876884633,1.347791658639908,200
distilroberta-base,formalization,0.9544938665628433,0.012361408238480566,1.8761386036872865,200
distilroberta-base,negation,0.8871319022774696,0.04261749081766114,1.3021184796094893,200
distilroberta-base,past_to_future,0.8668029662966729,0.033942213817782015,1.0683640423417091,200
distilroberta-base,question,0.9339090585708618,0.02168727116747674,1.5989368003606796,200
distilgpt2,active_to_passive,0.6195971205690876,0.26860477621818485,10.422953464984893,200
distilgpt2,certainty_to_uncertainty,0.9306319665908813,0.0748218623836787,10.208155608177185,200
distilgpt2,formalization,0.956812871992588,0.042098000754953284,15.185172667503357,200
distilgpt2,negation,0.8911023814976216,0.09986499506931464,10.627956323623657,200
distilgpt2,past_to_future,0.8830760750174522,0.12362967953206953,9.047735233306884,200
distilgpt2,question,0.7365829182136804,0.24262450053082016,7.726443718671799,200
gpt2,active_to_passive,0.5946889464894776,0.3730504443693007,15.802148878574371,200
gpt2,certainty_to_uncertainty,0.969015848711133,0.11812222097854445,34.387816872596744,200
gpt2,formalization,0.9755183634161949,0.023156095118760982,28.323397130966185,200
gpt2,negation,0.9710671036690474,0.07250083006749371,29.47235426902771,200
gpt2,past_to_future,0.9267241750471293,0.25416391116888387,25.362832050323487,200
gpt2,question,0.9546048736572266,0.061905478010885744,24.08308238506317,200
