model,accuracy,random_baseline,n_samples,n_classes
bert-base-uncased,0.9898333333333333,0.16666666666666666,6000,6
roberta-base,0.9928333333333333,0.16666666666666666,6000,6
distilroberta-base,0.9838333333333333,0.16666666666666666,6000,6
distilgpt2,0.698,0.16666666666666666,6000,6
gpt2,0.7121666666666666,0.16666666666666666,6000,6
