model,n_transformations,sampled_pairs,within_class_mean_cosine,between_class_mean_cosine,separation_delta,permutation_p_value,permutation_mean_delta,permutation_std_delta
bert-base-uncased,6000,300000,0.39739570021629333,0.18331590294837952,0.21407979726791382,0.009900990099009901,-1.616358757019043e-05,0.0007072469004949112
roberta-base,6000,300000,0.6062982082366943,0.41095736622810364,0.1953408420085907,0.009900990099009901,4.08366322517395e-05,0.0007205512848957413
distilroberta-base,6000,300000,0.6871371865272522,0.4818047881126404,0.20533239841461182,0.009900990099009901,-0.00013143658638000488,0.0007146605368556296
distilgpt2,6000,300000,0.6850876808166504,0.512795627117157,0.1722920536994934,0.009900990099009901,8.897006511688233e-05,0.0014549430264084384
gpt2,6000,300000,0.8118144869804382,0.7485525608062744,0.06326192617416382,0.009900990099009901,-0.00016667664051055908,0.0016525555224480618
