model,classifier,concat,delta,x_only,y_only
bert-large-uncased,linear_svc,0.8508333333333333,0.9025,0.16666666666666666,0.8375
bert-large-uncased,logreg,0.76,0.8541666666666666,0.16666666666666666,0.75
microsoft/deberta-v3-base,linear_svc,0.7758333333333334,0.8116666666666666,0.16666666666666666,0.7466666666666667
microsoft/deberta-v3-base,logreg,0.6941666666666667,0.7516666666666667,0.16666666666666666,0.7258333333333333
