train_model,test_model,raw_acc,raw_f1,aligned_acc,aligned_f1,gain_f1
bert-base-uncased,bert-base-uncased,0.7,0.6896892911010558,0.7,0.6896892911010558,0.0
bert-base-uncased,distilroberta-base,0.2,0.06666666666666667,0.9,0.8976370035193565,0.8309703368526898
bert-base-uncased,roberta-base,0.2,0.06666666666666667,0.7,0.6309703368526899,0.5643036701860232
distilroberta-base,bert-base-uncased,0.2,0.07272727272727272,0.6,0.5462271062271062,0.4734998334998335
distilroberta-base,distilroberta-base,0.825,0.7968253968253968,0.825,0.7968253968253968,0.0
distilroberta-base,roberta-base,0.625,0.5888235294117647,0.625,0.5368253968253969,-0.05199813258636787
roberta-base,bert-base-uncased,0.175,0.09518716577540107,0.725,0.7036007130124777,0.6084135472370766
roberta-base,distilroberta-base,0.725,0.6812118827464096,0.825,0.8164602683178535,0.1352483855714438
roberta-base,roberta-base,0.6,0.5276190476190477,0.6,0.5276190476190477,0.0
