source_model,target_model,alignment_size,repeat,acc,f1
roberta-base,bert-base-uncased,2,0,0.15,0.06
roberta-base,bert-base-uncased,2,1,0.275,0.16361290322580646
roberta-base,bert-base-uncased,2,2,0.15,0.06315789473684211
roberta-base,bert-base-uncased,2,3,0.225,0.10747474747474747
roberta-base,bert-base-uncased,2,4,0.25,0.13689839572192514
roberta-base,bert-base-uncased,2,5,0.275,0.15968379446640318
roberta-base,bert-base-uncased,2,6,0.1,0.03809523809523809
roberta-base,bert-base-uncased,2,7,0.1,0.05714285714285714
roberta-base,bert-base-uncased,2,8,0.375,0.31428571428571433
roberta-base,bert-base-uncased,2,9,0.2,0.095
roberta-base,bert-base-uncased,2,10,0.225,0.11812865497076022
roberta-base,bert-base-uncased,2,11,0.275,0.1496443812233286
roberta-base,bert-base-uncased,2,12,0.35,0.20102564102564102
roberta-base,bert-base-uncased,2,13,0.125,0.07114624505928854
roberta-base,bert-base-uncased,2,14,0.175,0.07179487179487179
roberta-base,bert-base-uncased,2,15,0.175,0.06829268292682927
roberta-base,bert-base-uncased,2,16,0.25,0.13832258064516129
roberta-base,bert-base-uncased,2,17,0.3,0.2663003663003663
roberta-base,bert-base-uncased,2,18,0.125,0.07114624505928854
roberta-base,bert-base-uncased,2,19,0.15,0.05714285714285714
roberta-base,bert-base-uncased,2,20,0.25,0.14756258234519104
roberta-base,bert-base-uncased,2,21,0.15,0.08684546615581099
roberta-base,bert-base-uncased,2,22,0.125,0.06811145510835913
roberta-base,bert-base-uncased,2,23,0.275,0.17272727272727273
roberta-base,bert-base-uncased,2,24,0.2,0.11200000000000002
roberta-base,bert-base-uncased,2,25,0.175,0.06666666666666667
roberta-base,bert-base-uncased,2,26,0.2,0.08
roberta-base,bert-base-uncased,2,27,0.275,0.1742690058479532
roberta-base,bert-base-uncased,2,28,0.125,0.06524064171122994
roberta-base,bert-base-uncased,2,29,0.275,0.15988620199146514
roberta-base,bert-base-uncased,4,0,0.25,0.2245925925925926
roberta-base,bert-base-uncased,4,1,0.275,0.1619047619047619
roberta-base,bert-base-uncased,4,2,0.2,0.14413484692122464
roberta-base,bert-base-uncased,4,3,0.2,0.11545338441890166
roberta-base,bert-base-uncased,4,4,0.275,0.27854145854145856
roberta-base,bert-base-uncased,4,5,0.325,0.18333333333333335
roberta-base,bert-base-uncased,4,6,0.275,0.16031746031746033
roberta-base,bert-base-uncased,4,7,0.25,0.18968253968253967
roberta-base,bert-base-uncased,4,8,0.275,0.2265873015873016
roberta-base,bert-base-uncased,4,9,0.2,0.09858585858585858
roberta-base,bert-base-uncased,4,10,0.25,0.14204545454545453
roberta-base,bert-base-uncased,4,11,0.175,0.0969187675070028
roberta-base,bert-base-uncased,4,12,0.225,0.15777777777777777
roberta-base,bert-base-uncased,4,13,0.2,0.09696969696969697
roberta-base,bert-base-uncased,4,14,0.3,0.23179487179487182
roberta-base,bert-base-uncased,4,15,0.275,0.16591251885369532
roberta-base,bert-base-uncased,4,16,0.4,0.2328042328042328
roberta-base,bert-base-uncased,4,17,0.275,0.20987012987012985
roberta-base,bert-base-uncased,4,18,0.275,0.2166666666666667
roberta-base,bert-base-uncased,4,19,0.45,0.3698850574712644
roberta-base,bert-base-uncased,4,20,0.3,0.22550724637681158
roberta-base,bert-base-uncased,4,21,0.275,0.25390749601275914
roberta-base,bert-base-uncased,4,22,0.275,0.22815249266862167
roberta-base,bert-base-uncased,4,23,0.275,0.19756387403446224
roberta-base,bert-base-uncased,4,24,0.175,0.08666666666666667
roberta-base,bert-base-uncased,4,25,0.125,0.14912256202578783
roberta-base,bert-base-uncased,4,26,0.225,0.1216260162601626
roberta-base,bert-base-uncased,4,27,0.075,0.02857142857142857
roberta-base,bert-base-uncased,4,28,0.525,0.4336363636363636
roberta-base,bert-base-uncased,4,29,0.15,0.08582375478927202
roberta-base,bert-base-uncased,6,0,0.325,0.24148648648648646
roberta-base,bert-base-uncased,6,1,0.45,0.42087542087542085
roberta-base,bert-base-uncased,6,2,0.275,0.15714285714285714
roberta-base,bert-base-uncased,6,3,0.475,0.3955773955773956
roberta-base,bert-base-uncased,6,4,0.3,0.17069701280227595
roberta-base,bert-base-uncased,6,5,0.325,0.2647697130455751
roberta-base,bert-base-uncased,6,6,0.425,0.31315789473684214
roberta-base,bert-base-uncased,6,7,0.45,0.41611721611721614
roberta-base,bert-base-uncased,6,8,0.275,0.1508771929824561
roberta-base,bert-base-uncased,6,9,0.35,0.25895281189398833
roberta-base,bert-base-uncased,6,10,0.45,0.3539393939393939
roberta-base,bert-base-uncased,6,11,0.275,0.22178440754292147
roberta-base,bert-base-uncased,6,12,0.225,0.14511627906976746
roberta-base,bert-base-uncased,6,13,0.275,0.2400999000999001
roberta-base,bert-base-uncased,6,14,0.375,0.29965034965034965
roberta-base,bert-base-uncased,6,15,0.25,0.1422924901185771
roberta-base,bert-base-uncased,6,16,0.5,0.4567521367521367
roberta-base,bert-base-uncased,6,17,0.35,0.2846479500891266
roberta-base,bert-base-uncased,6,18,0.475,0.4100899100899101
roberta-base,bert-base-uncased,6,19,0.3,0.17341935483870968
roberta-base,bert-base-uncased,6,20,0.225,0.13333333333333336
roberta-base,bert-base-uncased,6,21,0.5,0.4974160037775599
roberta-base,bert-base-uncased,6,22,0.3,0.21411764705882358
roberta-base,bert-base-uncased,6,23,0.4,0.30314513073133764
roberta-base,bert-base-uncased,6,24,0.4,0.29213675213675216
roberta-base,bert-base-uncased,6,25,0.4,0.34941900205058096
roberta-base,bert-base-uncased,6,26,0.525,0.4866666666666667
roberta-base,bert-base-uncased,6,27,0.25,0.18376068376068375
roberta-base,bert-base-uncased,6,28,0.425,0.3391304347826087
roberta-base,bert-base-uncased,6,29,0.35,0.20541935483870968
roberta-base,bert-base-uncased,8,0,0.4,0.32379679144385026
roberta-base,bert-base-uncased,8,1,0.35,0.2640182186234818
roberta-base,bert-base-uncased,8,2,0.325,0.21616161616161617
roberta-base,bert-base-uncased,8,3,0.3,0.254314381270903
roberta-base,bert-base-uncased,8,4,0.35,0.2930875576036866
roberta-base,bert-base-uncased,8,5,0.55,0.48119075970469155
