alignment_size,mean_f1,std_f1,mean_acc,n
2,0.11805351212839585,0.06484765906145858,0.21,30
4,0.18381188710628538,0.0841572595785105,0.25833333333333336,30
6,0.2840663727662787,0.10913441941470493,0.36333333333333334,30
8,0.29282007976840396,0.09247586247194574,0.36666666666666664,30
10,0.38337804300671385,0.10572144988395367,0.4475,30
15,0.41191589425295255,0.11955854305649585,0.48333333333333334,30
20,0.5509293292032093,0.09093441014832493,0.6024999999999999,30
48,0.6680701754385965,0.0,0.7,30
