model,train_size,repeat,acc,f1,baseline
bert-base-uncased,15,18,0.475,0.35777126099706746,0.2
bert-base-uncased,15,19,0.3,0.18666666666666668,0.2
bert-base-uncased,15,20,0.35,0.22999999999999998,0.2
bert-base-uncased,15,21,0.4,0.31633986928104574,0.2
bert-base-uncased,15,22,0.35,0.2653503677893922,0.2
bert-base-uncased,15,23,0.4,0.36049187527448395,0.2
bert-base-uncased,15,24,0.25,0.14956521739130435,0.2
bert-base-uncased,15,25,0.275,0.17272727272727273,0.2
bert-base-uncased,15,26,0.275,0.24063492063492062,0.2
bert-base-uncased,15,27,0.25,0.14956521739130435,0.2
bert-base-uncased,15,28,0.425,0.28100358422939065,0.2
bert-base-uncased,15,29,0.3,0.22714587737843553,0.2
bert-base-uncased,20,0,0.35,0.29414141414141415,0.2
bert-base-uncased,20,1,0.5,0.44720496894409945,0.2
bert-base-uncased,20,2,0.575,0.5307692307692308,0.2
bert-base-uncased,20,3,0.3,0.20606060606060606,0.2
bert-base-uncased,20,4,0.4,0.30810035842293904,0.2
bert-base-uncased,20,5,0.375,0.28786324786324785,0.2
bert-base-uncased,20,6,0.3,0.22063492063492066,0.2
bert-base-uncased,20,7,0.45,0.36593837535014007,0.2
bert-base-uncased,20,8,0.375,0.23976608187134502,0.2
bert-base-uncased,20,9,0.25,0.14666666666666667,0.2
bert-base-uncased,20,10,0.3,0.20606060606060606,0.2
bert-base-uncased,20,11,0.45,0.36367816091954025,0.2
bert-base-uncased,20,12,0.45,0.38213812331459396,0.2
bert-base-uncased,20,13,0.575,0.5308576480990274,0.2
bert-base-uncased,20,15,0.25,0.14153846153846156,0.2
bert-base-uncased,20,16,0.4,0.35982905982905977,0.2
bert-base-uncased,20,17,0.5,0.40785024154589367,0.2
bert-base-uncased,20,18,0.425,0.3690756302521009,0.2
bert-base-uncased,20,19,0.4,0.3032258064516129,0.2
bert-base-uncased,20,20,0.425,0.3725829725829725,0.2
bert-base-uncased,20,21,0.575,0.4684795321637427,0.2
bert-base-uncased,20,22,0.4,0.29060798548094374,0.2
bert-base-uncased,20,23,0.45,0.3657142857142857,0.2
bert-base-uncased,20,24,0.55,0.474120082815735,0.2
bert-base-uncased,20,25,0.575,0.5214444444444445,0.2
bert-base-uncased,20,26,0.5,0.5005128205128205,0.2
bert-base-uncased,20,27,0.5,0.4222222222222222,0.2
bert-base-uncased,20,28,0.375,0.2857142857142857,0.2
bert-base-uncased,20,29,0.3,0.19749552772808587,0.2
bert-base-uncased,25,0,0.625,0.5530827067669173,0.2
bert-base-uncased,25,1,0.7,0.6880481837003576,0.2
bert-base-uncased,25,2,0.525,0.5043740573152338,0.2
bert-base-uncased,25,3,0.35,0.27350427350427353,0.2
bert-base-uncased,25,4,0.475,0.41307189542483663,0.2
bert-base-uncased,25,5,0.5,0.4159003831417625,0.2
bert-base-uncased,25,6,0.375,0.27222222222222225,0.2
bert-base-uncased,25,7,0.575,0.5564493113377494,0.2
bert-base-uncased,25,8,0.625,0.5956642050759697,0.2
bert-base-uncased,25,9,0.575,0.5804985337243401,0.2
bert-base-uncased,25,10,0.35,0.23859649122807017,0.2
bert-base-uncased,25,11,0.3,0.18,0.2
bert-base-uncased,25,12,0.375,0.24879227053140102,0.2
bert-base-uncased,25,13,0.625,0.627106227106227,0.2
bert-base-uncased,25,14,0.475,0.40326797385620916,0.2
bert-base-uncased,25,15,0.5,0.4517126148705096,0.2
bert-base-uncased,25,16,0.25,0.13333333333333333,0.2
bert-base-uncased,25,17,0.55,0.49133089133089136,0.2
bert-base-uncased,25,18,0.575,0.4964349376114082,0.2
bert-base-uncased,25,19,0.375,0.3395670995670995,0.2
bert-base-uncased,25,20,0.475,0.4009728469098784,0.2
bert-base-uncased,25,21,0.35,0.2,0.2
bert-base-uncased,25,22,0.45,0.3919028340080971,0.2
bert-base-uncased,25,23,0.425,0.39087719298245605,0.2
bert-base-uncased,25,24,0.55,0.5438095238095237,0.2
bert-base-uncased,25,25,0.5,0.4852287581699346,0.2
bert-base-uncased,25,26,0.525,0.40042105263157896,0.2
bert-base-uncased,25,27,0.5,0.4456500488758553,0.2
bert-base-uncased,25,28,0.55,0.41604010025062654,0.2
bert-base-uncased,25,29,0.425,0.33484162895927605,0.2
bert-base-uncased,40,0,0.7,0.6896892911010558,0.2
bert-base-uncased,40,1,0.7,0.6896892911010558,0.2
bert-base-uncased,40,2,0.7,0.6896892911010558,0.2
bert-base-uncased,40,3,0.7,0.6896892911010558,0.2
bert-base-uncased,40,4,0.7,0.6896892911010558,0.2
bert-base-uncased,40,5,0.7,0.6896892911010558,0.2
bert-base-uncased,40,6,0.7,0.6896892911010558,0.2
bert-base-uncased,40,7,0.7,0.6896892911010558,0.2
bert-base-uncased,40,8,0.7,0.6896892911010558,0.2
bert-base-uncased,40,9,0.7,0.6896892911010558,0.2
bert-base-uncased,40,10,0.7,0.6896892911010558,0.2
bert-base-uncased,40,11,0.7,0.6896892911010558,0.2
bert-base-uncased,40,12,0.7,0.6896892911010558,0.2
bert-base-uncased,40,13,0.7,0.6896892911010558,0.2
bert-base-uncased,40,14,0.7,0.6896892911010558,0.2
bert-base-uncased,40,15,0.7,0.6896892911010558,0.2
bert-base-uncased,40,16,0.7,0.6896892911010558,0.2
bert-base-uncased,40,17,0.7,0.6896892911010558,0.2
bert-base-uncased,40,18,0.7,0.6896892911010558,0.2
bert-base-uncased,40,19,0.7,0.6896892911010558,0.2
bert-base-uncased,40,20,0.7,0.6896892911010558,0.2
bert-base-uncased,40,21,0.7,0.6896892911010558,0.2
bert-base-uncased,40,22,0.7,0.6896892911010558,0.2
bert-base-uncased,40,23,0.7,0.6896892911010558,0.2
bert-base-uncased,40,24,0.7,0.6896892911010558,0.2
bert-base-uncased,40,25,0.7,0.6896892911010558,0.2
bert-base-uncased,40,26,0.7,0.6896892911010558,0.2
bert-base-uncased,40,27,0.7,0.6896892911010558,0.2
bert-base-uncased,40,28,0.7,0.6896892911010558,0.2
bert-base-uncased,40,29,0.7,0.6896892911010558,0.2
distilroberta-base,10,1,0.425,0.28100358422939065,0.2
distilroberta-base,10,2,0.4,0.3582905982905983,0.2
distilroberta-base,10,5,0.45,0.3415546772068511,0.2
distilroberta-base,10,6,0.2,0.06666666666666667,0.2
distilroberta-base,10,7,0.4,0.22974358974358972,0.2
distilroberta-base,10,8,0.2,0.06666666666666667,0.2
distilroberta-base,10,10,0.425,0.2778661951075744,0.2
distilroberta-base,10,13,0.5,0.4488888888888889,0.2
distilroberta-base,10,14,0.225,0.11886304909560723,0.2
distilroberta-base,10,15,0.4,0.2333333333333333,0.2
distilroberta-base,10,17,0.375,0.21866666666666665,0.2
distilroberta-base,10,19,0.225,0.11252955082742315,0.2
distilroberta-base,10,20,0.5,0.4222222222222222,0.2
distilroberta-base,10,21,0.475,0.4375847808105872,0.2
distilroberta-base,10,23,0.35,0.20541935483870968,0.2
distilroberta-base,10,26,0.2,0.06666666666666667,0.2
distilroberta-base,10,27,0.25,0.15845410628019324,0.2
distilroberta-base,10,28,0.25,0.15845410628019324,0.2
distilroberta-base,15,0,0.6,0.5158169934640522,0.2
distilroberta-base,15,1,0.375,0.2647154471544716,0.2
distilroberta-base,15,2,0.325,0.21904761904761907,0.2
distilroberta-base,15,3,0.6,0.46713043478260874,0.2
distilroberta-base,15,4,0.3,0.22626262626262625,0.2
