classifier,accuracy,n_train,n_test,model,representation,random_baseline,n_base
logreg,0.16666666666666666,3600,7200,bert-base-uncased,x_only,0.16666666666666666,300
linear_svc,0.16666666666666666,3600,7200,bert-base-uncased,x_only,0.16666666666666666,300
logreg,0.9861111111111112,3600,7200,bert-base-uncased,y_only,0.16666666666666666,300
linear_svc,1.0,3600,7200,bert-base-uncased,y_only,0.16666666666666666,300
logreg,0.9909722222222223,3600,7200,bert-base-uncased,delta,0.16666666666666666,300
linear_svc,1.0,3600,7200,bert-base-uncased,delta,0.16666666666666666,300
logreg,0.9904166666666666,3600,7200,bert-base-uncased,concat,0.16666666666666666,300
linear_svc,1.0,3600,7200,bert-base-uncased,concat,0.16666666666666666,300
logreg,0.16666666666666666,3600,7200,roberta-base,x_only,0.16666666666666666,300
linear_svc,0.16666666666666666,3600,7200,roberta-base,x_only,0.16666666666666666,300
logreg,1.0,3600,7200,roberta-base,y_only,0.16666666666666666,300
linear_svc,1.0,3600,7200,roberta-base,y_only,0.16666666666666666,300
logreg,1.0,3600,7200,roberta-base,delta,0.16666666666666666,300
linear_svc,1.0,3600,7200,roberta-base,delta,0.16666666666666666,300
logreg,1.0,3600,7200,roberta-base,concat,0.16666666666666666,300
linear_svc,1.0,3600,7200,roberta-base,concat,0.16666666666666666,300
logreg,0.16666666666666666,3600,7200,distilroberta-base,x_only,0.16666666666666666,300
linear_svc,0.16666666666666666,3600,7200,distilroberta-base,x_only,0.16666666666666666,300
logreg,1.0,3600,7200,distilroberta-base,y_only,0.16666666666666666,300
linear_svc,1.0,3600,7200,distilroberta-base,y_only,0.16666666666666666,300
logreg,1.0,3600,7200,distilroberta-base,delta,0.16666666666666666,300
linear_svc,1.0,3600,7200,distilroberta-base,delta,0.16666666666666666,300
logreg,1.0,3600,7200,distilroberta-base,concat,0.16666666666666666,300
linear_svc,1.0,3600,7200,distilroberta-base,concat,0.16666666666666666,300
logreg,0.16666666666666666,3600,7200,gpt2,x_only,0.16666666666666666,300
linear_svc,0.16666666666666666,3600,7200,gpt2,x_only,0.16666666666666666,300
logreg,0.9876388888888888,3600,7200,gpt2,y_only,0.16666666666666666,300
linear_svc,1.0,3600,7200,gpt2,y_only,0.16666666666666666,300
logreg,0.9923611111111111,3600,7200,gpt2,delta,0.16666666666666666,300
linear_svc,1.0,3600,7200,gpt2,delta,0.16666666666666666,300
logreg,0.9979166666666667,3600,7200,gpt2,concat,0.16666666666666666,300
linear_svc,1.0,3600,7200,gpt2,concat,0.16666666666666666,300
logreg,0.16666666666666666,3600,7200,distilgpt2,x_only,0.16666666666666666,300
linear_svc,0.16666666666666666,3600,7200,distilgpt2,x_only,0.16666666666666666,300
logreg,0.9956944444444444,3600,7200,distilgpt2,y_only,0.16666666666666666,300
linear_svc,1.0,3600,7200,distilgpt2,y_only,0.16666666666666666,300
logreg,1.0,3600,7200,distilgpt2,delta,0.16666666666666666,300
linear_svc,1.0,3600,7200,distilgpt2,delta,0.16666666666666666,300
logreg,0.9976388888888889,3600,7200,distilgpt2,concat,0.16666666666666666,300
linear_svc,1.0,3600,7200,distilgpt2,concat,0.16666666666666666,300
