ridge_alpha,method,pair,mean_closure_residual_ratio,mean_givens_spectral_matched_null,mean_p_below_givens_spectral_matched,cells
100.0,affine,MT_minus_TM,0.8770393719201324,0.9996075324426126,0.0033222591362126,35
100.0,affine,NM_minus_MN,0.8560409450794262,0.9996009159358383,0.0033222591362126,35
100.0,affine,NQ_minus_QN,0.7940387993512182,0.9995133551135875,0.0033222591362126,35
100.0,affine,NT_minus_TN,0.8107518562417588,0.9995976698190367,0.0033222591362126,35
100.0,affine,QM_minus_MQ,0.8257539628593993,0.9995255326808723,0.0033222591362126,35
100.0,affine,QT_minus_TQ,0.8072357652256557,0.9995207436367723,0.0033222591362126,35
100.0,linear,MT_minus_TM,0.8524051840801803,0.9996025055639935,0.0033222591362126,35
100.0,linear,NM_minus_MN,0.8654210271246374,0.9995870904412001,0.0033222591362126,35
100.0,linear,NQ_minus_QN,0.9291976847496006,0.9994713260689232,0.0035121025154247485,35
100.0,linear,NT_minus_TN,0.8180443075976727,0.9995844218144705,0.0033222591362126,35
100.0,linear,QM_minus_MQ,0.8731877907463684,0.9994852235543585,0.0033222591362126,35
100.0,linear,QT_minus_TQ,0.8825293386585296,0.9994866783058456,0.0033222591362126,35
