model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,givens_spectral_matched_null_mean,givens_spectral_matched_null_std,empirical_p_below_givens_spectral_matched_null,coef_N,coef_Q,coef_M,coef_T
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,NQ_minus_QN,4,0.5100645491655947,0.9490865314812261,0.999707471943915,0.0002593328865441333,0.0033222591362126247,-0.08910813314577938,0.07768010066187575,0.06400940707269405,-0.05014367875727304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,NM_minus_MN,4,0.8093984381400802,0.7668458631717955,0.9996997961507055,0.00027500126904635695,0.0033222591362126247,-0.2997611963209777,0.2752518949848264,0.1263522821711482,-0.09346602150369226
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,NT_minus_TN,4,0.7317036157927627,0.7682892305012489,0.9996749264887533,0.00028145428686650445,0.0033222591362126247,-0.24709456236374375,0.26122306631698106,0.23622762547444817,-0.2430552982329823
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,QM_minus_MQ,4,0.49595545036484173,0.744279007677942,0.9997339278671795,0.00024405171561247838,0.0033222591362126247,0.09108148197337633,-0.3405029807284447,0.23268985829394384,0.01845570425728306
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,QT_minus_TQ,4,0.41773011049476305,0.7757145584423576,0.9997253808547195,0.00021051675782976363,0.0033222591362126247,0.08435248366408724,-0.307297864206914,0.08848052982244888,0.13469168150419406
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,MT_minus_TM,4,0.4567569277064186,0.7231499161710933,0.9997291000494579,0.00025331836261386893,0.0033222591362126247,-0.011190366511553966,-0.05553623604531169,-0.336411090955766,0.4019076867116987
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,NQ_minus_QN,4,0.5926454094774545,0.7021018139648285,0.9997226446385935,0.0002829014348099211,0.0033222591362126247,-0.34218255763762945,0.3143999849938951,0.047674986542925867,-0.0121473782356136
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,NM_minus_MN,4,0.7028117399615356,0.7232868446459403,0.9997151677826056,0.00024983267297097936,0.0033222591362126247,-0.33898191916430515,0.11882961789692714,0.27927727072462855,-0.048681463376998343
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,NT_minus_TN,4,0.6756638577790113,0.7268567293799552,0.9997325233110651,0.00025013090649432404,0.0033222591362126247,-0.34127267108199444,0.09540355361604785,0.08752015986882423,0.1675804329373781
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,QM_minus_MQ,4,0.42522701213116626,0.7809769497542567,0.9997047715936608,0.00025314476816304653,0.0033222591362126247,0.019306081131662024,-0.3069667116214358,0.25516275694031665,0.03563580734033566
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,QT_minus_TQ,4,0.3483755705504168,0.7596690149286451,0.9997305334507467,0.00024385794077532883,0.0033222591362126247,0.02289197067334812,-0.3128727254604935,0.0007590921763826203,0.29053542071104316
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,MT_minus_TM,4,0.3149353356024034,0.8207548131111838,0.9997021532869034,0.0002500627401299514,0.0033222591362126247,0.011143977390192607,-0.02695131175796853,-0.2666430397661017,0.28056058402200873
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,NQ_minus_QN,4,0.547468731258422,0.9494110772806968,0.9996759812947505,0.00026899715472914295,0.0033222591362126247,-0.09779212883618041,0.06106280296984742,0.00609093072064697,0.033253304754305144
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,NM_minus_MN,4,0.8573688183611076,0.7633871997166604,0.9997054195142777,0.0002425065840555666,0.0033222591362126247,-0.3160525714433566,0.22167835014244047,0.07042379287135835,0.03322467676425083
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,NT_minus_TN,4,0.7290663368994827,0.8147517621032139,0.9996822089712311,0.00025540552221684355,0.0033222591362126247,-0.218888620323233,0.19796919075968478,0.20233752699204244,-0.17515924843157207
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,QM_minus_MQ,4,0.5246847724825198,0.7429091003088802,0.9997094838401601,0.00025484156924574,0.0033222591362126247,0.09469722651020385,-0.35165615069666445,0.22240790154816278,0.03589055563791678
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,QT_minus_TQ,4,0.4641274527449139,0.7860212622178883,0.9996974306274111,0.0002339760707182917,0.0033222591362126247,0.07879712568248155,-0.3025082989032304,0.07973782241210672,0.14435124017095546
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,MT_minus_TM,4,0.5165898822938588,0.6243262385654369,0.9996847938090021,0.0002655226592733308,0.0033222591362126247,-0.028462005176642796,-0.06264958258243461,-0.40102875784857833,0.4923485845168907
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,NQ_minus_QN,4,0.6447234787761862,0.7390792343884066,0.9996900841310999,0.00027682715533472967,0.0033222591362126247,-0.32514753197945717,0.22446769531467556,-0.03657903640520351,0.1453090903034169
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,NM_minus_MN,4,0.7717546094616593,0.7304703178354607,0.9997301541453913,0.00021738571363498737,0.0033222591362126247,-0.33627442641712846,0.07534963847682485,0.27985401688202743,-0.008149594877987892
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,NT_minus_TN,4,0.7052523913451036,0.7352141776191735,0.999713254887213,0.00027105480285127684,0.0033222591362126247,-0.3214144362922902,0.06151882007066789,0.02614775068331319,0.2431122585577356
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,QM_minus_MQ,4,0.47941211120584276,0.7398193385867229,0.9996904030937196,0.0002774797549837451,0.0033222591362126247,0.03406598555453035,-0.34155992882732156,0.31517760713120907,-0.0047093298349784735
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,QT_minus_TQ,4,0.43505727129399907,0.6969964096551997,0.9997024299860158,0.00023317010028288553,0.0033222591362126247,0.02765271786828643,-0.3403618377808663,-0.03576391755687381,0.35028948726420345
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,MT_minus_TM,4,0.3545669785428705,0.7037266669883526,0.9997002029288402,0.0002657613510349152,0.0033222591362126247,-0.005153877637520913,-0.026956945350382542,-0.37738974656115093,0.4084575209626757
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,NQ_minus_QN,4,0.5675055630231777,0.939465359804828,0.9996844907126615,0.00024365121808780853,0.0033222591362126247,-0.10733200546868141,0.06024859186797599,0.03852514651685481,0.011754692575479501
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,NM_minus_MN,4,0.8562601972647578,0.779709505697134,0.999680908267019,0.00025684195015085367,0.0033222591362126247,-0.3026124858434071,0.22996202903303545,0.08096691516745333,0.0006916174936966576
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,NT_minus_TN,4,0.7762793388319137,0.788541984893728,0.9996853517927191,0.0002601332002537356,0.0033222591362126247,-0.2480308055427819,0.21663103624351746,0.20077753278640786,-0.16114709650363038
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,QM_minus_MQ,4,0.5187007009855591,0.7564143910090172,0.9996867699463333,0.0003236093011604277,0.0033222591362126247,0.0872057228448937,-0.3496487875751425,0.20741138198920647,0.05640654302092106
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,QT_minus_TQ,4,0.4678727774753271,0.795114675758141,0.9996932136176252,0.0002617819492227256,0.0033222591362126247,0.08002312491123674,-0.30291437388414466,0.10615730190884304,0.11662788673525935
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,MT_minus_TM,4,0.48863393870862837,0.72469028949514,0.9997080421103915,0.00025306559131878155,0.0033222591362126247,-0.011095302644836241,-0.055035571444046395,-0.32960265727666566,0.39394022459611966
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,affine,NQ_minus_QN,4,0.6542374638824243,0.75170538947527,0.9997161497962649,0.00024300805555569775,0.0033222591362126247,-0.318171525106394,0.22028962366378224,0.024194979232572345,0.08158054073661833
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,affine,NM_minus_MN,4,0.7752455451334082,0.7379887911739325,0.9997024689490549,0.0002764638286206506,0.0033222591362126247,-0.3319643688803579,0.08154805259766215,0.26743451316122724,-0.006069033254927992
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,affine,NT_minus_TN,4,0.7353114119216371,0.7473380850250863,0.9997166792379714,0.00023678662010485674,0.0033222591362126247,-0.3228840173631049,0.060086413376740505,0.08474245650781423,0.18717628608318987
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,affine,QM_minus_MQ,4,0.46563537111097353,0.7575513160793275,0.9997098058773843,0.0002635912092000266,0.0033222591362126247,0.024468969715612368,-0.32677089686673366,0.27561907969143784,0.029827074766580683
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,affine,QT_minus_TQ,4,0.4283526552613199,0.7228198588875994,0.9997096788203401,0.0002448731178605203,0.0033222591362126247,0.03262829571001311,-0.3383577604314886,0.022025613391797066,0.2845495574297342
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,affine,MT_minus_TM,4,0.35075987391407926,0.8132232907100857,0.9997027880309326,0.00023396106988813657,0.0033222591362126247,0.010379225952460429,-0.023938360328558773,-0.27622706062508,0.2873593155643089
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,linear,NQ_minus_QN,4,0.5623484431333687,0.9389223520904282,0.9996885876994038,0.000251725145186902,0.0033222591362126247,-0.10904219295185305,0.07305652839558703,0.03843400996440221,0.0006001644658155606
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,linear,NM_minus_MN,4,0.8547921812740745,0.7566234463076619,0.9996789899255301,0.00026938957326086383,0.0033222591362126247,-0.32138435678990734,0.25814426086934056,0.06737502238322735,0.005153717742353414
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,linear,NT_minus_TN,4,0.7869202170319778,0.7849468880216771,0.9997236112507081,0.00021779611433138483,0.0033222591362126247,-0.2606647812114064,0.23051243440595715,0.19159334115112078,-0.15322269727600785
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,linear,QM_minus_MQ,4,0.5200221391265439,0.7385601618132634,0.9997199142119791,0.00024615874391227446,0.0033222591362126247,0.09795638754842051,-0.3635909895178265,0.23725527050319248,0.029460916929471146
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,linear,QT_minus_TQ,4,0.47032754403996746,0.7898131361344912,0.9997136994462816,0.00022620941357607535,0.0033222591362126247,0.08442668037353601,-0.310234557648745,0.09827613171291041,0.12708507591354914
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,linear,MT_minus_TM,4,0.4807613937718026,0.7063803217608865,0.9997089200841981,0.0002490216517718791,0.0033222591362126247,-0.015691562609146597,-0.03960315690741714,-0.35742987656924075,0.41115100271379346
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,affine,NQ_minus_QN,4,0.6357877717198254,0.7306025968930098,0.9997308696821362,0.00022943110670903011,0.0033222591362126247,-0.32111243639492176,0.23969706522506964,0.05053463245807907,0.038749351145838364
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,affine,NM_minus_MN,4,0.8098435563597687,0.7112922653839867,0.9997216449774896,0.0002539915367106538,0.0033222591362126247,-0.3589299119001627,0.06527934579990496,0.2961195532461767,0.009199278644533631
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,affine,NT_minus_TN,4,0.7634515081991219,0.7268904427281845,0.9997238655093528,0.00024084345834101466,0.0033222591362126247,-0.34109094668746126,0.049647125266279735,0.1167146650846366,0.18461004639557757
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,affine,QM_minus_MQ,4,0.46699198799854086,0.7358740276528313,0.9997042622532859,0.0002644328857595955,0.0033222591362126247,0.011636066517988614,-0.3387069816297095,0.3035871347764397,0.0268754263942861
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,affine,QT_minus_TQ,4,0.437677337324711,0.7209349016883282,0.9997075947698651,0.00025878611559095255,0.0033222591362126247,0.023875931874338303,-0.3418071149432294,0.03658894272609153,0.2824687481343819
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,affine,MT_minus_TM,4,0.34110132432262674,0.8058272264888079,0.9997321289937675,0.00022857842338103548,0.0033222591362126247,0.013812373918821168,-0.01410530310634905,-0.28615173364057445,0.28423295671038407
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,linear,NQ_minus_QN,4,0.5749849026550637,0.9456894374715059,0.9996854791569071,0.00025175755038220386,0.0033222591362126247,-0.09530001977336963,0.046452307467600346,0.0671530522008286,-0.015295792110874609
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,linear,NM_minus_MN,4,0.8920753247674688,0.776684857055045,0.9996789364729606,0.00027435709012198683,0.0033222591362126247,-0.306092848890579,0.22894958852345598,0.07465398372644005,0.011477545984180678
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,linear,NT_minus_TN,4,0.8224900428986601,0.7821208043128102,0.9997150794913375,0.0002313934128195102,0.0033222591362126247,-0.2538819787739266,0.1961107904739427,0.24323270338281414,-0.1768124270200306
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,linear,QM_minus_MQ,4,0.5188647446499389,0.7811631268513597,0.9997111118803275,0.00023421078269959453,0.0033222591362126247,0.07774666649130264,-0.3293641820521157,0.19978475613248844,0.05231263976180876
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,linear,QT_minus_TQ,4,0.47481999817870546,0.7809684291633501,0.999703783838126,0.00024343113602604737,0.0033222591362126247,0.08022906530279694,-0.31121466330159764,0.10842906408395639,0.12203254651784877
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,linear,MT_minus_TM,4,0.47460204267329287,0.7256479938603996,0.9997176712733218,0.0002450747463501594,0.0033222591362126247,-0.00789193687574948,-0.05394545128990133,-0.3356626182293393,0.3965501772193071
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,affine,NQ_minus_QN,4,0.6507539344385025,0.7594657529978196,0.999713138687546,0.00023865833482135003,0.0033222591362126247,-0.3265127244854473,0.24091774934662738,0.01904407379233709,0.07469163797385603
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,affine,NM_minus_MN,4,0.7549974854115862,0.7474081487473001,0.999739900741589,0.00021721530824138471,0.0033222591362126247,-0.33234970391868995,0.0763149912628848,0.26909199496192165,-0.002746019809471042
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,affine,NT_minus_TN,4,0.7346705447080585,0.7547831344143763,0.9997065067994998,0.00023824377633853154,0.0033222591362126247,-0.3324563887284101,0.07270135162226807,0.09123772046315923,0.17774018005645822
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,affine,QM_minus_MQ,4,0.4653527394197439,0.7751747127967367,0.9997080841753374,0.000254770272882194,0.0033222591362126247,0.021654838081988616,-0.3060624114006794,0.2775304139441073,0.009051516183972031
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,affine,QT_minus_TQ,4,0.43021685319299696,0.7438775832687233,0.9997035058015009,0.0002890440152718219,0.0033222591362126247,0.03249021494866403,-0.32520760601402393,0.039875971675153346,0.2534555499680321
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,affine,MT_minus_TM,4,0.32265223025488665,0.8417784863731456,0.999664900208644,0.0002720387483749306,0.0033222591362126247,0.005737014468382786,-0.008884610466970458,-0.25938960406977357,0.26098793712093626
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,linear,NQ_minus_QN,4,0.5571085703045768,0.946278415508972,0.9997022179005425,0.00023457401192016636,0.0033222591362126247,-0.09773896878474388,0.061998817521875214,0.06001928292204486,-0.021095831393815937
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,linear,NM_minus_MN,4,0.8240369127268355,0.7805779826095449,0.9996998642654287,0.0002595126484809172,0.0033222591362126247,-0.2860442203798127,0.20283341930740453,0.12328816558584176,-0.03021510969876213
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,linear,NT_minus_TN,4,0.7748340494416878,0.7924899366174455,0.9996808356248847,0.00026135382352243696,0.0033222591362126247,-0.24289111684632383,0.19678263598674728,0.23462337507034992,-0.17946585017075392
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,linear,QM_minus_MQ,4,0.5047868106612852,0.7716380123739836,0.9997104528588083,0.00025928000602798245,0.0033222591362126247,0.07899815976472781,-0.3204999934187542,0.21593889476443148,0.026455673906181216
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,linear,QT_minus_TQ,4,0.4697986452909091,0.7917079185207644,0.9997177532454049,0.00023392643566575027,0.0033222591362126247,0.08114412018322137,-0.3025279336493593,0.12767267565050724,0.09325053127570385
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,linear,MT_minus_TM,4,0.4502910229064697,0.7381170430001522,0.9997080175816183,0.00025516770297276837,0.0033222591362126247,-0.005650896523533079,-0.035120681274228314,-0.3216501204231769,0.3603106575353313
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,affine,NQ_minus_QN,4,0.6509857362056248,0.7508752191819451,0.9996982758816072,0.000262980730675672,0.0033222591362126247,-0.31731507500782696,0.2209870836026489,0.03802107690976579,0.06696606604189144
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,affine,NM_minus_MN,4,0.7489305678964892,0.737742845140279,0.9996928412333406,0.0002582249267548624,0.0033222591362126247,-0.3194967884266751,0.06153854856352911,0.2849901582086485,-0.015711343485693287
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,affine,NT_minus_TN,4,0.7254077677087775,0.7480483163031151,0.9997276784461773,0.00022156252222310793,0.0033222591362126247,-0.31597877589083184,0.048942994412556784,0.1085328250142819,0.16812742169185127
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,affine,QM_minus_MQ,4,0.45689913913067015,0.7689988650993429,0.9996975771235324,0.00028820589579955805,0.0033222591362126247,0.0201094893644006,-0.3036578723750963,0.28074576327542705,0.005461012366511117
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,affine,QT_minus_TQ,4,0.42630005307842633,0.7338998950078219,0.9997124026304288,0.00023460386965374887,0.0033222591362126247,0.030623133011938048,-0.32937086903088264,0.031741658816319636,0.2674160326161461
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,affine,MT_minus_TM,4,0.3274562671770945,0.8186572155383632,0.9996885298503203,0.00027501833306734527,0.0033222591362126247,0.010344645155999756,-0.013676177181266909,-0.26766629538829834,0.2685217953325224
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,linear,NQ_minus_QN,4,0.5848780229031474,0.8542569333328603,0.9997092820152922,0.00022310557712351025,0.0033222591362126247,-0.16570385139436467,0.09834040277998453,0.05615432843329246,0.016680805428192818
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,linear,NM_minus_MN,4,0.9439657386626874,0.7621406359338498,0.9996975287931582,0.00024023949771975246,0.0033222591362126247,-0.3322363197379366,0.20767536169338316,0.1389709821459016,-0.0032276011120624354
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,linear,NT_minus_TN,4,0.8470835367940669,0.7721441339090369,0.999682222199229,0.0002637014066228131,0.0033222591362126247,-0.2815134133606993,0.1754766045297298,0.2072320764540301,-0.09108024033416894
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,linear,QM_minus_MQ,4,0.524426888929703,0.7804651288097286,0.9997151232733802,0.00026091335762967445,0.0033222591362126247,0.06270328761728142,-0.3243656769883375,0.225790956288874,0.037248252135173715
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,linear,QT_minus_TQ,4,0.46611755508193636,0.772849551513063,0.9996937741456372,0.00026194905760029653,0.0033222591362126247,0.06691297998804807,-0.3162815046701695,0.08818514807240133,0.1608688238861639
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,linear,MT_minus_TM,4,0.48394072470149097,0.7207044463877832,0.9997253529360969,0.00024263655090587616,0.0033222591362126247,-0.006252564417440621,-0.05313725570979503,-0.3376045252292259,0.39501125801936104
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,affine,NQ_minus_QN,4,0.5970054142598638,0.7549164015911034,0.9997227394162265,0.0002227611977557508,0.0033222591362126247,-0.2792005599426735,0.18030765181626818,0.07615403467985762,0.031126847933421478
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,affine,NM_minus_MN,4,0.7469810933556267,0.7474606524263702,0.999704713079334,0.00021327226316682817,0.0033222591362126247,-0.30508410838070865,0.0672981610777735,0.2693003660443864,-0.020500552433912064
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,affine,NT_minus_TN,4,0.701126970467789,0.7554534423276582,0.9996640324043877,0.0003006078750516034,0.0033222591362126247,-0.28723713504770826,0.03220386716319659,0.14182079034871709,0.12263164829765083
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,affine,QM_minus_MQ,4,0.4472651710667391,0.786302999605993,0.9997338489125763,0.0002097431469283609,0.0033222591362126247,0.011351498547717142,-0.2861583214775007,0.2323734874788219,0.04500585231496545
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,affine,QT_minus_TQ,4,0.42244110029704596,0.7471622276497586,0.9997122768307649,0.00022080610541269283,0.0033222591362126247,0.030046624208855052,-0.31375074855842017,0.02368148918101538,0.2602695020268093
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,affine,MT_minus_TM,4,0.298455159565134,0.8451634622188394,0.9997226992998995,0.0002423858557700851,0.0033222591362126247,0.02219864620903297,-0.0331275944358648,-0.21596615407220185,0.22457956987739486
