model,class,layer,n_layers,relative_layer,n,mean_delta_norm,median_delta_norm,std_delta_norm,centroid_norm,centroid_to_mean_norm,mean_pairwise_cosine,median_pairwise_cosine,resultant_length_unit_deltas
gpt2,question,0,12,0.0,80,5.737452507019043,5.550515174865723,0.7689319252967834,4.946059703826904,0.8620654720496889,0.7382543683052063,0.7072761058807373,0.8611192107200623
gpt2,question,1,12,0.09090909090909091,80,7.140100002288818,7.025912284851074,0.9093950986862183,6.3780598640441895,0.8932731841288996,0.7930936217308044,0.7679076790809631,0.892008900642395
gpt2,question,2,12,0.18181818181818182,80,9.6433687210083,9.259788513183594,1.481969952583313,8.505950927734375,0.8820518196305284,0.7746763825416565,0.7600835561752319,0.8817556500434875
gpt2,question,3,12,0.2727272727272727,80,13.572982788085938,13.822294235229492,1.1988884210586548,11.050095558166504,0.8141243329259371,0.6570268273353577,0.6246142983436584,0.8132121562957764
gpt2,question,4,12,0.36363636363636365,80,17.494098663330078,17.30978012084961,1.6456995010375977,13.873915672302246,0.7930626172460659,0.623257577419281,0.5980509519577026,0.7924436330795288
gpt2,question,5,12,0.45454545454545453,80,22.455381393432617,22.75920867919922,2.250258207321167,17.336214065551758,0.7720293751332676,0.5895867347717285,0.5481115579605103,0.7711789011955261
gpt2,question,6,12,0.5454545454545454,80,35.253543853759766,35.245121002197266,2.3925061225891113,26.316844940185547,0.7465021119395384,0.5519741177558899,0.5083576440811157,0.7467090487480164
gpt2,question,7,12,0.6363636363636364,80,43.85919189453125,43.491859436035156,3.815347909927368,31.729333877563477,0.7234363540911259,0.51796555519104,0.46786749362945557,0.7238722443580627
gpt2,question,8,12,0.7272727272727273,80,55.886817932128906,56.107669830322266,5.6117658615112305,39.526756286621094,0.7072643916607168,0.494199275970459,0.4337507486343384,0.7074756622314453
gpt2,question,9,12,0.8181818181818182,80,66.53416442871094,66.97802734375,7.2371721267700195,46.49800491333008,0.6988590795808429,0.4807681739330292,0.42122992873191833,0.6980391144752502
gpt2,question,10,12,0.9090909090909091,80,82.4488296508789,83.22206115722656,10.91951847076416,58.25075912475586,0.7065080168076613,0.4850616455078125,0.4505040943622589,0.7010694146156311
gpt2,question,11,12,1.0,80,47.65483474731445,46.13645935058594,24.83036231994629,32.791297912597656,0.6881001284858068,0.2546846866607666,0.5219521522521973,0.5138103365898132
distilgpt2,question,0,6,0.0,80,6.7133893966674805,6.571157455444336,0.725982666015625,5.9630961418151855,0.8882392766870296,0.785700261592865,0.7510219812393188,0.887907087802887
distilgpt2,question,1,6,0.2,80,10.534629821777344,10.45003604888916,1.5411311388015747,8.518442153930664,0.8086133350713857,0.6515965461730957,0.6194857358932495,0.809908390045166
distilgpt2,question,2,6,0.4,80,15.37449836730957,15.152469635009766,1.7481749057769775,12.036162376403809,0.7828653715294693,0.6077336072921753,0.5878740549087524,0.7827112674713135
distilgpt2,question,3,6,0.6,80,27.2353515625,26.474973678588867,3.703284740447998,19.513607025146484,0.7164808201710089,0.508289098739624,0.46128523349761963,0.7172415852546692
distilgpt2,question,4,6,0.8,80,42.43159866333008,41.39209747314453,5.523075580596924,29.424070358276367,0.6934471310340783,0.4749792218208313,0.425030380487442,0.6939322352409363
distilgpt2,question,5,6,1.0,80,15.919794082641602,14.069135665893555,6.422061443328857,9.583949089050293,0.6020146390900685,0.24863401055335999,0.2687986493110657,0.5079626441001892
