model,classifier,concat,delta,x_only,y_only
microsoft/deberta-v3-small,linear_svc,0.8225,0.8708333333333333,0.16666666666666666,0.8041666666666667
microsoft/deberta-v3-small,logreg,0.8283333333333334,0.7958333333333333,0.16666666666666666,0.77
