model,scale,language,template_id,representation,row_cosine,norm_ratio_pos_over_neg
BAAI/bge-m3,affect,en,0,mean_pool,0.511110782623291,1.3016507625579834
BAAI/bge-m3,affect,en,1,mean_pool,0.4998857676982879,1.2332775592803955
BAAI/bge-m3,affect,en,2,mean_pool,0.4370226263999939,1.2133936882019043
BAAI/bge-m3,affect,en,3,mean_pool,0.4222043752670288,1.3042455911636353
BAAI/bge-m3,affect,en,4,mean_pool,0.4672353267669678,1.2520960569381714
BAAI/bge-m3,affect,en,5,mean_pool,0.437416136264801,1.326362371444702
BAAI/bge-m3,affect,en,6,mean_pool,0.4556024670600891,1.321566462516785
BAAI/bge-m3,affect,en,7,mean_pool,0.4959805011749267,1.1451213359832764
BAAI/bge-m3,affect,en,8,mean_pool,0.4308319389820099,1.4370101690292358
BAAI/bge-m3,affect,en,9,mean_pool,0.4617811143398285,1.3061360120773315
BAAI/bge-m3,affect,en,10,mean_pool,0.4953521490097046,1.346364140510559
BAAI/bge-m3,affect,en,11,mean_pool,0.4585416615009308,1.3020522594451904
BAAI/bge-m3,affect,en,12,mean_pool,0.4913923740386963,1.436786413192749
BAAI/bge-m3,affect,en,13,mean_pool,0.4358193278312683,1.295143961906433
BAAI/bge-m3,affect,en,14,mean_pool,0.427354097366333,1.3108464479446411
BAAI/bge-m3,affect,en,15,mean_pool,0.5093771815299988,1.2863727807998655
BAAI/bge-m3,affect,en,16,mean_pool,0.4657765924930572,1.348732590675354
BAAI/bge-m3,affect,en,17,mean_pool,0.5134615898132324,1.1788302659988403
BAAI/bge-m3,affect,en,18,mean_pool,0.4802136421203613,1.3358970880508425
BAAI/bge-m3,affect,en,19,mean_pool,0.3907366394996643,1.4751322269439695
BAAI/bge-m3,affect,en,20,mean_pool,0.4605000615119934,1.4247182607650757
BAAI/bge-m3,affect,en,21,mean_pool,0.4608623683452606,1.2819215059280396
BAAI/bge-m3,affect,en,22,mean_pool,0.5452170372009277,1.2256907224655151
BAAI/bge-m3,affect,en,23,mean_pool,0.4488835334777832,1.3557016849517822
BAAI/bge-m3,affect,en,24,mean_pool,0.4402275085449219,1.2645344734191897
BAAI/bge-m3,affect,en,25,mean_pool,0.4716870188713074,1.2486472129821775
BAAI/bge-m3,affect,en,26,mean_pool,0.4578035175800323,1.3111878633499146
BAAI/bge-m3,affect,en,27,mean_pool,0.4445027709007263,1.400909185409546
BAAI/bge-m3,affect,en,28,mean_pool,0.5323216319084167,1.1071001291275024
BAAI/bge-m3,affect,en,29,mean_pool,0.4416985809803009,1.2270371913909912
BAAI/bge-m3,affect,en,30,mean_pool,0.4908133447170257,1.3095948696136477
BAAI/bge-m3,affect,en,31,mean_pool,0.4341083168983459,1.317318081855774
BAAI/bge-m3,affect,en,32,mean_pool,0.4497572183609009,1.308159351348877
BAAI/bge-m3,affect,en,33,mean_pool,0.447971373796463,1.2750005722045898
BAAI/bge-m3,affect,en,34,mean_pool,0.4298186302185058,1.25167715549469
BAAI/bge-m3,affect,en,35,mean_pool,0.4910407364368438,1.2530105113983154
BAAI/bge-m3,affect,en,36,mean_pool,0.4416237473487854,1.3733150959014893
BAAI/bge-m3,affect,en,37,mean_pool,0.429228663444519,1.3246225118637085
BAAI/bge-m3,affect,en,38,mean_pool,0.5175181031227112,1.1668808460235596
BAAI/bge-m3,affect,en,39,mean_pool,0.4723100364208221,1.2568591833114624
BAAI/bge-m3,affect,en,40,mean_pool,0.3875357210636139,1.3623384237289429
BAAI/bge-m3,affect,en,41,mean_pool,0.4606478810310364,1.409306287765503
BAAI/bge-m3,affect,en,42,mean_pool,0.5317859649658203,1.092105269432068
BAAI/bge-m3,affect,en,43,mean_pool,0.4713006317615509,1.4606729745864868
BAAI/bge-m3,affect,en,44,mean_pool,0.4762417674064636,1.239735126495361
