scale,representation,mean_row_cosine,std_row_cosine,mean_norm_ratio_pos_over_neg,cells
affect,marker_pool,0.5241141230311422,0.13092172863280857,1.062753131347043,2520
affect,mean_pool,0.590105964900304,0.18828566479576722,1.0519057802028127,2520
attention,marker_pool,0.4179257264745603,0.1639654133172632,1.0621052534689033,2520
attention,mean_pool,0.36100162180438117,0.172385089764381,1.0397053307011015,2520
random_label,marker_pool,0.48641845097854025,0.13336949227083034,1.0042796866643051,2520
random_label,mean_pool,0.5042872244957604,0.14477241290368636,1.023729830578206,2520
size,marker_pool,0.4205315530534588,0.1852656666777105,1.157076879377876,2520
size,mean_pool,0.3961516638828759,0.24436228967133622,1.084529699420645,2520
