model,scale,language,template_id,representation,cv_adjacent_norm,cos_step_12,cos_step_23,cos_step_34
xlm-roberta-base,affect,en,0,mean_pool,0.41278573870658875,0.1534569263458252,-0.8247669339179993,0.22368007898330688
xlm-roberta-base,affect,en,1,mean_pool,0.5155001282691956,-0.08897899091243744,-0.8717371225357056,-0.09224964678287506
xlm-roberta-base,affect,en,2,mean_pool,0.3223381042480469,0.0012406553141772747,-0.8144505620002747,0.3015381991863251
xlm-roberta-base,affect,en,3,mean_pool,0.3961852490901947,0.10978074371814728,-0.8117761015892029,-0.0949098989367485
xlm-roberta-base,affect,en,4,mean_pool,0.46222031116485596,0.29868844151496887,-0.8509823679924011,-0.012824296951293945
xlm-roberta-base,affect,en,5,mean_pool,0.4577186107635498,0.2794390916824341,-0.911709725856781,-0.43162181973457336
xlm-roberta-base,affect,en,6,mean_pool,0.4474969804286957,0.03561737760901451,-0.8716260194778442,0.27712738513946533
xlm-roberta-base,affect,en,7,mean_pool,0.42832377552986145,0.04742066562175751,-0.8358557224273682,-0.007446585223078728
xlm-roberta-base,affect,en,8,mean_pool,0.4396635890007019,0.37134599685668945,-0.8793849945068359,0.11232880502939224
xlm-roberta-base,affect,en,9,mean_pool,0.5049014687538147,0.182766854763031,-0.897640585899353,0.004650882910937071
xlm-roberta-base,affect,en,10,mean_pool,0.4179302752017975,-0.04306907579302788,-0.7360110878944397,-0.17924267053604126
xlm-roberta-base,affect,en,11,mean_pool,0.41197794675827026,0.32464924454689026,-0.8729145526885986,0.2266278862953186
xlm-roberta-base,affect,en,12,mean_pool,0.4424241781234741,0.25729236006736755,-0.8800755739212036,-0.47806787490844727
xlm-roberta-base,affect,en,13,mean_pool,0.41525983810424805,-0.015657411888241768,-0.831048309803009,-0.33939653635025024
xlm-roberta-base,affect,en,14,mean_pool,0.4117148220539093,0.27459046244621277,-0.9003258943557739,0.3964938819408417
xlm-roberta-base,affect,en,15,mean_pool,0.37640810012817383,0.009096783585846424,-0.7540372014045715,0.21738384664058685
xlm-roberta-base,affect,en,16,mean_pool,0.5163416266441345,0.057036157697439194,-0.8772758841514587,0.08763306587934494
xlm-roberta-base,affect,en,17,mean_pool,0.5541137456893921,0.03293425589799881,-0.9141450524330139,-0.06360704451799393
xlm-roberta-base,affect,en,18,mean_pool,0.48978689312934875,0.03388253599405289,-0.8454895615577698,-0.2613334357738495
xlm-roberta-base,affect,en,19,mean_pool,0.417425274848938,0.04272744059562683,-0.8444355130195618,-0.11180941015481949
xlm-roberta-base,affect,en,20,mean_pool,0.4783443808555603,0.11915352940559387,-0.8390835523605347,0.06361261010169983
xlm-roberta-base,affect,en,21,mean_pool,0.5181391835212708,0.2756398618221283,-0.9191494584083557,0.3925354778766632
xlm-roberta-base,affect,en,22,mean_pool,0.3710419535636902,-0.23685958981513977,-0.7425597310066223,0.022947926074266434
xlm-roberta-base,affect,en,23,mean_pool,0.47040247917175293,0.2795543074607849,-0.8574999570846558,0.16953885555267334
xlm-roberta-base,affect,en,24,mean_pool,0.37358802556991577,0.10826294124126434,-0.8933658003807068,0.017233727499842644
xlm-roberta-base,affect,en,25,mean_pool,0.4942254424095154,0.07539917528629303,-0.9144427180290222,-0.18639209866523743
xlm-roberta-base,affect,en,26,mean_pool,0.4757751226425171,-0.04626988247036934,-0.8789951801300049,-0.11654656380414963
xlm-roberta-base,affect,en,27,mean_pool,0.47132498025894165,0.06654489040374756,-0.8189713358879089,-0.1319120079278946
xlm-roberta-base,affect,en,28,mean_pool,0.374997079372406,-0.0834854245185852,-0.7756696343421936,0.09769988805055618
xlm-roberta-base,affect,en,29,mean_pool,0.4690193831920624,0.1175871416926384,-0.919640839099884,-0.18852058053016663
xlm-roberta-base,affect,en,30,mean_pool,0.5145388245582581,0.06494734436273575,-0.9069023728370667,-0.04982077330350876
xlm-roberta-base,affect,en,31,mean_pool,0.5274468660354614,-0.05247585475444794,-0.932523250579834,0.3998272716999054
xlm-roberta-base,affect,en,32,mean_pool,0.49044308066368103,-0.1235346868634224,-0.9011740684509277,-0.4304297864437103
xlm-roberta-base,affect,en,33,mean_pool,0.47458401322364807,0.04828871414065361,-0.8779578804969788,-0.05489028990268707
xlm-roberta-base,affect,en,34,mean_pool,0.4870474338531494,0.1913016438484192,-0.9203372597694397,-0.03939194604754448
xlm-roberta-base,affect,en,35,mean_pool,0.4549206793308258,0.30699586868286133,-0.8742469549179077,-0.24711661040782928
xlm-roberta-base,affect,en,36,mean_pool,0.45988407731056213,0.06825314462184906,-0.8630309104919434,-0.03584859147667885
xlm-roberta-base,affect,en,37,mean_pool,0.42977219820022583,0.30981138348579407,-0.8757755160331726,-0.37789151072502136
xlm-roberta-base,affect,en,38,mean_pool,0.49123480916023254,-0.07605750113725662,-0.8787305355072021,-0.28149959444999695
xlm-roberta-base,affect,en,39,mean_pool,0.4758993685245514,-0.019239913672208786,-0.8538159132003784,-0.13714993000030518
xlm-roberta-base,affect,en,40,mean_pool,0.41169050335884094,0.31105920672416687,-0.8821684718132019,0.10647866129875183
xlm-roberta-base,affect,en,41,mean_pool,0.4374716281890869,0.2584848999977112,-0.8666361570358276,-0.2254280149936676
xlm-roberta-base,affect,en,42,mean_pool,0.4510476887226105,-0.14890238642692566,-0.8806985020637512,-0.13080759346485138
xlm-roberta-base,affect,en,43,mean_pool,0.43129774928092957,-0.1252499371767044,-0.8761526346206665,0.30005931854248047
xlm-roberta-base,affect,en,44,mean_pool,0.5146571397781372,0.06472703069448471,-0.9131408929824829,-0.31818073987960815
xlm-roberta-base,affect,en,45,mean_pool,0.42609190940856934,-0.055765192955732346,-0.7809534668922424,0.041034553200006485
xlm-roberta-base,affect,en,46,mean_pool,0.4144650101661682,0.2999577820301056,-0.9031937718391418,-0.11888694763183594
xlm-roberta-base,affect,en,47,mean_pool,0.38708361983299255,-0.10623017698526382,-0.7822413444519043,0.011204736307263374
xlm-roberta-base,affect,en,48,mean_pool,0.45376676321029663,0.15171892940998077,-0.756761372089386,0.1467868685722351
xlm-roberta-base,affect,en,49,mean_pool,0.4979151785373688,0.12067004293203354,-0.8903517723083496,-0.1732485294342041
xlm-roberta-base,affect,en,50,mean_pool,0.348531037569046,-0.27229416370391846,-0.6544743776321411,0.07497895509004593
xlm-roberta-base,affect,en,51,mean_pool,0.4782077670097351,0.15564148128032684,-0.8647139072418213,0.03485577926039696
xlm-roberta-base,affect,en,52,mean_pool,0.3731998801231384,-0.0015522181056439877,-0.7918611764907837,0.032243721187114716
xlm-roberta-base,affect,en,53,mean_pool,0.4249792695045471,0.28859761357307434,-0.8742631077766418,-0.43398764729499817
xlm-roberta-base,affect,en,54,mean_pool,0.525607168674469,0.0982113853096962,-0.8649323582649231,-0.08481339365243912
xlm-roberta-base,affect,en,55,mean_pool,0.5132636427879333,0.10477601736783981,-0.8905978202819824,-0.06366844475269318
xlm-roberta-base,affect,en,56,mean_pool,0.3899332582950592,0.0761784240603447,-0.8097339868545532,-0.10333306342363358
xlm-roberta-base,affect,en,57,mean_pool,0.5029308199882507,0.32730820775032043,-0.9025146961212158,0.4137074649333954
xlm-roberta-base,affect,en,58,mean_pool,0.46133923530578613,0.022688547149300575,-0.8529677987098694,-0.35772913694381714
xlm-roberta-base,affect,en,59,mean_pool,0.45142409205436707,0.1975816935300827,-0.9094022512435913,-0.2453899085521698
xlm-roberta-base,affect,en,60,mean_pool,0.4259684085845947,0.1339060664176941,-0.8094441890716553,-0.21930614113807678
xlm-roberta-base,affect,en,61,mean_pool,0.33525705337524414,0.20731998980045319,-0.8537585735321045,-0.3234710991382599
xlm-roberta-base,affect,en,62,mean_pool,0.4777563810348511,-0.04463716223835945,-0.8550283908843994,-0.0981447845697403
xlm-roberta-base,affect,en,63,mean_pool,0.45128098130226135,-0.04143368825316429,-0.8000495433807373,0.0448787547647953
xlm-roberta-base,affect,en,64,mean_pool,0.4075312614440918,-0.16635435819625854,-0.7084965109825134,-0.20768094062805176
xlm-roberta-base,affect,en,65,mean_pool,0.38820135593414307,0.18369190394878387,-0.85048907995224,0.04406529292464256
xlm-roberta-base,affect,en,66,mean_pool,0.45660868287086487,-0.1895832121372223,-0.7988730072975159,0.019175557419657707
xlm-roberta-base,affect,en,67,mean_pool,0.35763901472091675,0.19686375558376312,-0.8659787178039551,-0.10987922549247742
xlm-roberta-base,affect,en,68,mean_pool,0.4270886778831482,0.19346883893013,-0.82648104429245,-0.036078810691833496
xlm-roberta-base,affect,en,69,mean_pool,0.5255947709083557,0.02509123645722866,-0.8897194266319275,-0.13226492702960968
xlm-roberta-base,affect,en,70,mean_pool,0.3315483033657074,0.15619038045406342,-0.8304980397224426,-0.5509501099586487
xlm-roberta-base,affect,en,71,mean_pool,0.38053789734840393,0.15282763540744781,-0.9141607880592346,0.26129695773124695
xlm-roberta-base,affect,en,72,mean_pool,0.3640672564506531,-0.1400589793920517,-0.7868110537528992,-0.06010781228542328
xlm-roberta-base,affect,en,73,mean_pool,0.4345569908618927,-0.10950177162885666,-0.7267332673072815,-0.11026985943317413
xlm-roberta-base,affect,en,74,mean_pool,0.5085501670837402,0.24793730676174164,-0.9275467395782471,-0.19415903091430664
xlm-roberta-base,affect,en,75,mean_pool,0.4502202868461609,0.32154011726379395,-0.8991771936416626,0.09668831527233124
xlm-roberta-base,affect,en,76,mean_pool,0.4423269033432007,0.15844221413135529,-0.8863686919212341,-0.4515359401702881
xlm-roberta-base,affect,en,77,mean_pool,0.4042392373085022,0.21587848663330078,-0.7985956072807312,0.16455234587192535
xlm-roberta-base,affect,en,78,mean_pool,0.5069512128829956,-0.09469182044267654,-0.8324444890022278,-0.01230472233146429
