model,scale,language,template_id,representation,from_level,to_level,step_size,delta_norm
BAAI/bge-m3,affect,en,0,mean_pool,-2,-1,1,4.330053806304932
BAAI/bge-m3,affect,en,0,mean_pool,-1,0,1,9.356131553649902
BAAI/bge-m3,affect,en,0,mean_pool,0,1,1,12.465429306030273
BAAI/bge-m3,affect,en,0,mean_pool,1,2,1,2.5235464572906494
BAAI/bge-m3,affect,en,0,mean_pool,-2,0,2,9.909984588623047
BAAI/bge-m3,affect,en,0,mean_pool,-1,1,2,10.267394065856934
BAAI/bge-m3,affect,en,0,mean_pool,0,2,2,12.899338722229004
BAAI/bge-m3,affect,en,0,mean_pool,-2,2,4,11.572720527648926
BAAI/bge-m3,affect,en,1,mean_pool,-2,-1,1,4.7962164878845215
BAAI/bge-m3,affect,en,1,mean_pool,-1,0,1,10.16584587097168
BAAI/bge-m3,affect,en,1,mean_pool,0,1,1,13.098904609680176
BAAI/bge-m3,affect,en,1,mean_pool,1,2,1,2.737433433532715
BAAI/bge-m3,affect,en,1,mean_pool,-2,0,2,11.198819160461426
BAAI/bge-m3,affect,en,1,mean_pool,-1,1,2,10.886545181274414
BAAI/bge-m3,affect,en,1,mean_pool,0,2,2,13.81125259399414
BAAI/bge-m3,affect,en,1,mean_pool,-2,2,4,12.709440231323242
BAAI/bge-m3,affect,en,2,mean_pool,-2,-1,1,5.380598545074463
BAAI/bge-m3,affect,en,2,mean_pool,-1,0,1,11.054638862609863
BAAI/bge-m3,affect,en,2,mean_pool,0,1,1,12.905913352966309
BAAI/bge-m3,affect,en,2,mean_pool,1,2,1,4.421884059906006
BAAI/bge-m3,affect,en,2,mean_pool,-2,0,2,11.790146827697754
BAAI/bge-m3,affect,en,2,mean_pool,-1,1,2,11.224621772766113
BAAI/bge-m3,affect,en,2,mean_pool,0,2,2,14.306089401245117
BAAI/bge-m3,affect,en,2,mean_pool,-2,2,4,14.008774757385254
BAAI/bge-m3,affect,en,3,mean_pool,-2,-1,1,5.240795612335205
BAAI/bge-m3,affect,en,3,mean_pool,-1,0,1,10.68850326538086
BAAI/bge-m3,affect,en,3,mean_pool,0,1,1,14.115448951721191
BAAI/bge-m3,affect,en,3,mean_pool,1,2,1,3.082732677459717
BAAI/bge-m3,affect,en,3,mean_pool,-2,0,2,11.369213104248047
BAAI/bge-m3,affect,en,3,mean_pool,-1,1,2,12.150586128234863
BAAI/bge-m3,affect,en,3,mean_pool,0,2,2,14.828246116638184
BAAI/bge-m3,affect,en,3,mean_pool,-2,2,4,14.379875183105469
BAAI/bge-m3,affect,en,4,mean_pool,-2,-1,1,5.132749557495117
BAAI/bge-m3,affect,en,4,mean_pool,-1,0,1,9.671422004699707
BAAI/bge-m3,affect,en,4,mean_pool,0,1,1,12.66263198852539
BAAI/bge-m3,affect,en,4,mean_pool,1,2,1,2.940382719039917
BAAI/bge-m3,affect,en,4,mean_pool,-2,0,2,10.466607093811035
BAAI/bge-m3,affect,en,4,mean_pool,-1,1,2,10.48974323272705
BAAI/bge-m3,affect,en,4,mean_pool,0,2,2,13.10519790649414
BAAI/bge-m3,affect,en,4,mean_pool,-2,2,4,12.374069213867188
BAAI/bge-m3,affect,en,5,mean_pool,-2,-1,1,4.6000189781188965
BAAI/bge-m3,affect,en,5,mean_pool,-1,0,1,8.642928123474121
BAAI/bge-m3,affect,en,5,mean_pool,0,1,1,12.228254318237305
BAAI/bge-m3,affect,en,5,mean_pool,1,2,1,3.147857189178467
BAAI/bge-m3,affect,en,5,mean_pool,-2,0,2,9.701878547668457
BAAI/bge-m3,affect,en,5,mean_pool,-1,1,2,10.50704574584961
BAAI/bge-m3,affect,en,5,mean_pool,0,2,2,12.868206977844238
BAAI/bge-m3,affect,en,5,mean_pool,-2,2,4,12.267766952514648
BAAI/bge-m3,affect,en,6,mean_pool,-2,-1,1,5.8194708824157715
BAAI/bge-m3,affect,en,6,mean_pool,-1,0,1,11.030768394470215
BAAI/bge-m3,affect,en,6,mean_pool,0,1,1,14.307363510131836
BAAI/bge-m3,affect,en,6,mean_pool,1,2,1,4.421431541442871
BAAI/bge-m3,affect,en,6,mean_pool,-2,0,2,11.598771095275879
BAAI/bge-m3,affect,en,6,mean_pool,-1,1,2,11.766407012939453
BAAI/bge-m3,affect,en,6,mean_pool,0,2,2,15.328546524047852
BAAI/bge-m3,affect,en,6,mean_pool,-2,2,4,14.404534339904785
BAAI/bge-m3,affect,en,7,mean_pool,-2,-1,1,4.032033920288086
BAAI/bge-m3,affect,en,7,mean_pool,-1,0,1,9.66037368774414
BAAI/bge-m3,affect,en,7,mean_pool,0,1,1,10.874860763549805
BAAI/bge-m3,affect,en,7,mean_pool,1,2,1,2.7234303951263428
BAAI/bge-m3,affect,en,7,mean_pool,-2,0,2,10.374410629272461
BAAI/bge-m3,affect,en,7,mean_pool,-1,1,2,9.65175724029541
