scale,representation,from_level,to_level,step_size,mean_delta_norm,std_delta_norm,cells
affect,marker_pool,-2,-1,1,6.260515473097089,3.318180257021267,2520
affect,marker_pool,-2,0,2,8.745765306599557,4.871728719759472,2520
affect,marker_pool,-2,2,4,8.81908738274896,5.050705382190806,2520
affect,marker_pool,-1,0,1,7.772678825211903,4.345844519922137,2520
affect,marker_pool,-1,1,2,6.782232999470499,4.40777290816487,2520
affect,marker_pool,0,1,1,8.791285458964015,5.165845420617031,2520
affect,marker_pool,0,2,2,9.409758789175086,5.525328512023219,2520
affect,marker_pool,1,2,1,7.0415731685029135,4.009586380227117,2520
affect,mean_pool,-2,-1,1,3.304388351478274,2.0068977045183307,2520
affect,mean_pool,-2,0,2,4.8892196477405605,3.301336730287556,2520
affect,mean_pool,-2,2,4,4.758623164856718,3.8491473104585467,2520
affect,mean_pool,-1,0,1,4.595120457950093,2.9791752752428873,2520
affect,mean_pool,-1,1,2,4.160726133958688,3.3450603269746293,2520
affect,mean_pool,0,1,1,5.055109386406247,3.668751710365239,2520
affect,mean_pool,0,2,2,5.238666834906926,3.9250599054831437,2520
affect,mean_pool,1,2,1,3.4595284897124485,2.3838423825550175,2520
attention,marker_pool,-2,-1,1,8.096723010355518,4.726270766576822,2520
attention,marker_pool,-2,0,2,8.280343024610055,4.848906929816655,2520
attention,marker_pool,-2,2,4,9.152172268276649,5.169928513840946,2520
attention,marker_pool,-1,0,1,6.795207094034505,3.666936507536992,2520
attention,marker_pool,-1,1,2,7.3597427593100635,4.265403527542218,2520
attention,marker_pool,0,1,1,6.864040915147653,3.871560191009892,2520
attention,marker_pool,0,2,2,8.328847617904346,4.502820063598136,2520
attention,marker_pool,1,2,1,7.703270844831353,4.21972464252071,2520
attention,mean_pool,-2,-1,1,4.63422729730133,3.5926165386287305,2520
attention,mean_pool,-2,0,2,4.624927782681254,3.6928988098813575,2520
attention,mean_pool,-2,2,4,5.258790181523987,3.877538366134574,2520
attention,mean_pool,-1,0,1,3.388220931979872,2.2165083605517113,2520
attention,mean_pool,-1,1,2,3.6304546137887335,2.6175185271879884,2520
attention,mean_pool,0,1,1,3.379230176338128,2.2284333940996404,2520
attention,mean_pool,0,2,2,4.362219630122658,3.0167306925292303,2520
attention,mean_pool,1,2,1,4.001684798607751,2.7775591379798494,2520
random_label,marker_pool,-2,-1,1,9.329975318932345,5.286151194235637,2520
random_label,marker_pool,-2,0,2,9.246099639411957,5.275374443238091,2520
random_label,marker_pool,-2,2,4,9.254673763778474,5.487641056956913,2520
random_label,marker_pool,-1,0,1,9.192948847252225,5.320866286833943,2520
random_label,marker_pool,-1,1,2,9.570847557461452,5.4198453025595414,2520
random_label,marker_pool,0,1,1,9.280004248543392,5.17348943595155,2520
random_label,marker_pool,0,2,2,9.235402697301101,5.490012878684857,2520
random_label,marker_pool,1,2,1,9.586056850637709,5.503704266950956,2520
random_label,mean_pool,-2,-1,1,4.04871683658825,3.267928808812722,2520
random_label,mean_pool,-2,0,2,3.944340325549008,3.299312654616782,2520
random_label,mean_pool,-2,2,4,4.0159312066873385,3.408844265462722,2520
random_label,mean_pool,-1,0,1,3.916775030625008,3.191134515975471,2520
random_label,mean_pool,-1,1,2,4.21143162898601,3.3633682508591596,2520
random_label,mean_pool,0,1,1,3.9998362635572753,3.286083194087752,2520
random_label,mean_pool,0,2,2,4.006525551279386,3.3730855633440537,2520
random_label,mean_pool,1,2,1,4.173071092296214,3.489468401270127,2520
size,marker_pool,-2,-1,1,6.2444645946461055,3.78059426063776,2520
size,marker_pool,-2,0,2,8.28836147203332,4.643765689424168,2520
size,marker_pool,-2,2,4,9.466693206344331,5.098374430185894,2520
size,marker_pool,-1,0,1,8.54211452343161,4.900034643074297,2520
size,marker_pool,-1,1,2,8.367678912752677,4.838902953771716,2520
size,marker_pool,0,1,1,8.991565599954791,5.1958737238767725,2520
size,marker_pool,0,2,2,9.470923298147936,5.463196794124584,2520
size,marker_pool,1,2,1,7.532295083881371,4.690205634453193,2520
size,mean_pool,-2,-1,1,2.9459425138693955,2.3362555848199995,2520
size,mean_pool,-2,0,2,4.015530417374675,3.0125311804386627,2520
size,mean_pool,-2,2,4,4.673665840155075,3.4298242013697933,2520
size,mean_pool,-1,0,1,3.9180819782709317,3.070282369915329,2520
size,mean_pool,-1,1,2,3.7698148224857593,3.115092066447242,2520
size,mean_pool,0,1,1,4.033290224356784,3.28008732899706,2520
size,mean_pool,0,2,2,4.519951678812504,3.5678427074154166,2520
size,mean_pool,1,2,1,3.256789769155402,2.575162846562034,2520
