scale,representation,mean_cv_adjacent_norm,mean_cos_step_12,mean_cos_step_23,mean_cos_step_34,cells
affect,marker_pool,0.20688066855331672,-0.26481402076319643,-0.6638472085741038,-0.34829819889097946,2520
affect,mean_pool,0.24321870544651844,-0.2897225919688206,-0.6341314460868792,-0.32309449665208667,2520
attention,marker_pool,0.19828662612412623,-0.42527076026593613,-0.39821170205714657,-0.3677460664117548,2520
attention,mean_pool,0.25103629279349526,-0.430256104521871,-0.39823679688724084,-0.36096503695678994,2520
random_label,marker_pool,0.14337881195344146,-0.4930490361600523,-0.4548193841876503,-0.5417332256301528,2520
random_label,mean_pool,0.15104456403946853,-0.4987770789439627,-0.43758205763814556,-0.5074900487779699,2520
size,marker_pool,0.283771773934963,-0.42602463451191963,-0.5441365140238925,-0.38914053783458563,2520
size,mean_pool,0.2984728913258997,-0.35740792955703576,-0.5639970233840388,-0.3322688197246328,2520
