model,template_id,triple,a,b,c,jacobi_norm,relative_jacobi_norm,null_mean_relative_jacobi_norm,null_std_relative_jacobi_norm,jacobi_to_null_mean_ratio,null_percentile_smaller_is_better
gpt2,0,NQM,N,Q,M,27.927490234375,0.34014859795570374,0.28019576105475424,0.08968157155054365,1.2139676798608667,0.809
gpt2,0,NQT,N,Q,T,13.687511444091797,0.1391894668340683,0.19951666630804538,0.06746528891309117,0.6976332825172006,0.184
gpt2,0,NMT,N,M,T,42.133506774902344,0.39982175827026367,0.2558708616569638,0.1418208195190856,1.5625919875344254,0.819
gpt2,0,QMT,Q,M,T,15.669846534729004,0.22013358771800995,0.4152699958533049,0.20416339417400473,0.5300975026263216,0.099
gpt2,1,NQM,N,Q,M,16.64925765991211,0.19318336248397827,0.20511373670399188,0.04827645431135149,0.9418353231106473,0.517
gpt2,1,NQT,N,Q,T,19.340341567993164,0.19014599919319153,0.20052595070004464,0.060870950332518534,0.9482363680532894,0.466
gpt2,1,NMT,N,M,T,15.162063598632812,0.13725973665714264,0.16852073407173157,0.07565685472171386,0.8144976190164407,0.399
gpt2,1,QMT,Q,M,T,12.997926712036133,0.16958139836788177,0.3037785702943802,0.13709009184574877,0.5582401622437971,0.099
gpt2,2,NQM,N,Q,M,26.90135955810547,0.2156619280576706,0.1686406304910779,0.060351365716742704,1.2788254374309966,0.679
gpt2,2,NQT,N,Q,T,18.31459617614746,0.1270311027765274,0.13779920455813408,0.04392471551526111,0.9218565751735835,0.451
gpt2,2,NMT,N,M,T,33.60615921020508,0.21671926975250244,0.16629809821397065,0.08946390710388814,1.3031975234759041,0.796
gpt2,2,QMT,Q,M,T,13.126202583312988,0.11629856377840042,0.20518267892301081,0.08530248760080471,0.5668049778289105,0.204
gpt2,3,NQM,N,Q,M,32.92268371582031,0.4105246067047119,0.2931426787376404,0.11114151384351742,1.4004259238919172,0.895
gpt2,3,NQT,N,Q,T,15.385991096496582,0.1642359048128128,0.18871201929450035,0.06097401630870224,0.8702991225780861,0.473
gpt2,3,NMT,N,M,T,35.72475051879883,0.3845762014389038,0.2633325912356377,0.12729762075214865,1.460420070424604,0.809
gpt2,3,QMT,Q,M,T,12.541778564453125,0.16089046001434326,0.3570291716754436,0.16763287656191667,0.4506367344126985,0.102
gpt2,4,NQM,N,Q,M,22.91502571105957,0.2821860909461975,0.2392601698189974,0.07741379851507608,1.179411061851601,0.693
gpt2,4,NQT,N,Q,T,14.211052894592285,0.14722497761249542,0.1948081600368023,0.07388618294526224,0.7557433815088987,0.41
gpt2,4,NMT,N,M,T,31.47769546508789,0.2982562184333801,0.21552939203381538,0.10012086185069702,1.3838308344747778,0.795
gpt2,4,QMT,Q,M,T,15.795329093933105,0.21044239401817322,0.34436353485286236,0.15085329086015864,0.6111053370023012,0.203
gpt2,5,NQM,N,Q,M,25.55118751525879,0.2519594430923462,0.20747308636456727,0.06812197619884781,1.2144198917848747,0.817
gpt2,5,NQT,N,Q,T,13.514106750488281,0.10697713494300842,0.1378798346146941,0.04469837533514326,0.7758722313613204,0.295
gpt2,5,NMT,N,M,T,30.09295654296875,0.2577720880508423,0.19788935413956643,0.08971978422511039,1.3026071522156741,0.799
gpt2,5,QMT,Q,M,T,14.201305389404297,0.13742168247699738,0.27452185985445976,0.12644627929521354,0.5005855728551167,0.087
gpt2,6,NQM,N,Q,M,21.510147094726562,0.24868349730968475,0.21203968127071857,0.06342605636840956,1.1728158419131414,0.703
gpt2,6,NQT,N,Q,T,15.428786277770996,0.1504182517528534,0.16856990112364292,0.055425295890990864,0.8923197483614352,0.5
gpt2,6,NMT,N,M,T,27.197254180908203,0.24634817242622375,0.1758159178942442,0.07168836118371107,1.4011710394334405,0.806
gpt2,6,QMT,Q,M,T,8.646661758422852,0.10351118445396423,0.2595330624431372,0.12845022206306111,0.39883621562183186,0.121
gpt2,7,NQM,N,Q,M,20.894210815429688,0.16658112406730652,0.15338917168974878,0.03541767733687909,1.0860031528376353,0.578
gpt2,7,NQT,N,Q,T,21.319581985473633,0.1501702219247818,0.15580261842161416,0.0636877436998304,0.9638491537892225,0.51
gpt2,7,NMT,N,M,T,21.785741806030273,0.14340369403362274,0.1489136793985963,0.06871778361780527,0.9629987964289835,0.695
gpt2,7,QMT,Q,M,T,12.028709411621094,0.10543393343687057,0.22758828700333833,0.10275799342185246,0.4632660793956447,0.107
gpt2,8,NQM,N,Q,M,19.708574295043945,0.26084786653518677,0.2356772806495428,0.05117962917594158,1.1068010705790787,0.574
gpt2,8,NQT,N,Q,T,14.496826171875,0.16167858242988586,0.20405767849087716,0.06354005858459177,0.7923180525467055,0.401
gpt2,8,NMT,N,M,T,18.924909591674805,0.18631944060325623,0.17814790400117636,0.07272283948029606,1.0458693951346183,0.708
gpt2,8,QMT,Q,M,T,8.973475456237793,0.13301005959510803,0.31346919222176073,0.15205973239919002,0.4243162099980372,0.111
gpt2,9,NQM,N,Q,M,35.93177795410156,0.4791717827320099,0.3440947661101818,0.1448637231724787,1.392557603091187,0.905
gpt2,9,NQT,N,Q,T,12.551054000854492,0.12344671040773392,0.17323439794778825,0.05802153797283374,0.7125992982307554,0.186
gpt2,9,NMT,N,M,T,35.54936218261719,0.3861108124256134,0.3222914249822497,0.17715401929498215,1.1980176402325335,0.688
gpt2,9,QMT,Q,M,T,9.603936195373535,0.1295260190963745,0.3890111627727747,0.21665417248097504,0.3329622167467184,0.106
gpt2,10,NQM,N,Q,M,21.96991729736328,0.2338109165430069,0.1980468423515558,0.05215523053486227,1.1805839152274147,0.706
gpt2,10,NQT,N,Q,T,18.26739501953125,0.1648859828710556,0.1694744712561369,0.052031495310056575,0.9729251942664605,0.598
gpt2,10,NMT,N,M,T,27.799053192138672,0.23568640649318695,0.21195638697594404,0.09990829772888989,1.111957086335993,0.66
gpt2,10,QMT,Q,M,T,14.012911796569824,0.16179220378398895,0.28415407562255857,0.12712339872837736,0.5693819574079519,0.095
gpt2,11,NQM,N,Q,M,23.503314971923828,0.2548615336418152,0.2029581737816334,0.05855053691193473,1.2557342672720828,0.798
gpt2,11,NQT,N,Q,T,15.53213119506836,0.14764629304409027,0.1702752123773098,0.06044748425247408,0.8671038548820387,0.521
gpt2,11,NMT,N,M,T,32.95530700683594,0.2689724862575531,0.18039703930914402,0.09006919642727569,1.4910027752458148,0.844
gpt2,11,QMT,Q,M,T,10.71232795715332,0.12538231909275055,0.28543192863464356,0.14109869632951536,0.439272227504731,0.098
gpt2,12,NQM,N,Q,M,29.2200927734375,0.3616972863674164,0.2890861647129059,0.10642413478981991,1.2511746687198613,0.78
gpt2,12,NQT,N,Q,T,9.767693519592285,0.09811488538980484,0.16855336036533117,0.06376347207984995,0.5820998476480298,0.209
gpt2,12,NMT,N,M,T,25.691055297851562,0.27738282084465027,0.22259928093105555,0.09160228745249784,1.24610834178443,0.782
gpt2,12,QMT,Q,M,T,17.262161254882812,0.23798848688602448,0.4113320274800062,0.19983337615581642,0.5785800058980671,0.188
gpt2,13,NQM,N,Q,M,31.43708610534668,0.34417861700057983,0.2552240679040551,0.09987740793407948,1.348535112012306,0.822
gpt2,13,NQT,N,Q,T,14.113194465637207,0.11890292167663574,0.16802327697724104,0.052080675556027974,0.7076574377967502,0.298
