language,triple,mean_ratio_to_null_mean,std_ratio_to_null_mean,min_ratio_to_null_mean,max_ratio_to_null_mean,below_null_models,n_models
ar,NMT,0.6533474423116162,,0.6533474423116162,0.6533474423116162,1,1
ar,NQM,0.637694892733063,,0.637694892733063,0.637694892733063,1,1
ar,NQT,0.6757000313843461,,0.6757000313843461,0.6757000313843461,1,1
ar,QMT,0.676807032840042,,0.676807032840042,0.676807032840042,1,1
de,NMT,0.8006006614534503,,0.8006006614534503,0.8006006614534503,1,1
de,NQM,0.6203973839494242,,0.6203973839494242,0.6203973839494242,1,1
de,NQT,0.6998729338725141,,0.6998729338725141,0.6998729338725141,1,1
de,QMT,0.6372367480550453,,0.6372367480550453,0.6372367480550453,1,1
en,NMT,0.7244866741905992,,0.7244866741905992,0.7244866741905992,1,1
en,NQM,0.5160039089109536,,0.5160039089109536,0.5160039089109536,1,1
en,NQT,0.670350776764778,,0.670350776764778,0.670350776764778,1,1
en,QMT,0.6112942476286333,,0.6112942476286333,0.6112942476286333,1,1
es,NMT,0.7372568253610438,,0.7372568253610438,0.7372568253610438,1,1
es,NQM,0.5534550992091382,,0.5534550992091382,0.5534550992091382,1,1
es,NQT,0.7695576467866464,,0.7695576467866464,0.7695576467866464,1,1
es,QMT,0.7016733162330205,,0.7016733162330205,0.7016733162330205,1,1
fr,NMT,0.7275051378836427,,0.7275051378836427,0.7275051378836427,1,1
fr,NQM,0.5278177762172299,,0.5278177762172299,0.5278177762172299,1,1
fr,NQT,0.7192889594595576,,0.7192889594595576,0.7192889594595576,1,1
fr,QMT,0.6725358244032372,,0.6725358244032372,0.6725358244032372,1,1
ru,NMT,0.612219071701433,,0.612219071701433,0.612219071701433,1,1
ru,NQM,0.3343522551474618,,0.3343522551474618,0.3343522551474618,1,1
ru,NQT,0.62232601452847,,0.62232601452847,0.62232601452847,1,1
ru,QMT,0.5821258094251871,,0.5821258094251871,0.5821258094251871,1,1
zh,NMT,0.8329233021514542,,0.8329233021514542,0.8329233021514542,1,1
zh,NQM,0.580209724700299,,0.580209724700299,0.580209724700299,1,1
zh,NQT,0.6878426414121264,,0.6878426414121264,0.6878426414121264,1,1
zh,QMT,0.5900634220805623,,0.5900634220805623,0.5900634220805623,1,1
