model,language,template_id,pair,relative_commutator_norm,commutator_norm,cosine_ab_ba,noncommutativity
Qwen/Qwen3-Embedding-0.6B,en,0,NQ_vs_QN,0.9980511665344238,25.026567459106445,0.5073583126068115,0.4926416873931885
Qwen/Qwen3-Embedding-0.6B,en,0,NM_vs_MN,0.37039250135421753,7.297162055969238,0.9394927024841309,0.06050729751586914
Qwen/Qwen3-Embedding-0.6B,en,0,NT_vs_TN,0.7544525265693665,15.269216537475586,0.7403708100318909,0.25962918996810913
Qwen/Qwen3-Embedding-0.6B,en,0,QM_vs_MQ,0.8718768954277039,20.49486541748047,0.7317078113555908,0.2682921886444092
Qwen/Qwen3-Embedding-0.6B,en,0,QT_vs_TQ,0.9115554690361023,19.684612274169922,0.719438910484314,0.28056108951568604
Qwen/Qwen3-Embedding-0.6B,en,0,MT_vs_TM,0.656923770904541,10.734477043151855,0.8026244640350342,0.19737553596496582
Qwen/Qwen3-Embedding-0.6B,en,1,NQ_vs_QN,0.9610511064529419,25.08774757385254,0.5382189154624939,0.4617810845375061
Qwen/Qwen3-Embedding-0.6B,en,1,NM_vs_MN,0.2389746904373169,6.644376277923584,0.9715039134025574,0.028496086597442627
Qwen/Qwen3-Embedding-0.6B,en,1,NT_vs_TN,0.8047793507575989,20.17887306213379,0.7259203195571899,0.27407968044281006
Qwen/Qwen3-Embedding-0.6B,en,1,QM_vs_MQ,0.8802680969238281,21.95196533203125,0.6834117770195007,0.31658822298049927
Qwen/Qwen3-Embedding-0.6B,en,1,QT_vs_TQ,0.9531529545783997,20.735763549804688,0.6580058932304382,0.34199410676956177
Qwen/Qwen3-Embedding-0.6B,en,1,MT_vs_TM,0.45357367396354675,10.784280776977539,0.9089328646659851,0.09106713533401489
Qwen/Qwen3-Embedding-0.6B,en,2,NQ_vs_QN,0.925814151763916,24.628368377685547,0.5717335939407349,0.42826640605926514
Qwen/Qwen3-Embedding-0.6B,en,2,NM_vs_MN,0.28969794511795044,7.091358184814453,0.9581206440925598,0.041879355907440186
Qwen/Qwen3-Embedding-0.6B,en,2,NT_vs_TN,0.9639472961425781,22.272079467773438,0.6056363582611084,0.3943636417388916
Qwen/Qwen3-Embedding-0.6B,en,2,QM_vs_MQ,0.8128933906555176,20.433025360107422,0.729671835899353,0.270328164100647
Qwen/Qwen3-Embedding-0.6B,en,2,QT_vs_TQ,0.8339250087738037,19.92936134338379,0.7110167741775513,0.28898322582244873
Qwen/Qwen3-Embedding-0.6B,en,2,MT_vs_TM,0.35631951689720154,8.677495002746582,0.9399274587631226,0.06007254123687744
Qwen/Qwen3-Embedding-0.6B,en,3,NQ_vs_QN,0.9819945693016052,24.49631690979004,0.5215187072753906,0.4784812927246094
Qwen/Qwen3-Embedding-0.6B,en,3,NM_vs_MN,0.31600427627563477,5.9689621925354,0.9522127509117126,0.047787249088287354
Qwen/Qwen3-Embedding-0.6B,en,3,NT_vs_TN,0.9641885757446289,20.21758460998535,0.6060996055603027,0.39390039443969727
Qwen/Qwen3-Embedding-0.6B,en,3,QM_vs_MQ,0.8377913236618042,19.318038940429688,0.7357790470123291,0.2642209529876709
Qwen/Qwen3-Embedding-0.6B,en,3,QT_vs_TQ,0.9204434156417847,20.591894149780273,0.6676919460296631,0.3323080539703369
Qwen/Qwen3-Embedding-0.6B,en,3,MT_vs_TM,0.3808630704879761,7.904271602630615,0.937384843826294,0.06261515617370605
Qwen/Qwen3-Embedding-0.6B,en,4,NQ_vs_QN,1.0587422847747803,25.911508560180664,0.43990764021873474,0.5600923597812653
Qwen/Qwen3-Embedding-0.6B,en,4,NM_vs_MN,0.2577519118785858,6.251163959503174,0.9688186049461365,0.031181395053863525
Qwen/Qwen3-Embedding-0.6B,en,4,NT_vs_TN,0.8230723738670349,20.874107360839844,0.7165395021438599,0.28346049785614014
