model,pair,mean_commutator_norm,std_commutator_norm,mean_relative_commutator_norm,std_relative_commutator_norm,mean_cosine,std_cosine,mean_noncommutativity,std_noncommutativity,n
bert-base-uncased,MT_vs_TM,4.272583338618278,0.30752447825320545,0.7817327596079015,0.09539664326417774,0.6937982171773911,0.0727118417771154,0.30620178282260896,0.07271184177711541,80
bert-base-uncased,NM_vs_MN,1.2527329221367836,0.2367970141270323,0.23052737976205512,0.053816794155808714,0.9728098422288894,0.0124814443582679,0.027190157771110536,0.012481444358267922,80
bert-base-uncased,NQ_vs_QN,4.090300849080085,0.29386177743401287,0.6969826003814196,0.04925265338111302,0.7598035179078579,0.034711418273353896,0.24019648209214212,0.03471141827335391,80
bert-base-uncased,NT_vs_TN,5.156505137681961,0.5831934623464985,0.990763347072226,0.10660684366999766,0.510176831483841,0.10088847918270837,0.48982316851615904,0.10088847918270834,80
bert-base-uncased,QM_vs_MQ,4.479250019788742,0.21559798675156192,0.7341065839109336,0.048702624278716036,0.7339822702109814,0.03471484459166965,0.2660177297890186,0.03471484459166966,80
bert-base-uncased,QT_vs_TQ,3.100068584084511,0.172932492766049,0.546267540045808,0.04397011762358857,0.8512860514223576,0.023078543914200722,0.14871394857764245,0.023078543914200715,80
distilroberta-base,MT_vs_TM,1.350446905195713,0.06058974339457521,0.7683498210190691,0.03871532952667146,0.7124499015510082,0.030190445120498628,0.28755009844899176,0.030190445120498628,80
distilroberta-base,NM_vs_MN,0.3127686131745577,0.021174470930673282,0.17214479649016212,0.0200903067256371,0.9851977169513703,0.0035588248524897276,0.014802283048629761,0.0035588248524897202,80
distilroberta-base,NQ_vs_QN,1.454083076119423,0.06437019695697722,0.6730602378508566,0.03839389780925738,0.7735077522695064,0.025668329959257514,0.22649224773049353,0.025668329959257514,80
distilroberta-base,NT_vs_TN,1.3975100815296173,0.07248370528235037,0.6675162876302979,0.03424479181031218,0.7783326491713524,0.023204615263165324,0.2216673508286476,0.02320461526316531,80
distilroberta-base,QM_vs_MQ,1.3671788811683654,0.08424731164462981,0.6612588320308764,0.046043683089823546,0.7925651140511036,0.028737112326484304,0.20743488594889642,0.0287371123264843,80
distilroberta-base,QT_vs_TQ,0.6579920068383217,0.02810322085941372,0.34223757946474026,0.017281809352639933,0.9414949968457222,0.005945730324696035,0.0585050031542778,0.005945730324696034,80
roberta-base,MT_vs_TM,1.3955637902021407,0.07696685453869695,0.7214581036923746,0.05595257888129018,0.7410506807267666,0.039438014733714895,0.2589493192732334,0.03943801473371491,80
roberta-base,NM_vs_MN,0.38650870360434053,0.040267345732064225,0.20316343661443242,0.02483457311842203,0.9793676473200321,0.005026344881102479,0.02063235267996788,0.0050263448811024725,80
roberta-base,NQ_vs_QN,1.6422037050127982,0.07261676421503681,0.7845659609108545,0.03640415062307419,0.6927844472229481,0.027900266956028735,0.3072155527770519,0.02790026695602874,80
roberta-base,NT_vs_TN,1.4185007706284523,0.10708631039604251,0.7172313737760198,0.05986868913142081,0.7428807474672794,0.04277945523037327,0.25711925253272055,0.04277945523037326,80
roberta-base,QM_vs_MQ,1.5648756071925163,0.08632894790527704,0.7713681068085302,0.054052252515383536,0.7032263189554214,0.041022993651344555,0.2967736810445786,0.04102299365134454,80
roberta-base,QT_vs_TQ,0.7784340098500252,0.07008075105553557,0.3860188012663811,0.03421793934870465,0.9268711663782596,0.012807338454543866,0.07312883362174034,0.012807338454543855,80
