triple,mean_raw_ratio,mean_residual_ratio,mean_residual_minus_raw_ratio,mean_frac_raw_below_null,mean_frac_residual_below_null,n_cells
NMT,0.7633145913053332,0.7631607320202268,-0.0001538592851064533,0.9997874149659864,0.9997874149659864,49
NQM,0.546051653999825,0.5372180583475891,-0.008833595652235939,1.0,1.0,49
NQT,0.6760479449634204,0.67152471587018,-0.00452322909324036,1.0,1.0,49
QMT,0.5901537299798422,0.59016586779905,1.2137819207794808e-05,1.0,1.0,49
