model,language,triple,mean_raw_ratio,mean_residual_ratio,mean_residual_minus_raw_ratio,frac_raw_below_null,frac_residual_below_null,n
bert-base-multilingual-cased,ar,NMT,0.7862863292345681,0.7848449879078009,-0.0014413413267672416,1.0,1.0,96
bert-base-multilingual-cased,ar,NQM,0.5431649178469631,0.5425036604302105,-0.0006612574167526054,1.0,1.0,96
bert-base-multilingual-cased,ar,NQT,0.694967353932887,0.6941310237816891,-0.0008363301511978017,1.0,1.0,96
bert-base-multilingual-cased,ar,QMT,0.7171349191633807,0.7165065111561963,-0.0006284080071843508,1.0,1.0,96
bert-base-multilingual-cased,de,NMT,0.6884602200131207,0.6885788852512343,0.0001186652381138011,1.0,1.0,96
bert-base-multilingual-cased,de,NQM,0.5257974154599889,0.5241789305682567,-0.0016184848917322272,1.0,1.0,96
bert-base-multilingual-cased,de,NQT,0.6522785315404634,0.6498168015169877,-0.0024617300234757605,1.0,1.0,96
bert-base-multilingual-cased,de,QMT,0.5634856866623056,0.5631531936510955,-0.0003324930112101066,1.0,1.0,96
bert-base-multilingual-cased,en,NMT,0.7152509719060025,0.7169939713189947,0.0017429994129922917,1.0,1.0,96
bert-base-multilingual-cased,en,NQM,0.45979330730550777,0.4556259970190091,-0.004167310286498703,1.0,1.0,96
bert-base-multilingual-cased,en,NQT,0.6446283654717243,0.6439932533364024,-0.0006351121353218962,1.0,1.0,96
bert-base-multilingual-cased,en,QMT,0.647191041875724,0.6465076610993857,-0.000683380776338248,1.0,1.0,96
bert-base-multilingual-cased,es,NMT,0.6833969668899139,0.6840680694531077,0.0006711025631939357,1.0,1.0,96
bert-base-multilingual-cased,es,NQM,0.5702254297163195,0.5642719449411299,-0.005953484775189592,1.0,1.0,96
bert-base-multilingual-cased,es,NQT,0.6381352861657422,0.6381565344467011,2.1248280958760062e-05,1.0,1.0,96
bert-base-multilingual-cased,es,QMT,0.6141525479372238,0.6107504904710435,-0.003402057466180401,1.0,1.0,96
bert-base-multilingual-cased,fr,NMT,0.7318642577825615,0.7318580894760521,-6.168306509518838e-06,1.0,1.0,96
bert-base-multilingual-cased,fr,NQM,0.4703773285648996,0.4675005463428603,-0.002876782222039312,1.0,1.0,96
bert-base-multilingual-cased,fr,NQT,0.6293971065930942,0.6316500069551573,0.0022529003620631156,1.0,1.0,96
bert-base-multilingual-cased,fr,QMT,0.6025015205337892,0.6024060742663392,-9.54462674500594e-05,1.0,1.0,96
bert-base-multilingual-cased,ru,NMT,0.7850912272865656,0.7849121490661709,-0.00017907822039461263,1.0,1.0,96
bert-base-multilingual-cased,ru,NQM,0.4352874616862303,0.4349430753117353,-0.00034438637449490825,1.0,1.0,96
bert-base-multilingual-cased,ru,NQT,0.694089381953014,0.689701633693784,-0.00438774825922993,1.0,1.0,96
bert-base-multilingual-cased,ru,QMT,0.6860414760881008,0.6838298574581899,-0.00221161862991085,1.0,1.0,96
bert-base-multilingual-cased,zh,NMT,0.818181820757956,0.8181818182024924,-2.5554637457051812e-09,1.0,1.0,96
bert-base-multilingual-cased,zh,NQM,0.5841574946791152,0.5792031221343509,-0.004954372544764252,1.0,1.0,96
bert-base-multilingual-cased,zh,NQT,0.6385176917715277,0.6299961253478555,-0.008521566423672208,1.0,1.0,96
bert-base-multilingual-cased,zh,QMT,0.4978287887026003,0.49495465729296445,-0.002874131409635763,1.0,1.0,96
