model,language,triple,mean_raw_ratio,mean_residual_ratio,mean_residual_minus_raw_ratio,frac_raw_below_null,frac_residual_below_null,n
distilbert-base-multilingual-cased,ar,NMT,0.7973614460328567,0.7974841307683495,0.0001226847354927942,1.0,1.0,96
distilbert-base-multilingual-cased,ar,NQM,0.5573636958940394,0.5557016212218946,-0.001662074672144807,1.0,1.0,96
distilbert-base-multilingual-cased,ar,NQT,0.7309594775436804,0.7323887336477438,0.0014292561040635116,1.0,1.0,96
distilbert-base-multilingual-cased,ar,QMT,0.7091014268147996,0.6993103416513978,-0.009791085163401774,1.0,1.0,96
distilbert-base-multilingual-cased,de,NMT,0.7799006768623129,0.7786933902118672,-0.0012072866504456818,1.0,1.0,96
distilbert-base-multilingual-cased,de,NQM,0.6206414518976887,0.6206839470353064,4.249513761767192e-05,1.0,1.0,96
distilbert-base-multilingual-cased,de,NQT,0.6942084895132775,0.6942795373414777,7.10478282002792e-05,1.0,1.0,96
distilbert-base-multilingual-cased,de,QMT,0.5174579026720554,0.5172860359911035,-0.0001718666809519253,1.0,1.0,96
distilbert-base-multilingual-cased,en,NMT,0.7700965381610393,0.7684997900709304,-0.0015967480901089095,1.0,1.0,96
distilbert-base-multilingual-cased,en,NQM,0.4916976620317053,0.4885290800153556,-0.0031685820163497125,1.0,1.0,96
distilbert-base-multilingual-cased,en,NQT,0.6632558201999296,0.6606723839735388,-0.0025834362263908567,1.0,1.0,96
distilbert-base-multilingual-cased,en,QMT,0.580574558961367,0.5820037766719476,0.001429217710580602,1.0,1.0,96
distilbert-base-multilingual-cased,es,NMT,0.7582446301792852,0.759089334503524,0.0008447043242387394,1.0,1.0,96
distilbert-base-multilingual-cased,es,NQM,0.5508350514941783,0.5556175553847701,0.004782503890591704,1.0,1.0,96
distilbert-base-multilingual-cased,es,NQT,0.642147027794185,0.6433549665110384,0.0012079387168533878,1.0,1.0,96
distilbert-base-multilingual-cased,es,QMT,0.5962209905978376,0.5939176517091301,-0.0023033388887075666,1.0,1.0,96
distilbert-base-multilingual-cased,fr,NMT,0.7935397614829812,0.7931300137426797,-0.00040974774030155814,1.0,1.0,96
distilbert-base-multilingual-cased,fr,NQM,0.4869335775423614,0.4847415535595367,-0.0021920239828247573,1.0,1.0,96
distilbert-base-multilingual-cased,fr,NQT,0.6886129028160962,0.6871356261384786,-0.001477276677617657,1.0,1.0,96
distilbert-base-multilingual-cased,fr,QMT,0.5974287550628292,0.5972900683957122,-0.00013868666711705502,1.0,1.0,96
distilbert-base-multilingual-cased,ru,NMT,0.8038277430809254,0.8034602806114215,-0.00036746246950403416,1.0,1.0,96
distilbert-base-multilingual-cased,ru,NQM,0.4304603059369542,0.4310632334921616,0.0006029275552074208,1.0,1.0,96
distilbert-base-multilingual-cased,ru,NQT,0.685264100142564,0.6848085584291778,-0.0004555417133861976,1.0,1.0,96
distilbert-base-multilingual-cased,ru,QMT,0.6931719305737732,0.6895947927836135,-0.003577137790159854,1.0,1.0,96
distilbert-base-multilingual-cased,zh,NMT,0.8181818170996663,0.8181818190508547,1.951188371753417e-09,1.0,1.0,96
distilbert-base-multilingual-cased,zh,NQM,0.5217992209249566,0.5224454831426878,0.0006462622177311616,1.0,1.0,96
distilbert-base-multilingual-cased,zh,NQT,0.623927728874602,0.62879461662771,0.004866887753107895,1.0,1.0,96
distilbert-base-multilingual-cased,zh,QMT,0.5257014484313869,0.5289867819646626,0.003285333533275705,1.0,1.0,96
