model,language,template_id,triple,raw_relative_signed_permutation_norm,raw_ratio_to_exact_null_mean,raw_exact_empirical_p,residual_relative_signed_permutation_norm,residual_ratio_to_exact_null_mean,residual_exact_empirical_p,residual_minus_raw_ratio
bert-base-multilingual-cased,ar,0,NQM,0.435783714056015,0.5088739056808325,0.3684210526315789,0.4356866180896759,0.5090503164684237,0.3684210526315789,0.0001764107875912302
bert-base-multilingual-cased,ar,0,NQT,0.4735640585422516,0.6249405431320115,0.5789473684210527,0.473564088344574,0.6251141713654093,0.3684210526315789,0.00017362823339772682
bert-base-multilingual-cased,ar,0,NMT,0.4657413363456726,0.7632313469912564,0.5789473684210527,0.46241796016693115,0.7628014703619739,0.5789473684210527,-0.0004298766292825107
bert-base-multilingual-cased,ar,0,QMT,0.6156214475631714,0.7241224867429337,0.5789473684210527,0.6138257384300232,0.7240572257524786,0.5789473684210527,-6.526099045511824e-05
bert-base-multilingual-cased,ar,1,NQM,0.2871898114681244,0.4834482970511993,0.15789473684210525,0.2828325927257538,0.47833824706725137,0.3684210526315789,-0.0051100499839479285
bert-base-multilingual-cased,ar,1,NQT,0.47617247700691223,0.7056737838012123,0.5789473684210527,0.47381702065467834,0.7034294503550785,0.5789473684210527,-0.0022443334461337283
bert-base-multilingual-cased,ar,1,NMT,0.3908909857273102,0.7372951491806576,0.3684210526315789,0.3881019353866577,0.7357925288456454,0.05263157894736842,-0.0015026203350122502
bert-base-multilingual-cased,ar,1,QMT,0.509476900100708,0.7586031966459517,0.5789473684210527,0.5097910761833191,0.7620231331247839,0.5789473684210527,0.0034199364788322084
bert-base-multilingual-cased,ar,2,NQM,0.3909827768802643,0.6456326456360579,0.05263157894736842,0.3916813135147095,0.6462920334840698,0.05263157894736842,0.0006593878480118942
bert-base-multilingual-cased,ar,2,NQT,0.3692724108695984,0.7351933282967288,0.5789473684210527,0.3656992018222809,0.7310898975847483,0.5789473684210527,-0.004103430711980494
bert-base-multilingual-cased,ar,2,NMT,0.4857928156852722,0.7679481987296816,0.3684210526315789,0.4883507192134857,0.7685856766579079,0.3684210526315789,0.0006374779282263265
bert-base-multilingual-cased,ar,2,QMT,0.6032724976539612,0.8194457173621218,0.5789473684210527,0.5997918248176575,0.8163360147426607,0.5789473684210527,-0.0031097026194610855
bert-base-multilingual-cased,ar,3,NQM,0.41767674684524536,0.5310984826512881,0.3684210526315789,0.4200704097747803,0.5315623691143093,0.3684210526315789,0.0004638864630212014
bert-base-multilingual-cased,ar,3,NQT,0.6815366744995117,0.7341861638344332,0.5789473684210527,0.6841574311256409,0.733073401419332,0.5789473684210527,-0.001112762415101276
bert-base-multilingual-cased,ar,3,NMT,0.37479931116104126,0.7333661506743558,0.3684210526315789,0.37524840235710144,0.7335065482700613,0.3684210526315789,0.00014039759570549926
bert-base-multilingual-cased,ar,3,QMT,0.5336512327194214,0.7303612174927543,0.5789473684210527,0.5334565043449402,0.7286053126251213,0.5789473684210527,-0.0017559048676329958
bert-base-multilingual-cased,ar,4,NQM,0.49196285009384155,0.6454724144503334,0.2631578947368421,0.49019914865493774,0.6447861592150376,0.3684210526315789,-0.0006862552352958629
bert-base-multilingual-cased,ar,4,NQT,0.4471219778060913,0.659000203966206,0.5789473684210527,0.44637736678123474,0.6583786140795885,0.5789473684210527,-0.0006215898866174241
bert-base-multilingual-cased,ar,4,NMT,0.48066163063049316,0.7552233109507241,0.3684210526315789,0.4789494276046753,0.7582425881450823,0.3684210526315789,0.0030192771943581276
bert-base-multilingual-cased,ar,4,QMT,0.546342134475708,0.6979945360308449,0.5789473684210527,0.5460689663887024,0.699269989385089,0.5789473684210527,0.0012754533542440605
bert-base-multilingual-cased,ar,5,NQM,0.3771985173225403,0.6112832479636898,0.2631578947368421,0.37615063786506653,0.6116361102896057,0.3684210526315789,0.0003528623259159147
bert-base-multilingual-cased,ar,5,NQT,0.4110772907733917,0.6517909739205356,0.5789473684210527,0.4109190106391907,0.6525336677193768,0.5789473684210527,0.0007426937988411764
bert-base-multilingual-cased,ar,5,NMT,0.4783605635166168,0.7781969328039317,0.47368421052631576,0.4742847979068756,0.7770557425611916,0.47368421052631576,-0.0011411902427400644
bert-base-multilingual-cased,ar,5,QMT,0.43347370624542236,0.6217550692177104,0.05263157894736842,0.43372687697410583,0.6227927837560114,0.5789473684210527,0.0010377145383010378
bert-base-multilingual-cased,ar,6,NQM,0.3841872215270996,0.5607665086722358,0.3684210526315789,0.3862994313240051,0.5606319748970499,0.3684210526315789,-0.0001345337751859077
bert-base-multilingual-cased,ar,6,NQT,0.4552408456802368,0.7296240507383025,0.5789473684210527,0.45613157749176025,0.728286477071895,0.5789473684210527,-0.001337573666407521
bert-base-multilingual-cased,ar,6,NMT,0.5176246762275696,0.8221510614541653,0.6842105263157895,0.5174681544303894,0.8216194921150966,0.6842105263157895,-0.000531569339068727
bert-base-multilingual-cased,ar,6,QMT,0.4633658826351166,0.7413435145934738,0.5789473684210527,0.45951810479164124,0.7381487438594708,0.5789473684210527,-0.003194770734002983
bert-base-multilingual-cased,ar,7,NQM,0.3919772505760193,0.5029895634596447,0.05263157894736842,0.3934573531150818,0.5047256271520534,0.15789473684210525,0.0017360636924086403
bert-base-multilingual-cased,ar,7,NQT,0.5939478278160095,0.698874896524599,0.5789473684210527,0.5917099118232727,0.6964395196837688,0.05263157894736842,-0.0024353768408301724
bert-base-multilingual-cased,ar,7,NMT,0.5134873390197754,0.74869996244127,0.3684210526315789,0.5117740631103516,0.7484310828353085,0.3684210526315789,-0.00026887960596155835
bert-base-multilingual-cased,ar,7,QMT,0.5536892414093018,0.75901234303284,0.5789473684210527,0.5515954494476318,0.7571152689453337,0.5789473684210527,-0.0018970740875063896
bert-base-multilingual-cased,ar,8,NQM,0.4352203607559204,0.6221770674015378,0.3684210526315789,0.4366835951805115,0.6209967810247928,0.3684210526315789,-0.0011802863767449434
bert-base-multilingual-cased,ar,8,NQT,0.4204016923904419,0.6126223213755382,0.5789473684210527,0.4228367209434509,0.6133040378475874,0.15789473684210525,0.0006817164720491764
bert-base-multilingual-cased,ar,8,NMT,0.6037172675132751,0.8464791212742651,0.6842105263157895,0.5960543155670166,0.8426113732147713,0.6842105263157895,-0.0038677480594937474
bert-base-multilingual-cased,ar,8,QMT,0.5129311084747314,0.6740458129194274,0.5789473684210527,0.5126557946205139,0.6711890370518299,0.5789473684210527,-0.002856775867597583
bert-base-multilingual-cased,ar,9,NQM,0.3864780366420746,0.5016225908959732,0.5789473684210527,0.3784072995185852,0.4937861447701759,0.2631578947368421,-0.007836446125797258
bert-base-multilingual-cased,ar,9,NQT,0.5494406819343567,0.7231771456989925,0.5789473684210527,0.5472469925880432,0.7213448234103734,0.5789473684210527,-0.0018323222886190704
bert-base-multilingual-cased,ar,9,NMT,0.4482346177101135,0.7788902833651878,0.47368421052631576,0.44800689816474915,0.7774827742279958,0.47368421052631576,-0.001407509137192009
bert-base-multilingual-cased,ar,9,QMT,0.4601350724697113,0.6802236503955216,0.47368421052631576,0.46015727519989014,0.6821923516835098,0.3684210526315789,0.001968701287988206
bert-base-multilingual-cased,ar,10,NQM,0.5107563138008118,0.6486371832154969,0.3684210526315789,0.5147308707237244,0.6488224035534597,0.3684210526315789,0.00018522033796275483
bert-base-multilingual-cased,ar,10,NQT,0.6028055548667908,0.6979008280766872,0.3684210526315789,0.6056870222091675,0.6978746339983125,0.5789473684210527,-2.6194078374675023e-05
bert-base-multilingual-cased,ar,10,NMT,0.43145909905433655,0.8957361201901337,0.7894736842105263,0.42829087376594543,0.8920508534610435,0.8947368421052632,-0.0036852667290901975
bert-base-multilingual-cased,ar,10,QMT,0.6364834308624268,0.7241701117802043,0.05263157894736842,0.6407912373542786,0.723901806815689,0.5789473684210527,-0.00026830496451524244
bert-base-multilingual-cased,ar,11,NQM,0.3777816593647003,0.550373893426716,0.3684210526315789,0.3792901933193207,0.5518843516061692,0.3684210526315789,0.0015104581794531668
