model,language,triple,mean_raw_ratio,mean_residual_ratio,mean_residual_minus_raw_ratio,frac_raw_below_null,frac_residual_below_null,n
sentence-transformers/LaBSE,ar,NMT,0.647907899958969,0.6488651039834946,0.0009572040245257053,1.0,1.0,96
sentence-transformers/LaBSE,ar,NQM,0.5235815184224865,0.5254103600939214,0.0018288416714350414,1.0,1.0,96
sentence-transformers/LaBSE,ar,NQT,0.6135071406133843,0.6139191714961048,0.0004120308827204137,1.0,1.0,96
sentence-transformers/LaBSE,ar,QMT,0.5432192296157196,0.5412357847100712,-0.00198344490564829,1.0,1.0,96
sentence-transformers/LaBSE,de,NMT,0.7410556091657367,0.7424707967616849,0.001415187595948193,1.0,1.0,96
sentence-transformers/LaBSE,de,NQM,0.586160277071294,0.5630779504735933,-0.02308232659770067,1.0,1.0,96
sentence-transformers/LaBSE,de,NQT,0.6997119771800439,0.6861275796336112,-0.013584397546432704,1.0,1.0,96
sentence-transformers/LaBSE,de,QMT,0.5246633898236871,0.525075894366927,0.00041250454324003966,1.0,1.0,96
sentence-transformers/LaBSE,en,NMT,0.6986739019123487,0.6958670946088762,-0.0028068073034724916,1.0,1.0,96
sentence-transformers/LaBSE,en,NQM,0.5277198519797089,0.4842351008697272,-0.043484751109981734,1.0,1.0,96
sentence-transformers/LaBSE,en,NQT,0.5798584590876582,0.5620355639913631,-0.01782289509629517,1.0,1.0,96
sentence-transformers/LaBSE,en,QMT,0.4973324308699372,0.49566293190230387,-0.0016694989676333358,1.0,1.0,96
sentence-transformers/LaBSE,es,NMT,0.7042360905109968,0.7017775628558632,-0.0024585276551334946,1.0,1.0,96
sentence-transformers/LaBSE,es,NQM,0.5389778127355287,0.5254288759214688,-0.013548936814059902,1.0,1.0,96
sentence-transformers/LaBSE,es,NQT,0.6534300873801933,0.6436387813378294,-0.009791306042363819,1.0,1.0,96
sentence-transformers/LaBSE,es,QMT,0.5332288447001399,0.5324480788256433,-0.0007807658744966457,1.0,1.0,96
sentence-transformers/LaBSE,fr,NMT,0.714423847591354,0.7122407362438684,-0.0021831113474855856,1.0,1.0,96
sentence-transformers/LaBSE,fr,NQM,0.5660933334285024,0.5324388085370385,-0.03365452489146397,1.0,1.0,96
sentence-transformers/LaBSE,fr,NQT,0.650200024562442,0.6295837219228576,-0.020616302639584427,1.0,1.0,96
sentence-transformers/LaBSE,fr,QMT,0.5001214397850609,0.49916400208526496,-0.0009574376997959332,1.0,1.0,96
sentence-transformers/LaBSE,ru,NMT,0.736151276073238,0.7372561724032982,0.0011048963300601562,1.0,1.0,96
sentence-transformers/LaBSE,ru,NQM,0.5509772944503931,0.5394089539525562,-0.011568340497836954,1.0,1.0,96
sentence-transformers/LaBSE,ru,NQT,0.7083126915164396,0.7034789985723643,-0.004833692944075391,1.0,1.0,96
sentence-transformers/LaBSE,ru,QMT,0.5104941471547418,0.5126376066672726,0.0021434595125307747,1.0,1.0,96
sentence-transformers/LaBSE,zh,NMT,0.8181818187916817,0.8181818086299871,-1.0161694541377386e-08,1.0,1.0,96
sentence-transformers/LaBSE,zh,NQM,0.4650718251668387,0.44516147709982845,-0.019910348067010242,1.0,1.0,96
sentence-transformers/LaBSE,zh,NQT,0.5962173233645406,0.5846839891275207,-0.011533334237019861,1.0,1.0,96
sentence-transformers/LaBSE,zh,QMT,0.47308252970803083,0.4727734656611395,-0.00030906404689138786,1.0,1.0,96
