model,language,template_id,triple,raw_relative_signed_permutation_norm,raw_ratio_to_exact_null_mean,raw_exact_empirical_p,residual_relative_signed_permutation_norm,residual_ratio_to_exact_null_mean,residual_exact_empirical_p,residual_minus_raw_ratio
xlm-roberta-base,ar,0,NQM,0.7080183029174805,0.5954218401109734,0.2631578947368421,0.711986780166626,0.5957126240476724,0.05263157894736842,0.0002907839366990128
xlm-roberta-base,ar,0,NQT,0.7680948972702026,0.7705951181585954,0.5789473684210527,0.7745388150215149,0.7733046000382028,0.47368421052631576,0.0027094818796074005
xlm-roberta-base,ar,0,NMT,0.5436980128288269,0.7680604624515673,0.5789473684210527,0.542891263961792,0.7682275252046192,0.5789473684210527,0.00016706275305189422
xlm-roberta-base,ar,0,QMT,0.7218970060348511,0.7292080151275999,0.05263157894736842,0.7227169871330261,0.7343073567177159,0.5789473684210527,0.005099341590115936
xlm-roberta-base,ar,1,NQM,0.7506667971611023,0.555566008749736,0.5789473684210527,0.7608177065849304,0.5677990747875523,0.5789473684210527,0.012233066037816265
xlm-roberta-base,ar,1,NQT,0.7579476237297058,0.6544705940118448,0.5789473684210527,0.7514607906341553,0.6634192599175359,0.5789473684210527,0.0089486659056911
xlm-roberta-base,ar,1,NMT,0.43563157320022583,0.744274774177788,0.3684210526315789,0.4352777302265167,0.7455726969887383,0.3684210526315789,0.0012979228109503138
xlm-roberta-base,ar,1,QMT,0.6250939965248108,0.7313462942622737,0.5789473684210527,0.6380152106285095,0.734533604137658,0.5789473684210527,0.003187309875384292
xlm-roberta-base,ar,2,NQM,0.659423291683197,0.6102042649093796,0.3684210526315789,0.6697707772254944,0.6128483560830678,0.3684210526315789,0.0026440911736881345
xlm-roberta-base,ar,2,NQT,0.6488328576087952,0.7212438729992665,0.5789473684210527,0.662807822227478,0.7315162830778393,0.5789473684210527,0.010272410078572825
xlm-roberta-base,ar,2,NMT,0.43593117594718933,0.6988557041892569,0.3684210526315789,0.43890419602394104,0.698564597915085,0.3684210526315789,-0.00029110627417194834
xlm-roberta-base,ar,2,QMT,0.7489455342292786,0.6688032846117798,0.5789473684210527,0.7547865509986877,0.6801649121135088,0.5789473684210527,0.011361627501728977
xlm-roberta-base,ar,3,NQM,0.7870617508888245,0.5911908138396845,0.15789473684210525,0.791419506072998,0.5902992340704784,0.05263157894736842,-0.0008915797692061744
xlm-roberta-base,ar,3,NQT,0.8675760626792908,0.8079544693188496,0.5789473684210527,0.8849587440490723,0.815466185387493,0.3684210526315789,0.007511716068643426
xlm-roberta-base,ar,3,NMT,0.4139704406261444,0.7839094702649182,0.05263157894736842,0.4165245592594147,0.7834690638866912,0.3684210526315789,-0.00044040637822695405
xlm-roberta-base,ar,3,QMT,0.8165246844291687,0.7440982816569919,0.5789473684210527,0.814643144607544,0.7540664490674379,0.5789473684210527,0.009968167410446038
xlm-roberta-base,ar,4,NQM,0.8190625905990601,0.6465332045304573,0.3684210526315789,0.8275724649429321,0.6482641658955105,0.3684210526315789,0.0017309613650532407
xlm-roberta-base,ar,4,NQT,0.7664017081260681,0.7209219148512089,0.5789473684210527,0.7709471583366394,0.7349777259530016,0.5789473684210527,0.014055811101792659
xlm-roberta-base,ar,4,NMT,0.6632017493247986,0.8319017519626649,0.6842105263157895,0.6622531414031982,0.8326179894424595,0.3684210526315789,0.0007162374797945459
xlm-roberta-base,ar,4,QMT,0.8126038908958435,0.684806470452252,0.5789473684210527,0.8180015683174133,0.6956575776523599,0.3684210526315789,0.010851107200107957
xlm-roberta-base,ar,5,NQM,0.957545280456543,0.725325734394881,0.2631578947368421,0.960065484046936,0.7306112163025074,0.5789473684210527,0.005285481907626344
xlm-roberta-base,ar,5,NQT,0.8112961053848267,0.7540296507638229,0.3684210526315789,0.8124611973762512,0.7690507650844499,0.5789473684210527,0.015021114320627027
xlm-roberta-base,ar,5,NMT,0.44053855538368225,0.7795461611945192,0.15789473684210525,0.4242132306098938,0.7766956220587573,0.3684210526315789,-0.0028505391357619425
xlm-roberta-base,ar,5,QMT,0.9049847722053528,0.8215312522193804,0.05263157894736842,0.9090762734413147,0.8312613164456278,0.05263157894736842,0.009730064226247448
xlm-roberta-base,ar,6,NQM,0.7555357813835144,0.6003662883197158,0.3684210526315789,0.7592886090278625,0.6004530802115313,0.2631578947368421,8.67918918154853e-05
xlm-roberta-base,ar,6,NQT,0.8959277868270874,0.795298135729028,0.5789473684210527,0.9052147269248962,0.801406481293734,0.5789473684210527,0.006108345564706075
xlm-roberta-base,ar,6,NMT,0.4625493288040161,0.7480958250506511,0.3684210526315789,0.4622158706188202,0.7481412029146187,0.3684210526315789,4.537786396763277e-05
xlm-roberta-base,ar,6,QMT,0.7346616983413696,0.7622698875761154,0.5789473684210527,0.7358280420303345,0.7685616919009473,0.5789473684210527,0.0062918043248318956
xlm-roberta-base,ar,7,NQM,0.6417835354804993,0.5166106662541965,0.3684210526315789,0.6520745754241943,0.5224033551313161,0.3684210526315789,0.0057926888771195895
xlm-roberta-base,ar,7,NQT,0.7390183806419373,0.7206946404215397,0.5789473684210527,0.7398387789726257,0.7335532077213733,0.5789473684210527,0.01285856729983359
xlm-roberta-base,ar,7,NMT,0.6379842758178711,0.7026937395734234,0.3684210526315789,0.6445538997650146,0.7024710356509583,0.3684210526315789,-0.00022270392246515058
xlm-roberta-base,ar,7,QMT,0.5486668348312378,0.6761174562590878,0.5789473684210527,0.561766505241394,0.680690410770762,0.5789473684210527,0.0045729545116741654
xlm-roberta-base,ar,8,NQM,0.9987127780914307,0.7363260745560526,0.3684210526315789,1.0033552646636963,0.7386505329246791,0.3684210526315789,0.002324458368626492
xlm-roberta-base,ar,8,NQT,0.7762705087661743,0.6978328225936514,0.5789473684210527,0.7840092778205872,0.7149912092716241,0.5789473684210527,0.017158386677972648
xlm-roberta-base,ar,8,NMT,0.5170072913169861,0.772550903724868,0.3684210526315789,0.5084655284881592,0.7767522485274041,0.3684210526315789,0.004201344802536089
xlm-roberta-base,ar,8,QMT,0.8245847225189209,0.7250237027969136,0.47368421052631576,0.8314881920814514,0.7359348219153382,0.05263157894736842,0.010911119118424573
xlm-roberta-base,ar,9,NQM,0.7016127109527588,0.5281756559733499,0.5789473684210527,0.7059807181358337,0.530302710639214,0.5789473684210527,0.0021270546658640477
xlm-roberta-base,ar,9,NQT,0.9556393027305603,0.7771004588464752,0.5789473684210527,0.9557170867919922,0.7858885850684437,0.47368421052631576,0.008788126221968562
xlm-roberta-base,ar,9,NMT,0.4282217025756836,0.7479674612402119,0.15789473684210525,0.42565277218818665,0.7491657526137144,0.3684210526315789,0.0011982913735025802
xlm-roberta-base,ar,9,QMT,0.6084744930267334,0.7538296722785055,0.5789473684210527,0.6161985993385315,0.7600961469052296,0.5789473684210527,0.006266474626724139
xlm-roberta-base,ar,10,NQM,0.8254069685935974,0.65968826845503,0.5789473684210527,0.8228991627693176,0.6572685046366062,0.5789473684210527,-0.0024197638184237924
xlm-roberta-base,ar,10,NQT,0.847579300403595,0.7912815628080885,0.5789473684210527,0.8610665202140808,0.7998885849018301,0.5789473684210527,0.008607022093741645
xlm-roberta-base,ar,10,NMT,0.50571209192276,0.845771059360385,0.8947368421052632,0.503524899482727,0.84492646144792,0.8947368421052632,-0.0008445979124649394
xlm-roberta-base,ar,10,QMT,0.9071072936058044,0.738768295803899,0.5789473684210527,0.9033019542694092,0.7534916919588344,0.5789473684210527,0.014723396154935342
xlm-roberta-base,ar,11,NQM,0.8413404226303101,0.6266055954065816,0.5789473684210527,0.8566570281982422,0.6293368972059294,0.2631578947368421,0.002731301799347885
xlm-roberta-base,ar,11,NQT,0.7379241585731506,0.7085466929456931,0.5789473684210527,0.7533933520317078,0.7211394167123683,0.3684210526315789,0.012592723766675196
xlm-roberta-base,ar,11,NMT,0.6517946720123291,0.7943627114546185,0.3684210526315789,0.6549946069717407,0.7943374568523968,0.3684210526315789,-2.5254602221691513e-05
xlm-roberta-base,ar,11,QMT,0.657719075679779,0.6348909582751102,0.5789473684210527,0.6550795435905457,0.6420163065258401,0.5789473684210527,0.007125348250729857
xlm-roberta-base,ar,12,NQM,0.8630804419517517,0.6783423631733848,0.5789473684210527,0.8639799356460571,0.6751663208366591,0.5789473684210527,-0.0031760423367257484
xlm-roberta-base,ar,12,NQT,0.9485229849815369,0.7994492323864953,0.5789473684210527,0.9695677757263184,0.8038185289293557,0.5789473684210527,0.004369296542860335
