model,language,template_id,triple,raw_relative_signed_permutation_norm,raw_ratio_to_exact_null_mean,raw_exact_empirical_p,residual_relative_signed_permutation_norm,residual_ratio_to_exact_null_mean,residual_exact_empirical_p,residual_minus_raw_ratio
BAAI/bge-m3,ar,0,NQM,0.7016865015029907,0.5591557884473948,0.2631578947368421,0.7066794037818909,0.5694402085310151,0.5789473684210527,0.010284420083620294
BAAI/bge-m3,ar,0,NQT,0.4537447392940521,0.5376819299035422,0.5789473684210527,0.4533382058143616,0.5386045595742133,0.5789473684210527,0.0009226296706710269
BAAI/bge-m3,ar,0,NMT,0.5351837873458862,0.7103440048744352,0.3684210526315789,0.5312807559967041,0.717703031312973,0.2631578947368421,0.007359026438537808
BAAI/bge-m3,ar,0,QMT,0.6304413080215454,0.5413443886795226,0.5789473684210527,0.6342949271202087,0.5414188041184447,0.5789473684210527,7.441543892205971e-05
BAAI/bge-m3,ar,1,NQM,0.6556171774864197,0.5056029863209066,0.3684210526315789,0.6650326251983643,0.5112007056945335,0.3684210526315789,0.005597719373626853
BAAI/bge-m3,ar,1,NQT,0.4677387475967407,0.4507359640014379,0.5789473684210527,0.47264760732650757,0.4516691835094463,0.5789473684210527,0.0009332195080083983
BAAI/bge-m3,ar,1,NMT,0.5130219459533691,0.6848789447943666,0.15789473684210525,0.5111104249954224,0.6856190716775367,0.2631578947368421,0.0007401268831700447
BAAI/bge-m3,ar,1,QMT,0.643040120601654,0.5628688562517874,0.5789473684210527,0.6556289196014404,0.5635538878143204,0.3684210526315789,0.0006850315625329673
BAAI/bge-m3,ar,2,NQM,0.746765673160553,0.5530709851993952,0.3684210526315789,0.7592217922210693,0.5573976257495167,0.3684210526315789,0.004326640550121441
BAAI/bge-m3,ar,2,NQT,0.575505256652832,0.5803049078848821,0.5789473684210527,0.5853997468948364,0.5821723759035535,0.3684210526315789,0.0018674680186714365
BAAI/bge-m3,ar,2,NMT,0.501097559928894,0.7521940576247002,0.3684210526315789,0.49797147512435913,0.7593928095409811,0.15789473684210525,0.007198751916280943
BAAI/bge-m3,ar,2,QMT,0.7624848484992981,0.6069096841523214,0.5789473684210527,0.7790789604187012,0.608972109894123,0.5789473684210527,0.002062425741801599
BAAI/bge-m3,ar,3,NQM,0.6199847459793091,0.4762919370483966,0.3684210526315789,0.6238945126533508,0.48073284294675817,0.3684210526315789,0.004440905898361547
BAAI/bge-m3,ar,3,NQT,0.48900753259658813,0.4943958104490488,0.47368421052631576,0.48984766006469727,0.4946631789866769,0.5789473684210527,0.00026736853762809876
BAAI/bge-m3,ar,3,NMT,0.6518640518188477,0.6694953909588091,0.3684210526315789,0.6492000222206116,0.6739014066577345,0.3684210526315789,0.004406015698925403
BAAI/bge-m3,ar,3,QMT,0.6286388635635376,0.5119754621884274,0.5789473684210527,0.6335331797599792,0.5128013014921873,0.3684210526315789,0.000825839303759901
BAAI/bge-m3,ar,4,NQM,0.7595352530479431,0.5576650177226927,0.3684210526315789,0.7650297284126282,0.56295071725898,0.05263157894736842,0.005285699536287325
BAAI/bge-m3,ar,4,NQT,0.47514083981513977,0.46484386932085614,0.15789473684210525,0.4757968485355377,0.46534320593326134,0.5789473684210527,0.000499336612405199
BAAI/bge-m3,ar,4,NMT,0.5138672590255737,0.6662566098870613,0.3684210526315789,0.5174970626831055,0.6682112199496625,0.15789473684210525,0.0019546100626012253
BAAI/bge-m3,ar,4,QMT,0.7339639067649841,0.5511205192794459,0.5789473684210527,0.7382718920707703,0.5506067263519016,0.5789473684210527,-0.0005137929275443875
BAAI/bge-m3,ar,5,NQM,0.751264750957489,0.5598674836120577,0.3684210526315789,0.7618973255157471,0.5645861753284267,0.2631578947368421,0.004718691716368961
BAAI/bge-m3,ar,5,NQT,0.5326986312866211,0.52080156957572,0.5789473684210527,0.537810742855072,0.5222159262808316,0.05263157894736842,0.0014143567051115857
BAAI/bge-m3,ar,5,NMT,0.5516408681869507,0.7548184285883618,0.3684210526315789,0.5502343773841858,0.7546522879814394,0.3684210526315789,-0.00016614060692243804
BAAI/bge-m3,ar,5,QMT,0.7623852491378784,0.576431451710394,0.5789473684210527,0.7744476795196533,0.5777043756030639,0.5789473684210527,0.0012729238926698638
BAAI/bge-m3,ar,6,NQM,0.7301954030990601,0.5658440485881242,0.5789473684210527,0.7359314560890198,0.5727888838572117,0.5789473684210527,0.006944835269087513
BAAI/bge-m3,ar,6,NQT,0.49079349637031555,0.5349069095167263,0.5789473684210527,0.49114319682121277,0.5355661878124837,0.5789473684210527,0.0006592782957574039
BAAI/bge-m3,ar,6,NMT,0.42925846576690674,0.6289915042961693,0.3684210526315789,0.42495766282081604,0.6290934946236083,0.3684210526315789,0.00010199032743896108
BAAI/bge-m3,ar,6,QMT,0.6665806770324707,0.572017339487764,0.5789473684210527,0.6751406788825989,0.5724430079417584,0.5789473684210527,0.0004256684539943878
BAAI/bge-m3,ar,7,NQM,0.6068652272224426,0.49338211345451755,0.5789473684210527,0.6144716143608093,0.5032075253053674,0.5789473684210527,0.009825411850849841
BAAI/bge-m3,ar,7,NQT,0.5370230078697205,0.49643504300327485,0.5789473684210527,0.5389870405197144,0.4977301181995235,0.5789473684210527,0.0012950751962486629
BAAI/bge-m3,ar,7,NMT,0.6277713775634766,0.7253452707780851,0.3684210526315789,0.6229897141456604,0.7253200265571285,0.3684210526315789,-2.524422095662171e-05
BAAI/bge-m3,ar,7,QMT,0.5268450379371643,0.5039224947314679,0.5789473684210527,0.5369631052017212,0.5040257927039324,0.5789473684210527,0.00010329797246455552
BAAI/bge-m3,ar,8,NQM,0.6570513844490051,0.5211137351831605,0.3684210526315789,0.6626004576683044,0.5286282017468402,0.3684210526315789,0.0075144665636797114
BAAI/bge-m3,ar,8,NQT,0.5879509449005127,0.5548006365012276,0.5789473684210527,0.5887213945388794,0.5561465708167384,0.5789473684210527,0.0013459343155107772
BAAI/bge-m3,ar,8,NMT,0.6246746182441711,0.6922403908325688,0.3684210526315789,0.6234897375106812,0.6912994210765814,0.3684210526315789,-0.000940969755987453
BAAI/bge-m3,ar,8,QMT,0.6798207759857178,0.5765199667720295,0.5789473684210527,0.6866150498390198,0.5765751035199983,0.5789473684210527,5.5136747968753674e-05
BAAI/bge-m3,ar,9,NQM,0.6752117276191711,0.5278405601663831,0.15789473684210525,0.6838108897209167,0.53129515761091,0.05263157894736842,0.003454597444526808
