model,label,pair,mean_noncommutativity,std_noncommutativity,mean_relative_commutator_norm,std_relative_commutator_norm,mean_cosine,n
bert-base-uncased,equivalent,M_T_equivalent,0.08779016554355622,0.02024652277119615,0.4336967554066479,0.05186943595632852,0.9122098344564438,100
bert-base-uncased,equivalent,N_M_equivalent,0.07834166765213013,0.025354948877091978,0.4228466825289962,0.06568071388768819,0.9216583323478699,100
bert-base-uncased,equivalent,Q_M_equivalent,0.13327582955360412,0.03574344830812038,0.516530332281289,0.0711005943944746,0.8667241704463958,100
bert-base-uncased,equivalent,Q_T_equivalent,0.15269034564495088,0.023594185552433148,0.5539920401529753,0.044538919188897394,0.8473096543550491,100
bert-base-uncased,non_equivalent,M_T_nonequivalent,0.3164908790588379,0.07089929988248393,0.7954507664526544,0.09170171333803243,0.6835091209411621,100
bert-base-uncased,non_equivalent,N_Q_nonequivalent,0.24306499242782592,0.03339420584919046,0.7016878569962894,0.04771363845490103,0.756935007572174,100
bert-base-uncased,non_equivalent,N_T_nonequivalent,0.4839021426439285,0.09788883739581002,0.9849056762684988,0.10290279563245228,0.5160978573560715,100
bert-base-uncased,non_equivalent,Q_M_nonequivalent,0.2731267291307449,0.03367252451088814,0.7438682102019497,0.04738448708914558,0.726873270869255,100
distilroberta-base,equivalent,M_T_equivalent,0.18425203680992128,0.018036454848641616,0.6770487055761243,0.028013798130502393,0.8157479631900787,100
distilroberta-base,equivalent,N_M_equivalent,0.13568281829357148,0.01688041673205912,0.5797785745794011,0.03590949178284782,0.8643171817064286,100
distilroberta-base,equivalent,Q_M_equivalent,0.14097535252571106,0.015747601841064177,0.5676226761050059,0.029343154622886038,0.859024647474289,100
distilroberta-base,equivalent,Q_T_equivalent,0.05707723557949066,0.005691799890422494,0.3380275131482731,0.016793284041186726,0.9429227644205094,100
distilroberta-base,non_equivalent,M_T_nonequivalent,0.279592279791832,0.02911494494133976,0.7579852626975041,0.038651226992394844,0.720407720208168,100
distilroberta-base,non_equivalent,N_Q_nonequivalent,0.22377352714538573,0.023023599422110103,0.6690836127806422,0.03479984849067313,0.7762264728546142,100
distilroberta-base,non_equivalent,N_T_nonequivalent,0.21838634431362153,0.022462914730699314,0.6624713029695333,0.033307056985726266,0.7816136556863785,100
distilroberta-base,non_equivalent,Q_M_nonequivalent,0.2057311451435089,0.027185920103657706,0.6577513831843514,0.04423957216251647,0.7942688548564911,100
roberta-base,equivalent,M_T_equivalent,0.1555842351913452,0.029536971731565248,0.616316431459056,0.04778415102614531,0.8444157648086548,100
roberta-base,equivalent,N_M_equivalent,0.15593023717403412,0.024473265621757008,0.6126691824834041,0.04810922611618374,0.8440697628259659,100
roberta-base,equivalent,Q_M_equivalent,0.23224434852600098,0.03992514155942003,0.7168653732490603,0.059111022244207514,0.767755651473999,100
roberta-base,equivalent,Q_T_equivalent,0.07341535091400146,0.014295778311528616,0.3866099664828204,0.03690970968901955,0.9265846490859986,100
roberta-base,non_equivalent,M_T_nonequivalent,0.25527851819992065,0.03793315582928031,0.7159766605389098,0.054584835351853815,0.7447214818000794,100
roberta-base,non_equivalent,N_Q_nonequivalent,0.3054161947965622,0.029582568826254953,0.7820541270131965,0.038561945235782956,0.6945838052034378,100
roberta-base,non_equivalent,N_T_nonequivalent,0.25550141096115114,0.03857785370984805,0.7155346463859549,0.05395166776697395,0.7444985890388489,100
roberta-base,non_equivalent,Q_M_nonequivalent,0.2974712842702866,0.04219304844267878,0.7723392107701421,0.05610867077529588,0.7025287157297134,100
