section,source_file,group,metric,estimate,n,numerator,ci95_low,ci95_high
gpt2_question_exclamation_order_contrast,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_order_contrast_raw.csv,prompt_style=repeat_sentence,ab_equals_plus,0.15,40,6.0,0.07061091708507435,0.2907262603902003
gpt2_question_exclamation_order_contrast,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_order_contrast_raw.csv,prompt_style=repeat_sentence,ba_equals_plus,0.225,40,9.0,0.1231595325467853,0.3750339640409305
gpt2_question_exclamation_order_contrast,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_order_contrast_raw.csv,prompt_style=same_sentence,ab_ba_marker_profile_equal,0.65,40,26.0,0.4950559699353739,0.7786566682895086
gpt2_question_exclamation_order_contrast,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_order_contrast_raw.csv,prompt_style=same_sentence,ab_equals_ba,0.2,40,8.0,0.10499864973166874,0.34757607381856676
gpt2_question_exclamation_order_contrast,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_order_contrast_raw.csv,prompt_style=same_sentence,ab_equals_plus,0.1,40,4.0,0.03957888759557486,0.23052074380473897
gpt2_question_exclamation_order_contrast,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_order_contrast_raw.csv,prompt_style=same_sentence,ba_equals_plus,0.15,40,6.0,0.07061091708507435,0.2907262603902003
gpt2_question_hard_oot,results\experiments\gpt2_question_hard_oot_copy_prompt_steering_20260716_results\csv\question_hard_oot_question_preservation_summary.csv,prompt_style=copy_sentence | control=target,question_and_preserved_rate,0.325,80,26.0,0.2324401249422747,0.43359678275032654
gpt2_question_hard_oot,results\experiments\gpt2_question_hard_oot_copy_prompt_steering_20260716_results\csv\question_hard_oot_question_preservation_summary.csv,prompt_style=copy_sentence | control=target,question_mark_rate,0.725,80,58.0,0.618557347158301,0.8108237715226401
gpt2_question_hard_oot,results\experiments\gpt2_question_hard_oot_copy_prompt_steering_20260716_results\csv\question_hard_oot_question_preservation_summary.csv,prompt_style=repeat_sentence | control=target,question_and_preserved_rate,0.3375,80,27.0,0.24345459812221978,0.44643681616376707
gpt2_question_hard_oot,results\experiments\gpt2_question_hard_oot_copy_prompt_steering_20260716_results\csv\question_hard_oot_question_preservation_summary.csv,prompt_style=repeat_sentence | control=target,question_mark_rate,0.7125,80,57.0,0.6053944721715182,0.8001321399160374
gpt2_question_hard_oot,results\experiments\gpt2_question_hard_oot_copy_prompt_steering_20260716_results\csv\question_hard_oot_question_preservation_summary.csv,prompt_style=same_sentence | control=target,question_and_preserved_rate,0.5125,80,41.0,0.4049314460370689,0.6189230605563166
gpt2_question_hard_oot,results\experiments\gpt2_question_hard_oot_copy_prompt_steering_20260716_results\csv\question_hard_oot_question_preservation_summary.csv,prompt_style=same_sentence | control=target,question_mark_rate,0.75,80,60.0,0.6451511899886556,0.8319389418790569
gpt2_question_position_intervention,results\experiments\gpt2_question_position_intervention_audit_layer2_3_20260821_results\csv\question_position_intervention_raw.csv,control=negative_last_each_step | position_mode=last_each_step,question_and_preserved,0.0,480,0.0,0.0,0.00793978855890027
gpt2_question_position_intervention,results\experiments\gpt2_question_position_intervention_audit_layer2_3_20260821_results\csv\question_position_intervention_raw.csv,control=negative_last_each_step | position_mode=last_each_step,question_mark_hit,0.0,480,0.0,0.0,0.00793978855890027
gpt2_question_position_intervention,results\experiments\gpt2_question_position_intervention_audit_layer2_3_20260821_results\csv\question_position_intervention_raw.csv,control=none | position_mode=none,question_and_preserved,0.0,480,0.0,0.0,0.00793978855890027
gpt2_question_position_intervention,results\experiments\gpt2_question_position_intervention_audit_layer2_3_20260821_results\csv\question_position_intervention_raw.csv,control=none | position_mode=none,question_mark_hit,0.0,480,0.0,0.0,0.00793978855890027
gpt2_question_position_intervention,results\experiments\gpt2_question_position_intervention_audit_layer2_3_20260821_results\csv\question_position_intervention_raw.csv,control=random_last_each_step | position_mode=last_each_step,question_and_preserved,0.0,480,0.0,0.0,0.00793978855890027
gpt2_question_position_intervention,results\experiments\gpt2_question_position_intervention_audit_layer2_3_20260821_results\csv\question_position_intervention_raw.csv,control=random_last_each_step | position_mode=last_each_step,question_mark_hit,0.0,480,0.0,0.0,0.00793978855890027
gpt2_question_position_intervention,results\experiments\gpt2_question_position_intervention_audit_layer2_3_20260821_results\csv\question_position_intervention_raw.csv,control=target_last_each_step | position_mode=last_each_step,question_and_preserved,0.7916666666666666,480,380.0,0.7530896686536218,0.8256121213536863
gpt2_question_position_intervention,results\experiments\gpt2_question_position_intervention_audit_layer2_3_20260821_results\csv\question_position_intervention_raw.csv,control=target_last_each_step | position_mode=last_each_step,question_mark_hit,0.9604166666666667,480,461.0,0.9390070023931579,0.9745151089755214
gpt2_question_position_intervention,results\experiments\gpt2_question_position_intervention_audit_layer2_3_20260821_results\csv\question_position_intervention_raw.csv,control=target_prompt_all_once | position_mode=prompt_all,question_and_preserved,0.7895833333333333,480,379.0,0.7508915928659468,0.8236766129270234
gpt2_question_position_intervention,results\experiments\gpt2_question_position_intervention_audit_layer2_3_20260821_results\csv\question_position_intervention_raw.csv,control=target_prompt_all_once | position_mode=prompt_all,question_mark_hit,0.8625,480,414.0,0.8288014895101333,0.8904421637846641
gpt2_question_position_intervention,results\experiments\gpt2_question_position_intervention_audit_layer2_3_20260821_results\csv\question_position_intervention_raw.csv,control=target_prompt_first | position_mode=prompt_first,question_and_preserved,0.0,480,0.0,0.0,0.00793978855890027
gpt2_question_position_intervention,results\experiments\gpt2_question_position_intervention_audit_layer2_3_20260821_results\csv\question_position_intervention_raw.csv,control=target_prompt_first | position_mode=prompt_first,question_mark_hit,0.0,480,0.0,0.0,0.00793978855890027
gpt2_question_position_intervention,results\experiments\gpt2_question_position_intervention_audit_layer2_3_20260821_results\csv\question_position_intervention_raw.csv,control=target_prompt_last_once | position_mode=prompt_last,question_and_preserved,0.0,480,0.0,0.0,0.00793978855890027
gpt2_question_position_intervention,results\experiments\gpt2_question_position_intervention_audit_layer2_3_20260821_results\csv\question_position_intervention_raw.csv,control=target_prompt_last_once | position_mode=prompt_last,question_mark_hit,0.0,480,0.0,0.0,0.00793978855890027
gpt2_question_position_intervention,results\experiments\gpt2_question_position_intervention_audit_layer2_3_20260821_results\csv\question_position_intervention_raw.csv,control=target_prompt_middle | position_mode=prompt_middle,question_and_preserved,0.0,480,0.0,0.0,0.00793978855890027
gpt2_question_position_intervention,results\experiments\gpt2_question_position_intervention_audit_layer2_3_20260821_results\csv\question_position_intervention_raw.csv,control=target_prompt_middle | position_mode=prompt_middle,question_mark_hit,0.0,480,0.0,0.0,0.00793978855890027
gpt2_question_position_intervention,results\experiments\gpt2_question_position_intervention_audit_layer2_3_20260821_results\csv\question_position_intervention_raw.csv,control=wrong_last_each_step | position_mode=last_each_step,question_and_preserved,0.0,480,0.0,0.0,0.00793978855890027
gpt2_question_position_intervention,results\experiments\gpt2_question_position_intervention_audit_layer2_3_20260821_results\csv\question_position_intervention_raw.csv,control=wrong_last_each_step | position_mode=last_each_step,question_mark_hit,0.0,480,0.0,0.0,0.00793978855890027
