section,source_file,group,metric,estimate,n,numerator,ci95_low,ci95_high
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=hard_out_of_template | prompt_style=copy_sentence | layer=2 | control=target_exclamation,exclamation_mark_rate,0.925,40,37.0,0.8013546984090248,0.9741644432281419
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=hard_out_of_template | prompt_style=copy_sentence | layer=3 | control=target_exclamation,exclamation_and_preserved_rate,0.65,40,26.0,0.4950559699353739,0.7786566682895086
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=hard_out_of_template | prompt_style=copy_sentence | layer=3 | control=target_exclamation,exclamation_mark_rate,0.925,40,37.0,0.8013546984090248,0.9741644432281419
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=hard_out_of_template | prompt_style=repeat_sentence | layer=2 | control=target_exclamation,exclamation_and_preserved_rate,0.75,40,30.0,0.598057409330299,0.8581303210445048
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=hard_out_of_template | prompt_style=repeat_sentence | layer=2 | control=target_exclamation,exclamation_mark_rate,1.0,40,40.0,0.9123754607496077,1.0
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=hard_out_of_template | prompt_style=repeat_sentence | layer=3 | control=target_exclamation,exclamation_and_preserved_rate,0.725,40,29.0,0.5716474916687543,0.8389214656685692
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=hard_out_of_template | prompt_style=repeat_sentence | layer=3 | control=target_exclamation,exclamation_mark_rate,0.925,40,37.0,0.8013546984090248,0.9741644432281419
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=hard_out_of_template | prompt_style=same_sentence | layer=2 | control=target_exclamation,exclamation_and_preserved_rate,0.775,40,31.0,0.6249660359590695,0.8768404674532148
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=hard_out_of_template | prompt_style=same_sentence | layer=2 | control=target_exclamation,exclamation_mark_rate,0.95,40,38.0,0.834958291820748,0.9861796228538989
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=hard_out_of_template | prompt_style=same_sentence | layer=3 | control=target_exclamation,exclamation_and_preserved_rate,0.8,40,32.0,0.6524239261814333,0.8950013502683314
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=hard_out_of_template | prompt_style=same_sentence | layer=3 | control=target_exclamation,exclamation_mark_rate,0.95,40,38.0,0.834958291820748,0.9861796228538989
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=in_template | prompt_style=copy_sentence | layer=2 | control=target_exclamation,exclamation_and_preserved_rate,1.0,40,40.0,0.9123754607496077,1.0
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=in_template | prompt_style=copy_sentence | layer=2 | control=target_exclamation,exclamation_mark_rate,1.0,40,40.0,0.9123754607496077,1.0
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=in_template | prompt_style=copy_sentence | layer=3 | control=target_exclamation,exclamation_and_preserved_rate,0.975,40,39.0,0.8711834051199223,0.9955732825922052
