model,label,mean_noncommutativity,std_noncommutativity,mean_relative_commutator_norm,std_relative_commutator_norm,mean_cosine,std_cosine,n
bert-base-uncased,equivalent,0.11302450209856034,0.040921007749582204,0.48176645259247713,0.08089454177373909,0.8869754979014397,0.04092100774958219,400
bert-base-uncased,non_equivalent,0.32914618581533434,0.11344136305218093,0.806478127479848,0.13258927589822495,0.6708538141846657,0.11344136305218096,400
distilroberta-base,equivalent,0.12949686080217362,0.04826434240698617,0.5406193673522011,0.12773736812926123,0.8705031391978264,0.048264342406986155,400
distilroberta-base,non_equivalent,0.23187082409858703,0.03813715609185676,0.6868228904080077,0.05604028641943855,0.7681291759014129,0.03813715609185676,400
roberta-base,equivalent,0.15429354295134545,0.06304514977277398,0.5831152384185853,0.13039259690593694,0.8457064570486545,0.06304514977277398,400
roberta-base,non_equivalent,0.27841685205698014,0.043870586296796965,0.7464761611770508,0.05974575244847945,0.7215831479430199,0.04387058629679695,400
