model,equiv_mean,non_equiv_mean,diff,cohens_d,equiv_std,non_equiv_std
bert-base-uncased,0.1130245020985603,0.32914618581533434,0.21612168371677404,2.5344241290918896,0.0409210077495822,0.1134413630521809
distilroberta-base,0.12949686080217357,0.23187082409858703,0.10237396329641346,2.353614312972638,0.04826434240698617,0.03813715609185676
roberta-base,0.15429354295134545,0.27841685205698014,0.12412330910563468,2.2854272083251277,0.063045149772774,0.043870586296796944
