model,accuracy,random_baseline,n_samples,n_classes
bert-base-uncased,0.9991666666666666,0.16666666666666666,1200,6
distilgpt2,0.8041666666666667,0.16666666666666666,1200,6
distilroberta-base,1.0,0.16666666666666666,1200,6
gpt2,0.6975,0.16666666666666666,1200,6
roberta-base,1.0,0.16666666666666666,1200,6
