model,language,template_id,representation,cv_adjacent_norm,cos_step_12,cos_step_23,cos_step_34
intfloat/multilingual-e5-large,en,0,mean_pool,0.550034761428833,-0.15533693134784698,-0.3811494708061218,-0.0380176343023777
intfloat/multilingual-e5-large,en,1,mean_pool,0.5141482949256897,-0.06920582801103592,-0.4405231177806854,-0.06801072508096695
intfloat/multilingual-e5-large,en,2,mean_pool,0.39114901423454285,-0.16052718460559845,-0.44317612051963806,0.07154469192028046
intfloat/multilingual-e5-large,en,3,mean_pool,0.5450656414031982,-0.1603703647851944,-0.44037875533103943,-0.08273974061012268
intfloat/multilingual-e5-large,en,4,mean_pool,0.5157477855682373,-0.12909908592700958,-0.4261701703071594,-0.08391045778989792
intfloat/multilingual-e5-large,en,5,mean_pool,0.5514667630195618,-0.18781504034996033,-0.3887219727039337,-0.030688010156154633
intfloat/multilingual-e5-large,en,6,mean_pool,0.4787138104438782,-0.10294141620397568,-0.4385818541049957,-0.032139889895915985
intfloat/multilingual-e5-large,en,7,mean_pool,0.5048671364784241,-0.04263374209403992,-0.5135877132415771,0.2245245724916458
intfloat/multilingual-e5-large,en,8,mean_pool,0.5172160863876343,-0.0606926791369915,-0.4306543469429016,-0.0011926478473469615
intfloat/multilingual-e5-large,en,9,mean_pool,0.5581511855125427,-0.10901819169521332,-0.43595483899116516,-0.03675256296992302
intfloat/multilingual-e5-large,en,10,mean_pool,0.516828715801239,0.02624540589749813,-0.46806252002716064,-0.00951516442000866
intfloat/multilingual-e5-large,en,11,mean_pool,0.4976900517940521,-0.048235923051834106,-0.4314451217651367,0.0036096256226301193
intfloat/multilingual-e5-large,en,12,mean_pool,0.5366618633270264,-0.1169988214969635,-0.5382885932922363,0.17371979355812073
intfloat/multilingual-e5-large,en,13,mean_pool,0.5396764874458313,-0.1534319519996643,-0.47191861271858215,-0.09313928335905075
intfloat/multilingual-e5-large,en,14,mean_pool,0.516339898109436,0.0908767580986023,-0.408368319272995,-0.11235177516937256
intfloat/multilingual-e5-large,en,15,mean_pool,0.4833098351955414,-0.15297213196754456,-0.4527619183063507,0.12127011269330978
intfloat/multilingual-e5-large,en,16,mean_pool,0.5563700795173645,-0.15440259873867035,-0.3848975896835327,-0.005404626950621605
intfloat/multilingual-e5-large,en,17,mean_pool,0.5228397846221924,-0.04083191603422165,-0.44518423080444336,0.00898829847574234
intfloat/multilingual-e5-large,en,18,mean_pool,0.5531417727470398,-0.15753977000713348,-0.42965635657310486,-0.037959542125463486
intfloat/multilingual-e5-large,en,19,mean_pool,0.5444956421852112,-0.054529380053281784,-0.37455806136131287,0.06301265954971313
intfloat/multilingual-e5-large,en,20,mean_pool,0.5284585952758789,-0.1542937010526657,-0.4648905396461487,0.009205363690853119
intfloat/multilingual-e5-large,en,21,mean_pool,0.5257411599159241,-0.09243720024824142,-0.4182037115097046,-0.03983286768198013
intfloat/multilingual-e5-large,en,22,mean_pool,0.45845577120780945,-0.0820329338312149,-0.47214850783348083,0.09513671696186066
intfloat/multilingual-e5-large,en,23,mean_pool,0.5443249940872192,-0.16157852113246918,-0.3639892041683197,-0.038430310785770416
intfloat/multilingual-e5-large,en,24,mean_pool,0.4933251738548279,0.07970765233039856,-0.48022159934043884,-0.15073922276496887
intfloat/multilingual-e5-large,en,25,mean_pool,0.5571726560592651,-0.027543513104319572,-0.40799614787101746,0.06040113419294357
intfloat/multilingual-e5-large,en,26,mean_pool,0.539146900177002,-0.08496995270252228,-0.37618517875671387,0.07535318285226822
intfloat/multilingual-e5-large,en,27,mean_pool,0.5210627913475037,-0.15561702847480774,-0.4366159439086914,0.010905096307396889
intfloat/multilingual-e5-large,en,28,mean_pool,0.4797576367855072,-0.09494689851999283,-0.5538960695266724,0.08173135668039322
intfloat/multilingual-e5-large,en,29,mean_pool,0.49951493740081787,0.11175615340471268,-0.45583897829055786,-0.16958782076835632
intfloat/multilingual-e5-large,en,30,mean_pool,0.5719308257102966,-0.11681350320577621,-0.44252070784568787,-0.04181106388568878
intfloat/multilingual-e5-large,en,31,mean_pool,0.5054839253425598,-0.13044974207878113,-0.46315187215805054,-0.11966322362422943
intfloat/multilingual-e5-large,en,32,mean_pool,0.5692933201789856,-0.04213031753897667,-0.4933151304721832,0.0012541428441181779
intfloat/multilingual-e5-large,en,33,mean_pool,0.5367177724838257,-0.13313037157058716,-0.4489646255970001,-0.06228066608309746
intfloat/multilingual-e5-large,en,34,mean_pool,0.49244043231010437,0.08123555034399033,-0.4575928747653961,-0.16375483572483063
intfloat/multilingual-e5-large,en,35,mean_pool,0.5112406611442566,-0.030937720090150833,-0.49373960494995117,-0.01845810003578663
intfloat/multilingual-e5-large,en,36,mean_pool,0.5337956547737122,-0.04523793235421181,-0.4313669800758362,0.05513587221503258
intfloat/multilingual-e5-large,en,37,mean_pool,0.5333319306373596,-0.10823138803243637,-0.46281179785728455,-0.04060138761997223
intfloat/multilingual-e5-large,en,38,mean_pool,0.5389960408210754,-0.04051627591252327,-0.44021645188331604,0.0006188941770233214
intfloat/multilingual-e5-large,en,39,mean_pool,0.5286165475845337,-0.02392183057963848,-0.5332121849060059,0.05214666575193405
intfloat/multilingual-e5-large,en,40,mean_pool,0.5257132649421692,-0.035775233060121536,-0.359102725982666,0.014181666076183319
intfloat/multilingual-e5-large,en,41,mean_pool,0.5649626851081848,-0.11307360976934433,-0.4143069386482239,-0.02995755895972252
intfloat/multilingual-e5-large,en,42,mean_pool,0.5475301146507263,-0.0788552314043045,-0.4317956864833832,0.10599945485591888
intfloat/multilingual-e5-large,en,43,mean_pool,0.5492991805076599,-0.11433938890695572,-0.5051950216293335,-0.03228962793946266
intfloat/multilingual-e5-large,en,44,mean_pool,0.5649130344390869,-0.011781172826886177,-0.4487124979496002,-0.04020535945892334
intfloat/multilingual-e5-large,en,45,mean_pool,0.5199821591377258,-0.06153815984725952,-0.43251803517341614,0.03210652992129326
intfloat/multilingual-e5-large,en,46,mean_pool,0.5328855514526367,0.007515761069953442,-0.5492473244667053,0.03266752511262894
intfloat/multilingual-e5-large,en,47,mean_pool,0.5239048600196838,-0.006372164469212294,-0.5043735504150391,-0.03449653834104538
intfloat/multilingual-e5-large,en,48,mean_pool,0.5195500254631042,-0.18847833573818207,-0.41755566000938416,-0.0289194006472826
intfloat/multilingual-e5-large,en,49,mean_pool,0.5213107466697693,-0.13089382648468018,-0.5131534934043884,0.013477195054292679
intfloat/multilingual-e5-large,en,50,mean_pool,0.44759896397590637,-0.133653923869133,-0.40929436683654785,0.12754744291305542
intfloat/multilingual-e5-large,en,51,mean_pool,0.4739774465560913,-0.14364442229270935,-0.4107119143009186,0.02117132768034935
intfloat/multilingual-e5-large,en,52,mean_pool,0.502492368221283,-0.22544468939304352,-0.45850870013237,0.011295798234641552
intfloat/multilingual-e5-large,en,53,mean_pool,0.4707894027233124,-0.008133572526276112,-0.42843982577323914,-0.10750258713960648
intfloat/multilingual-e5-large,en,54,mean_pool,0.545628011226654,-0.11527897417545319,-0.45290154218673706,0.015108514577150345
intfloat/multilingual-e5-large,en,55,mean_pool,0.5299491882324219,-0.07886110246181488,-0.46042415499687195,-0.04492109268903732
intfloat/multilingual-e5-large,en,56,mean_pool,0.5892325043678284,-0.14213213324546814,-0.3861449062824249,0.03741178289055824
intfloat/multilingual-e5-large,en,57,mean_pool,0.49666306376457214,-0.13321369886398315,-0.4239596724510193,-0.08080475777387619
intfloat/multilingual-e5-large,en,58,mean_pool,0.5312079787254333,-0.10632466524839401,-0.47632697224617004,-0.028219759464263916
intfloat/multilingual-e5-large,en,59,mean_pool,0.4920845329761505,-0.02111538127064705,-0.4499179720878601,-0.1267852634191513
intfloat/multilingual-e5-large,en,60,mean_pool,0.5410588383674622,-0.03964034467935562,-0.6273364424705505,0.13536301255226135
intfloat/multilingual-e5-large,en,61,mean_pool,0.5045521259307861,-0.018783623352646828,-0.5291600227355957,0.12755510210990906
intfloat/multilingual-e5-large,en,62,mean_pool,0.5210062265396118,-0.0344158299267292,-0.4922729730606079,-0.0049701835960149765
intfloat/multilingual-e5-large,en,63,mean_pool,0.520675539970398,0.010613382793962955,-0.5078958868980408,0.01791621372103691
intfloat/multilingual-e5-large,en,64,mean_pool,0.5420428514480591,-0.15970627963542938,-0.4811110198497772,-0.010387732647359371
intfloat/multilingual-e5-large,en,65,mean_pool,0.5219668745994568,0.010678960010409355,-0.48223307728767395,0.08048631250858307
intfloat/multilingual-e5-large,en,66,mean_pool,0.4920045733451843,0.06156904995441437,-0.48407527804374695,0.029091497883200645
intfloat/multilingual-e5-large,en,67,mean_pool,0.4484769403934479,-0.06972933560609818,-0.43105340003967285,0.09134438633918762
intfloat/multilingual-e5-large,en,68,mean_pool,0.5455898642539978,-0.12739087641239166,-0.4028244912624359,0.0028366257902234793
intfloat/multilingual-e5-large,en,69,mean_pool,0.548295259475708,-0.047651391476392746,-0.43369579315185547,0.01258624717593193
intfloat/multilingual-e5-large,en,70,mean_pool,0.533573567867279,-0.05193612724542618,-0.5395768284797668,0.17025978863239288
intfloat/multilingual-e5-large,en,71,mean_pool,0.4526667594909668,-0.03558768704533577,-0.47496914863586426,-0.14773112535476685
intfloat/multilingual-e5-large,en,72,mean_pool,0.5082740187644958,0.028493607416749,-0.44467294216156006,0.08197331428527832
intfloat/multilingual-e5-large,en,73,mean_pool,0.5090670585632324,-0.10649644583463669,-0.5512794852256775,0.0007416370208375156
intfloat/multilingual-e5-large,en,74,mean_pool,0.5488583445549011,-0.01927359215915203,-0.47741469740867615,0.06390645354986191
intfloat/multilingual-e5-large,en,75,mean_pool,0.5617107152938843,-0.17705485224723816,-0.3872998058795929,-0.02895744889974594
intfloat/multilingual-e5-large,en,76,mean_pool,0.5143875479698181,-0.25401344895362854,-0.4892473816871643,0.04035276174545288
intfloat/multilingual-e5-large,en,77,mean_pool,0.5155863761901855,-0.15383003652095795,-0.4007473587989807,-0.0550558865070343
intfloat/multilingual-e5-large,en,78,mean_pool,0.5558030605316162,-0.11247234791517258,-0.38373997807502747,0.05048873648047447
intfloat/multilingual-e5-large,en,79,mean_pool,0.5462904572486877,-0.08598704636096954,-0.49721431732177734,0.014566848054528236
intfloat/multilingual-e5-large,en,80,mean_pool,0.5622798204421997,-0.04196098819375038,-0.4656839668750763,0.11785412579774857
intfloat/multilingual-e5-large,en,81,mean_pool,0.47853294014930725,-0.0743534043431282,-0.4247617721557617,-0.031630951911211014
intfloat/multilingual-e5-large,en,82,mean_pool,0.536482036113739,-0.07478772848844528,-0.3832516074180603,0.09838499873876572
intfloat/multilingual-e5-large,en,83,mean_pool,0.5567948818206787,-0.1377941519021988,-0.45182621479034424,-0.011912484653294086
intfloat/multilingual-e5-large,en,84,mean_pool,0.5506147742271423,-0.06377693265676498,-0.37013983726501465,0.047270797193050385
intfloat/multilingual-e5-large,en,85,mean_pool,0.5501080751419067,-0.08009182661771774,-0.4517778158187866,0.023364771157503128
