model,language,template_id,representation,cv_adjacent_norm,cos_step_12,cos_step_23,cos_step_34
BAAI/bge-m3,en,0,mean_pool,0.6270082592964172,-0.11127207428216934,-0.5916363596916199,0.049790848046541214
BAAI/bge-m3,en,1,mean_pool,0.6012661457061768,-0.027718618512153625,-0.5820367336273193,0.13640594482421875
BAAI/bge-m3,en,2,mean_pool,0.47917455434799194,-0.11266864091157913,-0.5653272271156311,0.13761688768863678
BAAI/bge-m3,en,3,mean_pool,0.5950804352760315,-0.12260302901268005,-0.5479123592376709,0.11136344820261002
BAAI/bge-m3,en,4,mean_pool,0.5607725977897644,-0.1138000562787056,-0.5809087157249451,0.02777583710849285
BAAI/bge-m3,en,5,mean_pool,0.5587083101272583,-0.029072001576423645,-0.5332133769989014,0.06365969032049179
BAAI/bge-m3,en,6,mean_pool,0.4928380846977234,-0.17951422929763794,-0.5900509357452393,0.06105726584792137
BAAI/bge-m3,en,7,mean_pool,0.5803390145301819,-0.04694947600364685,-0.5651931762695312,0.23533949255943298
BAAI/bge-m3,en,8,mean_pool,0.5573261976242065,-0.14636492729187012,-0.6143752932548523,0.17870661616325378
BAAI/bge-m3,en,9,mean_pool,0.6499066352844238,-0.1566298007965088,-0.5917273759841919,0.11329752951860428
BAAI/bge-m3,en,10,mean_pool,0.539971113204956,-0.10743842273950577,-0.5207217931747437,0.0641893595457077
BAAI/bge-m3,en,11,mean_pool,0.5882645845413208,-0.09756925702095032,-0.5837951898574829,0.06620020419359207
BAAI/bge-m3,en,12,mean_pool,0.5658204555511475,-0.1304628551006317,-0.5945993661880493,0.2743958830833435
BAAI/bge-m3,en,13,mean_pool,0.5934984683990479,-0.056318335235118866,-0.5322350263595581,0.031972140073776245
BAAI/bge-m3,en,14,mean_pool,0.5080100297927856,-0.13893239200115204,-0.5008376240730286,-0.12133070081472397
BAAI/bge-m3,en,15,mean_pool,0.5784659385681152,0.004478268325328827,-0.5592747330665588,0.21945412456989288
BAAI/bge-m3,en,16,mean_pool,0.6342087388038635,-0.17816190421581268,-0.6015921235084534,0.06059670075774193
BAAI/bge-m3,en,17,mean_pool,0.5890432000160217,-0.08251401782035828,-0.5694053173065186,0.11274278908967972
BAAI/bge-m3,en,18,mean_pool,0.6693366765975952,-0.1620682328939438,-0.5972157120704651,0.09819592535495758
BAAI/bge-m3,en,19,mean_pool,0.6059717535972595,-0.059976160526275635,-0.498329222202301,0.15702392160892487
BAAI/bge-m3,en,20,mean_pool,0.5834828019142151,-0.12504518032073975,-0.5315137505531311,0.08757448941469193
BAAI/bge-m3,en,21,mean_pool,0.5717748999595642,-0.11541961133480072,-0.5795249342918396,0.04759346693754196
BAAI/bge-m3,en,22,mean_pool,0.5368752479553223,-0.0947578102350235,-0.5862902998924255,0.108388252556324
BAAI/bge-m3,en,23,mean_pool,0.6336085200309753,-0.19380639493465424,-0.5958185791969299,0.11006476730108261
BAAI/bge-m3,en,24,mean_pool,0.5087888240814209,-0.028031453490257263,-0.5183618068695068,-0.15467201173305511
BAAI/bge-m3,en,25,mean_pool,0.6133749485015869,-0.0010251648491248488,-0.5675370097160339,0.08611930161714554
BAAI/bge-m3,en,26,mean_pool,0.6275819540023804,-0.05585673823952675,-0.5369197130203247,0.15789829194545746
BAAI/bge-m3,en,27,mean_pool,0.6465434432029724,-0.09141261875629425,-0.5407644510269165,0.11573570221662521
BAAI/bge-m3,en,28,mean_pool,0.5130389332771301,-0.08837883174419403,-0.5878427624702454,0.2592770755290985
BAAI/bge-m3,en,29,mean_pool,0.4470261037349701,-0.05647388473153114,-0.5392045378684998,-0.14927096664905548
BAAI/bge-m3,en,30,mean_pool,0.6369234919548035,-0.14328595995903015,-0.6003198623657227,0.07687295228242874
