model,language,template_id,representation,row_cosine,norm_ratio_pos_over_neg
BAAI/bge-m3,en,0,mean_pool,0.5143250226974487,1.3046987056732178
BAAI/bge-m3,en,1,mean_pool,0.4965273141860962,1.2354987859725952
BAAI/bge-m3,en,2,mean_pool,0.4356812238693237,1.2209993600845337
BAAI/bge-m3,en,3,mean_pool,0.4253804087638855,1.3063011169433594
BAAI/bge-m3,en,4,mean_pool,0.4642958343029022,1.252713680267334
BAAI/bge-m3,en,5,mean_pool,0.433135062456131,1.3257488012313845
BAAI/bge-m3,en,6,mean_pool,0.4523946642875671,1.3270221948623655
BAAI/bge-m3,en,7,mean_pool,0.5005958080291748,1.144824504852295
BAAI/bge-m3,en,8,mean_pool,0.4295209050178528,1.437893629074097
BAAI/bge-m3,en,9,mean_pool,0.464632511138916,1.3044167757034302
BAAI/bge-m3,en,10,mean_pool,0.4910230338573456,1.355595588684082
BAAI/bge-m3,en,11,mean_pool,0.4574486017227173,1.2992818355560305
BAAI/bge-m3,en,12,mean_pool,0.4933743178844452,1.435872197151184
BAAI/bge-m3,en,13,mean_pool,0.4333486258983612,1.300831913948059
BAAI/bge-m3,en,14,mean_pool,0.4226482510566711,1.311736822128296
BAAI/bge-m3,en,15,mean_pool,0.5094759464263916,1.2918938398361206
BAAI/bge-m3,en,16,mean_pool,0.4719844460487366,1.3481321334838867
BAAI/bge-m3,en,17,mean_pool,0.5152151584625244,1.1828895807266235
BAAI/bge-m3,en,18,mean_pool,0.4848754703998565,1.335996389389038
BAAI/bge-m3,en,19,mean_pool,0.3940701484680176,1.4710849523544312
BAAI/bge-m3,en,20,mean_pool,0.4548889398574829,1.4242852926254272
BAAI/bge-m3,en,21,mean_pool,0.4569984078407287,1.2861639261245728
BAAI/bge-m3,en,22,mean_pool,0.5476999282836914,1.2341580390930176
BAAI/bge-m3,en,23,mean_pool,0.4570628702640533,1.357250452041626
BAAI/bge-m3,en,24,mean_pool,0.4334964752197265,1.270967960357666
BAAI/bge-m3,en,25,mean_pool,0.4670795500278473,1.2500889301300049
BAAI/bge-m3,en,26,mean_pool,0.4578512609004974,1.313870906829834
BAAI/bge-m3,en,27,mean_pool,0.4455008506774902,1.3951104879379272
BAAI/bge-m3,en,28,mean_pool,0.5294015407562256,1.1110352277755735
BAAI/bge-m3,en,29,mean_pool,0.4350272417068481,1.2215768098831177
BAAI/bge-m3,en,30,mean_pool,0.4915010333061218,1.3078830242156982
BAAI/bge-m3,en,31,mean_pool,0.4351936280727386,1.3210606575012207
BAAI/bge-m3,en,32,mean_pool,0.4451190531253814,1.3129390478134155
BAAI/bge-m3,en,33,mean_pool,0.4480821490287781,1.2772293090820312
BAAI/bge-m3,en,34,mean_pool,0.4262041747570038,1.251107931137085
BAAI/bge-m3,en,35,mean_pool,0.4873712658882141,1.253901720046997
BAAI/bge-m3,en,36,mean_pool,0.4423202574253082,1.3757919073104858
BAAI/bge-m3,en,37,mean_pool,0.4293418824672699,1.3273721933364868
BAAI/bge-m3,en,38,mean_pool,0.5156269669532776,1.1674566268920898
BAAI/bge-m3,en,39,mean_pool,0.4704084098339081,1.2620538473129272
BAAI/bge-m3,en,40,mean_pool,0.3874443769454956,1.3615440130233765
BAAI/bge-m3,en,41,mean_pool,0.4623897969722748,1.4063622951507568
BAAI/bge-m3,en,42,mean_pool,0.5294413566589355,1.0930638313293457
BAAI/bge-m3,en,43,mean_pool,0.4708910882472992,1.464117407798767
BAAI/bge-m3,en,44,mean_pool,0.4717580080032348,1.240815281867981
BAAI/bge-m3,en,45,mean_pool,0.4868934452533722,1.3686141967773438
BAAI/bge-m3,en,46,mean_pool,0.4741754531860351,1.309447169303894
BAAI/bge-m3,en,47,mean_pool,0.5392759442329407,1.3109031915664673
BAAI/bge-m3,en,48,mean_pool,0.4747885763645172,1.3537312746047974
BAAI/bge-m3,en,49,mean_pool,0.4537250101566314,1.355259656906128
BAAI/bge-m3,en,50,mean_pool,0.5348145365715027,1.2300726175308228
BAAI/bge-m3,en,51,mean_pool,0.4214811027050018,1.2271884679794312
BAAI/bge-m3,en,52,mean_pool,0.4635090827941894,1.5180894136428833
BAAI/bge-m3,en,53,mean_pool,0.451177179813385,1.3224104642868042
BAAI/bge-m3,en,54,mean_pool,0.4686696827411651,1.3154394626617432
BAAI/bge-m3,en,55,mean_pool,0.4815386235713959,1.220982789993286
BAAI/bge-m3,en,56,mean_pool,0.4583442211151123,1.4436534643173218
BAAI/bge-m3,en,57,mean_pool,0.4347459673881531,1.3222424983978271
BAAI/bge-m3,en,58,mean_pool,0.5008667707443237,1.1690030097961426
BAAI/bge-m3,en,59,mean_pool,0.4339355528354645,1.1328458786010742
BAAI/bge-m3,en,60,mean_pool,0.4873010814189911,1.2512296438217163
BAAI/bge-m3,en,61,mean_pool,0.4969845712184906,1.1745105981826782
BAAI/bge-m3,en,62,mean_pool,0.5038911700248718,1.3327327966690063
BAAI/bge-m3,en,63,mean_pool,0.4977152347564697,1.3587262630462646
BAAI/bge-m3,en,64,mean_pool,0.4468868672847748,1.3721305131912231
BAAI/bge-m3,en,65,mean_pool,0.4491046071052551,1.4237427711486816
BAAI/bge-m3,en,66,mean_pool,0.5066083073616028,1.2334188222885132
BAAI/bge-m3,en,67,mean_pool,0.4333982765674591,1.2518627643585205
BAAI/bge-m3,en,68,mean_pool,0.4612067341804504,1.406744360923767
BAAI/bge-m3,en,69,mean_pool,0.4822677373886108,1.277958631515503
BAAI/bge-m3,en,70,mean_pool,0.4884099960327148,1.2661161422729492
BAAI/bge-m3,en,71,mean_pool,0.4911575615406036,1.1078349351882937
BAAI/bge-m3,en,72,mean_pool,0.4872782230377197,1.2461687326431274
BAAI/bge-m3,en,73,mean_pool,0.4698634445667267,1.270755171775818
BAAI/bge-m3,en,74,mean_pool,0.4715683460235595,1.437650203704834
BAAI/bge-m3,en,75,mean_pool,0.4838527143001556,1.35122549533844
BAAI/bge-m3,en,76,mean_pool,0.513768196105957,1.1821991205215454
BAAI/bge-m3,en,77,mean_pool,0.417457103729248,1.3303247690200806
BAAI/bge-m3,en,78,mean_pool,0.4446335136890411,1.4165699481964111
BAAI/bge-m3,en,79,mean_pool,0.4835737347602844,1.2960060834884644
BAAI/bge-m3,en,80,mean_pool,0.4267521202564239,1.6977617740631104
BAAI/bge-m3,en,81,mean_pool,0.4247944355010986,1.3171802759170532
BAAI/bge-m3,en,82,mean_pool,0.4430549144744873,1.3684310913085938
BAAI/bge-m3,en,83,mean_pool,0.4677527248859405,1.2865616083145142
BAAI/bge-m3,en,84,mean_pool,0.5214825868606567,1.2096234560012815
BAAI/bge-m3,en,85,mean_pool,0.4594289064407348,1.4872082471847534
BAAI/bge-m3,en,86,mean_pool,0.4852772355079651,1.2980833053588867
BAAI/bge-m3,en,87,mean_pool,0.5302045345306396,1.1045717000961304
BAAI/bge-m3,en,88,mean_pool,0.4154872298240661,1.3851373195648191
BAAI/bge-m3,en,89,mean_pool,0.5007123947143555,1.3412799835205078
BAAI/bge-m3,en,90,mean_pool,0.4967268109321594,1.2427276372909546
BAAI/bge-m3,en,91,mean_pool,0.4450417160987854,1.2700196504592896
BAAI/bge-m3,en,92,mean_pool,0.4443307816982269,1.3234034776687622
BAAI/bge-m3,en,93,mean_pool,0.4481335878372192,1.4289581775665283
BAAI/bge-m3,en,94,mean_pool,0.4699321091175079,1.3006460666656494
BAAI/bge-m3,en,95,mean_pool,0.5134046673774719,1.1388211250305176
BAAI/bge-m3,en,96,mean_pool,0.4270589351654053,1.529758334159851
BAAI/bge-m3,en,97,mean_pool,0.4715270102024078,1.3171464204788208
BAAI/bge-m3,en,98,mean_pool,0.4143436551094055,1.578296780586243
BAAI/bge-m3,en,99,mean_pool,0.4956043064594269,1.3067671060562134
BAAI/bge-m3,en,100,mean_pool,0.4705877900123596,1.4048266410827637
BAAI/bge-m3,en,101,mean_pool,0.4113667607307434,1.361011981964111
BAAI/bge-m3,en,102,mean_pool,0.4183279275894165,1.426651954650879
BAAI/bge-m3,en,103,mean_pool,0.4886459112167358,1.2242108583450315
BAAI/bge-m3,en,104,mean_pool,0.4609370827674866,1.2476391792297363
BAAI/bge-m3,en,105,mean_pool,0.5176798105239868,1.339694261550903
BAAI/bge-m3,en,106,mean_pool,0.3945921063423157,1.380391001701355
BAAI/bge-m3,en,107,mean_pool,0.4602504670619964,1.393273949623108
BAAI/bge-m3,en,108,mean_pool,0.4422674179077148,1.33126962184906
BAAI/bge-m3,en,109,mean_pool,0.5152768492698669,1.2357330322265625
BAAI/bge-m3,en,110,mean_pool,0.5232574343681335,1.1772536039352417
BAAI/bge-m3,en,111,mean_pool,0.4606282711029053,1.3115540742874146
BAAI/bge-m3,en,112,mean_pool,0.5303865671157837,1.1721093654632568
BAAI/bge-m3,en,113,mean_pool,0.4519722163677215,1.466560959815979
BAAI/bge-m3,en,114,mean_pool,0.4342101216316223,1.473337173461914
BAAI/bge-m3,en,115,mean_pool,0.4209088385105133,1.481683611869812
BAAI/bge-m3,en,116,mean_pool,0.4612317979335785,1.3605773448944092
BAAI/bge-m3,en,117,mean_pool,0.4496029019355774,1.3053765296936035
BAAI/bge-m3,en,118,mean_pool,0.4371349513530731,1.3177878856658936
