representation,mean_cv_adjacent_norm,mean_cos_step_12,mean_cos_step_23,mean_cos_step_34,cells
marker_pool,0.2034937829214392,-0.2643667893477225,-0.6632989621144675,-0.34648159894283403,3360
mean_pool,0.23782178177664584,-0.2921074564056436,-0.6314530292939577,-0.32355824431506874,3360
