model,language,template_id,representation,from_level,to_level,step_size,delta_norm
BAAI/bge-m3,en,9,mean_pool,-1,1,2,11.474431991577148
BAAI/bge-m3,en,9,mean_pool,0,2,2,14.416343688964844
BAAI/bge-m3,en,9,mean_pool,-2,2,4,13.487695693969728
BAAI/bge-m3,en,10,mean_pool,-2,-1,1,5.299745082855225
BAAI/bge-m3,en,10,mean_pool,-1,0,1,11.111149787902832
BAAI/bge-m3,en,10,mean_pool,0,1,1,14.943530082702637
BAAI/bge-m3,en,10,mean_pool,1,2,1,4.771732807159424
BAAI/bge-m3,en,10,mean_pool,-2,0,2,11.78523063659668
BAAI/bge-m3,en,10,mean_pool,-1,1,2,13.185054779052734
BAAI/bge-m3,en,10,mean_pool,0,2,2,15.976006507873535
BAAI/bge-m3,en,10,mean_pool,-2,2,4,14.464573860168455
BAAI/bge-m3,en,11,mean_pool,-2,-1,1,5.612642288208008
BAAI/bge-m3,en,11,mean_pool,-1,0,1,10.57664394378662
BAAI/bge-m3,en,11,mean_pool,0,1,1,14.338377952575684
BAAI/bge-m3,en,11,mean_pool,1,2,1,3.26737117767334
BAAI/bge-m3,en,11,mean_pool,-2,0,2,11.479684829711914
BAAI/bge-m3,en,11,mean_pool,-1,1,2,11.84850788116455
BAAI/bge-m3,en,11,mean_pool,0,2,2,14.915346145629885
BAAI/bge-m3,en,11,mean_pool,-2,2,4,14.05698585510254
BAAI/bge-m3,en,12,mean_pool,-2,-1,1,3.929644346237183
BAAI/bge-m3,en,12,mean_pool,-1,0,1,9.084372520446776
BAAI/bge-m3,en,12,mean_pool,0,1,1,12.019400596618652
BAAI/bge-m3,en,12,mean_pool,1,2,1,3.715510129928589
BAAI/bge-m3,en,12,mean_pool,-2,0,2,9.41558837890625
BAAI/bge-m3,en,12,mean_pool,-1,1,2,9.856203079223633
BAAI/bge-m3,en,12,mean_pool,0,2,2,13.51958179473877
BAAI/bge-m3,en,12,mean_pool,-2,2,4,12.075777053833008
BAAI/bge-m3,en,13,mean_pool,-2,-1,1,4.695169448852539
BAAI/bge-m3,en,13,mean_pool,-1,0,1,9.330851554870604
BAAI/bge-m3,en,13,mean_pool,0,1,1,12.818881034851074
BAAI/bge-m3,en,13,mean_pool,1,2,1,3.072258710861206
BAAI/bge-m3,en,13,mean_pool,-2,0,2,10.206604957580566
BAAI/bge-m3,en,13,mean_pool,-1,1,2,11.138495445251465
BAAI/bge-m3,en,13,mean_pool,0,2,2,13.277077674865724
BAAI/bge-m3,en,13,mean_pool,-2,2,4,12.767383575439451
BAAI/bge-m3,en,14,mean_pool,-2,-1,1,5.508187294006348
BAAI/bge-m3,en,14,mean_pool,-1,0,1,10.25740909576416
BAAI/bge-m3,en,14,mean_pool,0,1,1,14.146202087402344
BAAI/bge-m3,en,14,mean_pool,1,2,1,4.726400852203369
BAAI/bge-m3,en,14,mean_pool,-2,0,2,10.947843551635742
