ridge_alpha,method,pair,mean_closure_residual_ratio,mean_givens_spectral_matched_null,mean_p_below_givens_spectral_matched,cells
100.0,affine,MT_minus_TM,0.893542870861943,0.9998610759010144,0.0033222591362126,63
100.0,affine,NM_minus_MN,0.8706674934693898,0.9998553430554975,0.0033749934082159747,63
100.0,affine,NQ_minus_QN,0.8320425065054631,0.9998467645002648,0.0033222591362126,63
100.0,affine,NT_minus_TN,0.8449941159810027,0.999854728944635,0.0033222591362126,63
100.0,affine,QM_minus_MQ,0.8526916850300897,0.9998553185608056,0.0033222591362126,63
100.0,affine,QT_minus_TQ,0.8363174514670587,0.9998548619059292,0.0033222591362126,63
100.0,linear,MT_minus_TM,0.8803701162048224,0.999859121114213,0.0033222591362126,63
100.0,linear,NM_minus_MN,0.8784183686767006,0.9998499118536927,0.003796867584242973,63
100.0,linear,NQ_minus_QN,0.9120966873844923,0.9998396760748989,0.0033749934082159747,63
100.0,linear,NT_minus_TN,0.8556335721509634,0.9998455576143731,0.003691399040236222,63
100.0,linear,QM_minus_MQ,0.8809365738129699,0.9998484022398515,0.0033222591362126,63
100.0,linear,QT_minus_TQ,0.8825628031168314,0.9998491609762964,0.0033222591362126,63
