model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,givens_spectral_matched_null_mean,givens_spectral_matched_null_std,empirical_p_below_givens_spectral_matched_null,coef_N,coef_Q,coef_M,coef_T
distilbert-base-multilingual-cased,100.0,en,linear,NQ_minus_QN,4,1.0059542078471906,0.9066636649744793,0.9999015819557429,7.13835676788473e-05,0.0033222591362126247,-0.220786629766269,0.19502769244063373,-0.017828660730534983,0.042501993550549226
distilbert-base-multilingual-cased,100.0,en,linear,NM_minus_MN,4,0.7979791559580427,0.8753156296813861,0.9999054059725999,7.431266528643358e-05,0.0033222591362126247,-0.2859177568598256,0.03781268472615562,0.19895447640014222,0.0510540901108436
distilbert-base-multilingual-cased,100.0,en,linear,NT_minus_TN,4,0.7226574729607648,0.7765677326632061,0.9999098481060783,6.504827309867566e-05,0.0033222591362126247,-0.36035312305326334,0.0351807228281687,0.0019261593973466508,0.3264280644475515
distilbert-base-multilingual-cased,100.0,en,linear,QM_minus_MQ,4,1.073214415021627,0.8818142724773801,0.9999116137302231,6.245572265925363e-05,0.0033222591362126247,0.10761508042868764,-0.23615174162780111,0.15637631750554631,-0.02484356364850631
distilbert-base-multilingual-cased,100.0,en,linear,QT_minus_TQ,4,0.9883257880544019,0.912633296561392,0.9999075848695917,6.797066345841412e-05,0.0033222591362126247,0.0692530207133992,-0.20387470646649253,0.012600503190351237,0.12507931684893545
distilbert-base-multilingual-cased,100.0,en,linear,MT_minus_TM,4,0.8304516747830181,0.8730344592516899,0.9999056710472758,7.310226939892787e-05,0.0033222591362126247,-0.07764158091613929,-0.004565481397666778,-0.20263350090766802,0.2861955628094902
distilbert-base-multilingual-cased,100.0,en,affine,NQ_minus_QN,4,0.8995260655330256,0.7598425765870229,0.9999093683897767,6.978785050263604e-05,0.0033222591362126247,-0.3789570310106166,0.39562699110690935,-0.018946074978320626,-8.699534352341985e-05
distilbert-base-multilingual-cased,100.0,en,affine,NM_minus_MN,4,0.7411487872401402,0.8987329370904595,0.9999051304511426,7.409419739617078e-05,0.0033222591362126247,-0.2537185259914042,0.027969650650178285,0.18525459729062646,0.042276952788333065
distilbert-base-multilingual-cased,100.0,en,affine,NT_minus_TN,4,0.6403084906745325,0.8182798543584799,0.9999166777010615,6.190172249352065e-05,0.0033222591362126247,-0.32113336540413373,0.024639961648968617,-0.001385900617443235,0.30087386647272596
distilbert-base-multilingual-cased,100.0,en,affine,QM_minus_MQ,4,0.9513644162871744,0.8259382551963513,0.9999108448553587,6.178750436269368e-05,0.0033222591362126247,0.11813280155617349,-0.3609598108806865,0.2086979663491608,0.0383990956355765
