triple,mean_ratio_to_null_mean,std_ratio_to_null_mean,min_ratio_to_null_mean,max_ratio_to_null_mean,below_null_cells,n_cells,frac_below_null_cells
NMT,0.776637072408033,0.044365389331732216,0.663861005445443,0.8335816486620858,49,49,1.0
NQM,0.5709104567157214,0.07690736602974345,0.3367011026055974,0.7174314667327382,49,49,1.0
NQT,0.6999106189533596,0.06786026139895364,0.5192784117743922,0.8284231080777246,49,49,1.0
QMT,0.6197882460298543,0.0831860549819225,0.4591588530095206,0.7481431387924175,49,49,1.0
