model,language,triple,mean_relative_signed_permutation_norm,mean_ratio_to_null_mean,mean_null_percentile,max_p_smaller_or_equal_null,n
xlm-roberta-base,ar,NMT,0.5004919311031699,0.7876694588316399,24.954166666666666,0.7070585882823436,96
xlm-roberta-base,ar,NQM,0.8062808625400066,0.6511780422749548,23.642708333333335,0.6070785842831433,96
xlm-roberta-base,ar,NQT,0.7552780651797851,0.7537883610154262,29.098541666666666,0.6222755448910218,96
xlm-roberta-base,ar,QMT,0.7672570577512184,0.7481431387924175,29.670625,0.6184763047390522,96
xlm-roberta-base,de,NMT,0.5823302039255699,0.7489466404313174,19.684791666666666,0.501499700059988,96
xlm-roberta-base,de,NQM,0.5737404581159353,0.5128061804761327,19.265520833333333,0.4117176564687063,96
xlm-roberta-base,de,NQT,0.7484363432352742,0.7211709908906537,30.543645833333333,0.615876824635073,96
xlm-roberta-base,de,QMT,0.5127737295503417,0.4591588530095206,29.58385416666667,0.6140771845630874,96
xlm-roberta-base,en,NMT,0.6566371219232678,0.7636196233972451,25.46947916666667,0.710257948410318,96
xlm-roberta-base,en,NQM,0.41065122683842975,0.4717851716467105,19.956770833333334,0.4169166166766647,96
xlm-roberta-base,en,NQT,0.5960964572926363,0.6400867252931733,31.27010416666667,0.620875824835033,96
xlm-roberta-base,en,QMT,0.43512156295279664,0.4962858410571396,30.201979166666664,0.6152769446110777,96
xlm-roberta-base,es,NMT,0.5420023753928641,0.7599547155891248,28.59947916666667,0.715256948610278,96
xlm-roberta-base,es,NQM,0.5970877567306161,0.5322007102335323,23.496041666666667,0.6112777444511098,96
xlm-roberta-base,es,NQT,0.5885270855699977,0.5971498482540233,29.6690625,0.6154769046190762,96
xlm-roberta-base,es,QMT,0.507885024882853,0.5405672479753294,29.086250000000003,0.6196760647870426,96
xlm-roberta-base,fr,NMT,0.7117758495733142,0.8135263237113026,34.49239583333333,0.9072185562887423,96
xlm-roberta-base,fr,NQM,0.6095780543982983,0.5406233115609861,23.472604166666667,0.6162767446510697,96
xlm-roberta-base,fr,NQT,0.7730465432008108,0.7511819410709971,28.271979166666668,0.619876024795041,96
xlm-roberta-base,fr,QMT,0.47743301341931027,0.5785843766209399,29.633333333333336,0.6136772645470906,96
xlm-roberta-base,ru,NMT,0.5049798510347804,0.7971006615205504,28.197604166666668,0.9020195960807839,96
xlm-roberta-base,ru,NQM,0.3656658382775883,0.33670110260559744,23.092812499999997,0.6142771445710857,96
xlm-roberta-base,ru,NQT,0.48842944018542767,0.5212467267802873,30.247604166666665,0.6144771045790842,96
xlm-roberta-base,ru,QMT,0.33693118082980317,0.47839988897360497,30.649895833333332,0.611877624475105,96
xlm-roberta-base,zh,NMT,0.6707886541262269,0.833581639338591,44.11020833333333,0.9098180363927214,96
xlm-roberta-base,zh,NQM,0.705760627053678,0.6309449123615724,30.8425,0.612877424515097,96
xlm-roberta-base,zh,NQT,0.6738100821773211,0.7235791018659246,29.609583333333333,0.617876424715057,96
xlm-roberta-base,zh,QMT,0.45120241461942595,0.5896877792343271,29.713333333333335,0.6160767846430714,96
