language,triple,mean_ratio_to_null_mean,std_ratio_to_null_mean,min_ratio_to_null_mean,max_ratio_to_null_mean,below_null_models,n_models
ar,NMT,0.7414512859832124,0.055123782379827097,0.663861005445443,0.8105433801648294,7,7
ar,NQM,0.5522001705172611,0.07108801896483603,0.4289724066875179,0.6511780422749548,7,7
ar,NQT,0.6527098699741813,0.09328755097042717,0.5192784117743922,0.7558753451605643,7,7
ar,QMT,0.6406657621281381,0.09794617688790487,0.5362147573297652,0.7481431387924175,7,7
de,NMT,0.7734327299733774,0.03801792829590769,0.7089233382686385,0.8146858639032573,7,7
de,NQM,0.6199738179051731,0.07041389141150103,0.5128061804761327,0.7174314667327382,7,7
de,NQT,0.7504879360169188,0.05593807673729959,0.6773164035894035,0.8284231080777246,7,7
de,QMT,0.6025081414775677,0.0903215957049517,0.4591588530095206,0.706554020797114,7,7
en,NMT,0.7609080223277246,0.025767208293902295,0.7234831154974843,0.7883784471218344,7,7
en,NQM,0.563990903800027,0.0764903392332891,0.4717851716467105,0.6745366648477368,7,7
en,NQT,0.7021828911335273,0.0644634996098112,0.6145290387467514,0.7842534363475796,7,7
en,QMT,0.6467148796038897,0.10176582727129124,0.4962858410571396,0.747671997733477,7,7
es,NMT,0.752477741232021,0.04363269083381397,0.6951763961857972,0.8193813264630295,7,7
es,NQM,0.5988094961235386,0.04606760823833412,0.5322007102335323,0.6585775582792999,7,7
es,NQT,0.6949124696752486,0.05895718762269104,0.5971498482540233,0.7766375121303336,7,7
es,QMT,0.6321579986158892,0.059782117397632756,0.5405672479753294,0.6986011951106716,7,7
fr,NMT,0.7808333587275703,0.03232433640168354,0.7276082887658816,0.8135263237113026,7,7
fr,NQM,0.5913768727291127,0.07137392835516171,0.5086755631636332,0.6997970013591795,7,7
fr,NQT,0.7371514365972021,0.05401763008948292,0.6621710010732955,0.8049508885624012,7,7
fr,QMT,0.6370055773692779,0.0768515995425938,0.5109041480772837,0.7372863537440257,7,7
ru,NMT,0.7937747283407742,0.03282396946437525,0.7414051589264575,0.8278589045223099,7,7
ru,NQM,0.47462866056634173,0.07060479731753887,0.3367011026055974,0.5745068461918448,7,7
ru,NQT,0.6835421058930172,0.07236381240246519,0.5212467267802873,0.721679856884958,7,7
ru,QMT,0.6301082141671543,0.09241083164210781,0.4783998889736049,0.7193922808098933,7,7
zh,NMT,0.8335816402715513,4.284255769073777e-09,0.8335816354030353,0.8335816486620858,7,7
zh,NQM,0.5953932753685953,0.05540811458927374,0.4897494356847067,0.6415605361938832,7,7
zh,NQT,0.6783876233834217,0.03365569296521901,0.6219081930365356,0.7235791018659246,7,7
zh,QMT,0.5493571488470631,0.03306245899775827,0.5008754569011723,0.5914662677514911,7,7
