model,language,pair,mean_relative_commutator_norm,std_relative_commutator_norm,mean_noncommutativity,n
bert-base-multilingual-cased,es,MT_vs_TM,0.3895481334378322,0.0857310396824205,0.0780307246992985,96
bert-base-multilingual-cased,es,NM_vs_MN,0.3608890483155846,0.0851671304889393,0.0667451210319995,96
bert-base-multilingual-cased,es,NQ_vs_QN,0.6683629490435123,0.0735042653011595,0.2233608420938253,96
bert-base-multilingual-cased,es,NT_vs_TN,0.8376378193497658,0.1778648520547969,0.3553491290658712,96
bert-base-multilingual-cased,es,QM_vs_MQ,0.6508291838690639,0.0625226322146895,0.208523662139972,96
bert-base-multilingual-cased,es,QT_vs_TQ,0.6920426071931919,0.0591177381710157,0.2366965028146902,96
bert-base-multilingual-cased,fr,MT_vs_TM,0.3637969254826506,0.066802239449599,0.0668455051879088,96
bert-base-multilingual-cased,fr,NM_vs_MN,0.3284838191854457,0.0644446628646729,0.0548299960792064,96
bert-base-multilingual-cased,fr,NQ_vs_QN,0.7054542868087689,0.0483466536491968,0.248365718871355,96
bert-base-multilingual-cased,fr,NT_vs_TN,0.9905773544063172,0.1005941073091348,0.4911856435549755,96
bert-base-multilingual-cased,fr,QM_vs_MQ,0.5487063421557347,0.0480237838322162,0.1509255667527516,96
bert-base-multilingual-cased,fr,QT_vs_TQ,0.5732760019600391,0.0471705664660617,0.1644130094597737,96
bert-base-multilingual-cased,ru,MT_vs_TM,0.2680640898955365,0.0544553588243693,0.0365122128278017,96
bert-base-multilingual-cased,ru,NM_vs_MN,0.2747972351498902,0.0559249089404813,0.0379453667749961,96
bert-base-multilingual-cased,ru,NQ_vs_QN,0.6917325792213281,0.0508075062902875,0.2344322074204683,96
bert-base-multilingual-cased,ru,NT_vs_TN,1.1369156887133915,0.1134208949206113,0.6446598471763233,96
bert-base-multilingual-cased,ru,QM_vs_MQ,0.5979962069541216,0.0855899386284414,0.1659354846924543,96
bert-base-multilingual-cased,ru,QT_vs_TQ,0.5078170237441858,0.0491776265902443,0.1261827933291594,96
bert-base-multilingual-cased,zh,MT_vs_TM,0.0,0.0,3.104408582051595e-09,96
bert-base-multilingual-cased,zh,NM_vs_MN,0.0,0.0,-6.829698880513509e-09,96
bert-base-multilingual-cased,zh,NQ_vs_QN,0.6408354869733254,0.0533579081584611,0.2057327652970949,96
bert-base-multilingual-cased,zh,NT_vs_TN,0.7348150176306566,0.0907786991201384,0.2480244096368551,96
bert-base-multilingual-cased,zh,QM_vs_MQ,0.3951253419121106,0.0449072728605443,0.0780543560783068,96
bert-base-multilingual-cased,zh,QT_vs_TQ,0.462177104006211,0.049462191959447,0.1062798742204904,96
distilbert-base-multilingual-cased,ar,MT_vs_TM,0.1094952064255873,0.0358501062930342,0.0065001199642817,96
distilbert-base-multilingual-cased,ar,NM_vs_MN,0.1146950573505212,0.0425140426090354,0.0073108946283658,96
distilbert-base-multilingual-cased,ar,NQ_vs_QN,0.7310201413929462,0.0733759869368235,0.2673742963622014,96
distilbert-base-multilingual-cased,ar,NT_vs_TN,0.7379696338127056,0.0835738816703665,0.2553588325778643,96
distilbert-base-multilingual-cased,ar,QM_vs_MQ,0.5338784207900366,0.0855418301835171,0.1441018792490164,96
distilbert-base-multilingual-cased,ar,QT_vs_TQ,0.7268292003621658,0.0377668341003192,0.242154898121953,96
distilbert-base-multilingual-cased,de,MT_vs_TM,0.2535431544917325,0.0485442700419931,0.0327614073952039,96
distilbert-base-multilingual-cased,de,NM_vs_MN,0.2326837191358208,0.038907512016329,0.027080283810695,96
distilbert-base-multilingual-cased,de,NQ_vs_QN,0.5839786898965637,0.04289608917226,0.1668623605122169,96
distilbert-base-multilingual-cased,de,NT_vs_TN,0.944093968719244,0.0792731951769897,0.4324999588231246,96
distilbert-base-multilingual-cased,de,QM_vs_MQ,0.6157544196272889,0.0598624971972492,0.1890908467272917,96
distilbert-base-multilingual-cased,de,QT_vs_TQ,0.5536877841999134,0.0325238689431636,0.1413852038482825,96
distilbert-base-multilingual-cased,en,MT_vs_TM,0.2782113711970548,0.0457845772733696,0.0392750017344951,96
distilbert-base-multilingual-cased,en,NM_vs_MN,0.2915015152345101,0.0598057811460698,0.0434229429811239,96
distilbert-base-multilingual-cased,en,NQ_vs_QN,0.6298571756730477,0.033458104618525,0.1978123113512992,96
distilbert-base-multilingual-cased,en,NT_vs_TN,0.8665778121600548,0.1159681865565051,0.3740767324343323,96
distilbert-base-multilingual-cased,en,QM_vs_MQ,0.5960346398254236,0.0406450819332392,0.1774858372906843,96
distilbert-base-multilingual-cased,en,QT_vs_TQ,0.4376679416745901,0.0243596370077646,0.0914816701163848,96
distilbert-base-multilingual-cased,es,MT_vs_TM,0.2596794424268107,0.0454863416886809,0.0340356367329756,96
distilbert-base-multilingual-cased,es,NM_vs_MN,0.2309633318024377,0.0418776250321644,0.0271060025940338,96
distilbert-base-multilingual-cased,es,NQ_vs_QN,0.6843625114609798,0.053374266585979,0.2348540586729844,96
distilbert-base-multilingual-cased,es,NT_vs_TN,0.7440173793584108,0.0653486262629383,0.2688131953279177,96
distilbert-base-multilingual-cased,es,QM_vs_MQ,0.5768701986720165,0.0604176286925664,0.1600015722215175,96
distilbert-base-multilingual-cased,es,QT_vs_TQ,0.6207027770578861,0.0850514574362458,0.1934307124465704,96
distilbert-base-multilingual-cased,fr,MT_vs_TM,0.2214080160483718,0.0620209704293927,0.0258002690970897,96
distilbert-base-multilingual-cased,fr,NM_vs_MN,0.1772282576033224,0.0392750783395162,0.0162197779864072,96
distilbert-base-multilingual-cased,fr,NQ_vs_QN,0.648125758394599,0.0444207354642761,0.200535912066698,96
