model,language,template_id,triple,relative_signed_permutation_norm,null_mean,null_std,ratio_to_null_mean,null_percentile_smaller_is_better,p_smaller_or_equal_null
xlm-roberta-base,en,0,NQM,0.393261194229126,0.7999611616134643,0.4446382459562463,0.4916003589917475,19.580000000000002,0.39172165566886624
xlm-roberta-base,en,0,NQT,0.604419469833374,0.9265409650087356,0.40499514053071795,0.6523397158451846,29.91,0.5982803439312138
xlm-roberta-base,en,0,NMT,0.5416868925094604,0.7077482626318932,0.31518506708094435,0.7653666156584149,29.27,0.49250149970005996
xlm-roberta-base,en,0,QMT,0.32838594913482666,0.6871278100013732,0.4375270896261566,0.4779110150318213,29.82,0.5964807038592281
xlm-roberta-base,en,1,NQM,0.3613751232624054,0.6446631008327007,0.3128892312517609,0.5605643052860673,20.13,0.40271945610877824
xlm-roberta-base,en,1,NQT,0.3925289809703827,0.7107395128786563,0.4080568693938309,0.5522824802296399,30.03,0.6006798640271945
xlm-roberta-base,en,1,NMT,0.5018208026885986,0.6326017386078835,0.2854980733216802,0.7932649755154367,20.06,0.4013197360527894
xlm-roberta-base,en,1,QMT,0.39887040853500366,0.7848047057032586,0.5096608547215845,0.5082416117485816,30.53,0.6106778644271146
xlm-roberta-base,en,2,NQM,0.3788083493709564,0.9949782892763614,0.7227111041664532,0.38072021616278634,20.080000000000002,0.40171965606878624
xlm-roberta-base,en,2,NQT,0.6535045504570007,1.0805409423828125,0.5324932383668808,0.6047938813084541,4.94,0.09898020395920816
xlm-roberta-base,en,2,NMT,0.8374614119529724,1.050454136145115,0.4585040934959386,0.7972374834235352,30.150000000000002,0.5016996600679864
xlm-roberta-base,en,2,QMT,0.4670097231864929,0.9992602601110935,0.6554042979232447,0.46735544465073137,9.55,0.1911617676464707
xlm-roberta-base,en,3,NQM,0.40722161531448364,0.8144659711480141,0.4320101770212796,0.4999860396131623,19.52,0.3905218956208758
xlm-roberta-base,en,3,NQT,0.6495673060417175,1.0032394218087197,0.4501079833914999,0.6474698779977949,29.97,0.5994801039792041
xlm-roberta-base,en,3,NMT,0.6749074459075928,0.8792192229032516,0.393741374871049,0.7676213489489314,19.94,0.39892021595680865
xlm-roberta-base,en,3,QMT,0.48225176334381104,0.9382909644126892,0.5718733145908711,0.5139682482663106,29.78,0.5956808638272345
xlm-roberta-base,en,4,NQM,0.44961756467819214,0.9704452406525612,0.5603676764660679,0.46331059790183554,20.17,0.40351929614077187
xlm-roberta-base,en,4,NQT,0.6884934306144714,0.953544351029396,0.34861434276528785,0.72203608554808,30.3,0.6060787842431514
xlm-roberta-base,en,4,NMT,0.8092314004898071,1.0902212571144103,0.4759659323689615,0.7422634581818122,19.7,0.394121175764847
xlm-roberta-base,en,4,QMT,0.5495488047599792,1.026500815999508,0.5814617998486256,0.5353612936238594,44.95,0.5964807038592281
xlm-roberta-base,en,5,NQM,0.3112252354621887,0.7471749489068985,0.4603657225628463,0.4165359611120371,20.240000000000002,0.40491901619676063
xlm-roberta-base,en,5,NQT,0.5420187711715698,0.8944708316326141,0.43576854342140575,0.6059658425995351,30.2,0.6040791841631674
xlm-roberta-base,en,5,NMT,0.5251184701919556,0.6370211120665074,0.28126447074264155,0.8243344847514362,50.34,0.7034593081383723
xlm-roberta-base,en,5,QMT,0.297902375459671,0.5887371804177761,0.3619045533424305,0.5060023137111357,30.27,0.6054789042191562
xlm-roberta-base,en,6,NQM,0.49808168411254883,1.110465307378769,0.6469951425617672,0.44853421426357937,9.88,0.1977604479104179
xlm-roberta-base,en,6,NQT,0.7436142563819885,1.1693174924135208,0.5224834251883955,0.6359387088672566,30.02,0.6004799040191962
xlm-roberta-base,en,6,NMT,0.7095187902450562,0.9958147408246995,0.43121372927319573,0.7125007907160971,20.03,0.40071985602879423
xlm-roberta-base,en,6,QMT,0.4904195964336395,0.9552038491725922,0.5702536957388984,0.5134187816118337,30.0,0.6000799840031994
xlm-roberta-base,en,7,NQM,0.4290716052055359,0.7869269624829293,0.3486564480267609,0.5452495919712479,5.2700000000000005,0.10557888422315537
xlm-roberta-base,en,7,NQT,0.46840885281562805,0.673722096401453,0.2747593396041931,0.6952552919324476,30.150000000000002,0.6030793841231754
xlm-roberta-base,en,7,NMT,0.48455381393432617,0.7000442429423333,0.3012411830428252,0.6921759857591594,19.96,0.3993201359728054
xlm-roberta-base,en,7,QMT,0.3977496027946472,0.8125284314155579,0.5155741622424521,0.4895208431060223,30.16,0.6032793441311738
xlm-roberta-base,en,8,NQM,0.47549310326576233,1.0326209399700166,0.6119301293732328,0.460472071464199,19.76,0.39532093581283745
xlm-roberta-base,en,8,NQT,0.6774907112121582,1.0256057431697845,0.4263152110497478,0.6605761675218524,29.900000000000002,0.5980803839232154
xlm-roberta-base,en,8,NMT,0.6184208393096924,0.8628731244087219,0.375474756529292,0.7166996187681063,19.7,0.394121175764847
xlm-roberta-base,en,8,QMT,0.4599283039569855,0.9121322778046131,0.5581987795731619,0.504234215966428,30.17,0.6034793041391722
xlm-roberta-base,en,9,NQM,0.35630348324775696,0.649289140188694,0.30448444789411055,0.5487593449409313,34.78,0.3977204559088182
xlm-roberta-base,en,9,NQT,0.3921263813972473,0.6458532403945922,0.3077075970048318,0.6071447147297203,54.480000000000004,0.5924815036992601
xlm-roberta-base,en,9,NMT,0.48719877004623413,0.6560432577967644,0.28803095244464055,0.7426320814296377,5.36,0.10737852429514097
xlm-roberta-base,en,9,QMT,0.42583128809928894,0.795268432700634,0.4635413124703104,0.5354560430025906,44.22,0.5982803439312138
xlm-roberta-base,en,10,NQM,0.44407427310943604,0.9348088664054871,0.5391874338689137,0.47504285535556445,19.28,0.3857228554289142
xlm-roberta-base,en,10,NQT,0.6592274904251099,1.0143381561994553,0.44361910661983806,0.6499089937565476,20.79,0.4159168166366727
