model,kind,label,language_a,language_b,centroid_cosine
BAAI/bge-m3,pair_commutator,NT_vs_TN,ar,zh,-0.05035311356186867
BAAI/bge-m3,pair_commutator,NT_vs_TN,de,en,0.16781052947044373
BAAI/bge-m3,pair_commutator,NT_vs_TN,de,es,0.6278550028800964
BAAI/bge-m3,pair_commutator,NT_vs_TN,de,fr,0.5663589835166931
BAAI/bge-m3,pair_commutator,NT_vs_TN,de,ru,0.1810084879398346
BAAI/bge-m3,pair_commutator,NT_vs_TN,de,zh,0.3993576169013977
BAAI/bge-m3,pair_commutator,NT_vs_TN,en,es,0.3649332523345947
BAAI/bge-m3,pair_commutator,NT_vs_TN,en,fr,0.4270700514316559
BAAI/bge-m3,pair_commutator,NT_vs_TN,en,ru,-0.03548223152756691
BAAI/bge-m3,pair_commutator,NT_vs_TN,en,zh,0.3290030360221863
BAAI/bge-m3,pair_commutator,NT_vs_TN,es,fr,0.8782128095626831
BAAI/bge-m3,pair_commutator,NT_vs_TN,es,ru,0.19833792746067047
BAAI/bge-m3,pair_commutator,NT_vs_TN,es,zh,0.2479681372642517
BAAI/bge-m3,pair_commutator,NT_vs_TN,fr,ru,0.03221359848976135
BAAI/bge-m3,pair_commutator,NT_vs_TN,fr,zh,0.2391817271709442
BAAI/bge-m3,pair_commutator,NT_vs_TN,ru,zh,0.036032743752002716
BAAI/bge-m3,pair_commutator,QM_vs_MQ,ar,de,0.295259952545166
BAAI/bge-m3,pair_commutator,QM_vs_MQ,ar,en,0.26471462845802307
BAAI/bge-m3,pair_commutator,QM_vs_MQ,ar,es,0.2719740867614746
BAAI/bge-m3,pair_commutator,QM_vs_MQ,ar,fr,0.27976667881011963
BAAI/bge-m3,pair_commutator,QM_vs_MQ,ar,ru,0.2174282670021057
BAAI/bge-m3,pair_commutator,QM_vs_MQ,ar,zh,0.22839093208312988
BAAI/bge-m3,pair_commutator,QM_vs_MQ,de,en,0.842894434928894
BAAI/bge-m3,pair_commutator,QM_vs_MQ,de,es,0.794043242931366
BAAI/bge-m3,pair_commutator,QM_vs_MQ,de,fr,0.7671946287155151
BAAI/bge-m3,pair_commutator,QM_vs_MQ,de,ru,0.7606602311134338
BAAI/bge-m3,pair_commutator,QM_vs_MQ,de,zh,0.7616292238235474
BAAI/bge-m3,pair_commutator,QM_vs_MQ,en,es,0.8795565366744995
BAAI/bge-m3,pair_commutator,QM_vs_MQ,en,fr,0.8433049321174622
BAAI/bge-m3,pair_commutator,QM_vs_MQ,en,ru,0.6420207023620605
BAAI/bge-m3,pair_commutator,QM_vs_MQ,en,zh,0.7207740545272827
BAAI/bge-m3,pair_commutator,QM_vs_MQ,es,fr,0.8492891788482666
BAAI/bge-m3,pair_commutator,QM_vs_MQ,es,ru,0.6837183237075806
BAAI/bge-m3,pair_commutator,QM_vs_MQ,es,zh,0.6828829050064087
BAAI/bge-m3,pair_commutator,QM_vs_MQ,fr,ru,0.6144100427627563
BAAI/bge-m3,pair_commutator,QM_vs_MQ,fr,zh,0.7086256146430969
BAAI/bge-m3,pair_commutator,QM_vs_MQ,ru,zh,0.7657535076141357
BAAI/bge-m3,pair_commutator,QT_vs_TQ,ar,de,0.05763053894042969
BAAI/bge-m3,pair_commutator,QT_vs_TQ,ar,en,0.06564650684595108
BAAI/bge-m3,pair_commutator,QT_vs_TQ,ar,es,0.030774667859077454
BAAI/bge-m3,pair_commutator,QT_vs_TQ,ar,fr,0.07022197544574738
BAAI/bge-m3,pair_commutator,QT_vs_TQ,ar,ru,0.05112237483263016
BAAI/bge-m3,pair_commutator,QT_vs_TQ,ar,zh,0.03283855319023132
BAAI/bge-m3,pair_commutator,QT_vs_TQ,de,en,0.9145549535751343
BAAI/bge-m3,pair_commutator,QT_vs_TQ,de,es,0.6122530698776245
BAAI/bge-m3,pair_commutator,QT_vs_TQ,de,fr,0.8434550762176514
BAAI/bge-m3,pair_commutator,QT_vs_TQ,de,ru,0.8068498373031616
BAAI/bge-m3,pair_commutator,QT_vs_TQ,de,zh,0.7274113893508911
BAAI/bge-m3,pair_commutator,QT_vs_TQ,en,es,0.7474359273910522
BAAI/bge-m3,pair_commutator,QT_vs_TQ,en,fr,0.8491260409355164
BAAI/bge-m3,pair_commutator,QT_vs_TQ,en,ru,0.8676857948303223
BAAI/bge-m3,pair_commutator,QT_vs_TQ,en,zh,0.7487130761146545
BAAI/bge-m3,pair_commutator,QT_vs_TQ,es,fr,0.753097653388977
BAAI/bge-m3,pair_commutator,QT_vs_TQ,es,ru,0.7253053188323975
BAAI/bge-m3,pair_commutator,QT_vs_TQ,es,zh,0.5645408630371094
BAAI/bge-m3,pair_commutator,QT_vs_TQ,fr,ru,0.7851660251617432
BAAI/bge-m3,pair_commutator,QT_vs_TQ,fr,zh,0.6770566701889038
BAAI/bge-m3,pair_commutator,QT_vs_TQ,ru,zh,0.5786499381065369
BAAI/bge-m3,triple_signed,NMT,ar,de,-0.05673301964998245
BAAI/bge-m3,triple_signed,NMT,ar,en,-0.14928016066551208
BAAI/bge-m3,triple_signed,NMT,ar,es,-0.039185184985399246
BAAI/bge-m3,triple_signed,NMT,ar,fr,-0.060218267142772675
BAAI/bge-m3,triple_signed,NMT,ar,ru,0.06513578444719315
BAAI/bge-m3,triple_signed,NMT,ar,zh,-0.05307026952505112
BAAI/bge-m3,triple_signed,NMT,de,en,0.23029351234436035
BAAI/bge-m3,triple_signed,NMT,de,es,0.6012765765190125
BAAI/bge-m3,triple_signed,NMT,de,fr,0.5672998428344727
BAAI/bge-m3,triple_signed,NMT,de,ru,0.1297481507062912
BAAI/bge-m3,triple_signed,NMT,de,zh,0.4045753479003906
BAAI/bge-m3,triple_signed,NMT,en,es,0.4252389669418335
BAAI/bge-m3,triple_signed,NMT,en,fr,0.4689640700817108
BAAI/bge-m3,triple_signed,NMT,en,ru,-0.07408791780471802
BAAI/bge-m3,triple_signed,NMT,en,zh,0.361250102519989
BAAI/bge-m3,triple_signed,NMT,es,fr,0.8611791133880615
BAAI/bge-m3,triple_signed,NMT,es,ru,0.1722640097141266
BAAI/bge-m3,triple_signed,NMT,es,zh,0.2647166848182678
BAAI/bge-m3,triple_signed,NMT,fr,ru,-0.027099736034870148
BAAI/bge-m3,triple_signed,NMT,fr,zh,0.2765161395072937
BAAI/bge-m3,triple_signed,NMT,ru,zh,-0.023437902331352234
BAAI/bge-m3,triple_signed,NQM,ar,de,-0.13044534623622894
BAAI/bge-m3,triple_signed,NQM,ar,en,-0.2107955366373062
BAAI/bge-m3,triple_signed,NQM,ar,es,-0.19320598244667053
BAAI/bge-m3,triple_signed,NQM,ar,fr,-0.18731854856014252
BAAI/bge-m3,triple_signed,NQM,ar,ru,-0.298105925321579
BAAI/bge-m3,triple_signed,NQM,ar,zh,-0.1880280077457428
BAAI/bge-m3,triple_signed,NQM,de,en,0.7852847576141357
BAAI/bge-m3,triple_signed,NQM,de,es,0.7439200282096863
BAAI/bge-m3,triple_signed,NQM,de,fr,0.7893369197845459
BAAI/bge-m3,triple_signed,NQM,de,ru,0.49516546726226807
BAAI/bge-m3,triple_signed,NQM,de,zh,0.6933742761611938
BAAI/bge-m3,triple_signed,NQM,en,es,0.8627485632896423
BAAI/bge-m3,triple_signed,NQM,en,fr,0.9018718004226685
BAAI/bge-m3,triple_signed,NQM,en,ru,0.5264941453933716
BAAI/bge-m3,triple_signed,NQM,en,zh,0.8724319934844971
BAAI/bge-m3,triple_signed,NQM,es,fr,0.9176319241523743
BAAI/bge-m3,triple_signed,NQM,es,ru,0.4500720500946045
BAAI/bge-m3,triple_signed,NQM,es,zh,0.7943475246429443
BAAI/bge-m3,triple_signed,NQM,fr,ru,0.4949600100517273
BAAI/bge-m3,triple_signed,NQM,fr,zh,0.8278404474258423
BAAI/bge-m3,triple_signed,NQM,ru,zh,0.5190303325653076
BAAI/bge-m3,triple_signed,NQT,ar,de,0.034432634711265564
BAAI/bge-m3,triple_signed,NQT,ar,en,-0.030197927728295326
BAAI/bge-m3,triple_signed,NQT,ar,es,-0.073520228266716
BAAI/bge-m3,triple_signed,NQT,ar,fr,-0.03245951235294342
BAAI/bge-m3,triple_signed,NQT,ar,ru,0.04997650161385536
BAAI/bge-m3,triple_signed,NQT,ar,zh,0.0031813010573387146
BAAI/bge-m3,triple_signed,NQT,de,en,0.7497867345809937
BAAI/bge-m3,triple_signed,NQT,de,es,0.7053742408752441
BAAI/bge-m3,triple_signed,NQT,de,fr,0.7853075265884399
BAAI/bge-m3,triple_signed,NQT,de,ru,0.517016589641571
BAAI/bge-m3,triple_signed,NQT,de,zh,0.5102683305740356
BAAI/bge-m3,triple_signed,NQT,en,es,0.9093905687332153
BAAI/bge-m3,triple_signed,NQT,en,fr,0.9046218991279602
BAAI/bge-m3,triple_signed,NQT,en,ru,0.5373098254203796
BAAI/bge-m3,triple_signed,NQT,en,zh,0.6869769096374512
BAAI/bge-m3,triple_signed,NQT,es,fr,0.8887661695480347
BAAI/bge-m3,triple_signed,NQT,es,ru,0.5403101444244385
BAAI/bge-m3,triple_signed,NQT,es,zh,0.6922658681869507
BAAI/bge-m3,triple_signed,NQT,fr,ru,0.5133174657821655
BAAI/bge-m3,triple_signed,NQT,fr,zh,0.6282387971878052
BAAI/bge-m3,triple_signed,NQT,ru,zh,0.3978736102581024
BAAI/bge-m3,triple_signed,QMT,ar,de,-0.08936690539121628
BAAI/bge-m3,triple_signed,QMT,ar,en,-0.1398097574710846
BAAI/bge-m3,triple_signed,QMT,ar,es,-0.08944925665855408
BAAI/bge-m3,triple_signed,QMT,ar,fr,-0.0626431405544281
BAAI/bge-m3,triple_signed,QMT,ar,ru,-0.10567983239889145
BAAI/bge-m3,triple_signed,QMT,ar,zh,-0.09034396708011627
BAAI/bge-m3,triple_signed,QMT,de,en,0.8734255433082581
BAAI/bge-m3,triple_signed,QMT,de,es,0.3402569890022278
BAAI/bge-m3,triple_signed,QMT,de,fr,0.8756659030914307
BAAI/bge-m3,triple_signed,QMT,de,ru,0.8110849857330322
BAAI/bge-m3,triple_signed,QMT,de,zh,0.4312420189380646
BAAI/bge-m3,triple_signed,QMT,en,es,0.21955591440200806
BAAI/bge-m3,triple_signed,QMT,en,fr,0.8614097833633423
BAAI/bge-m3,triple_signed,QMT,en,ru,0.7870925664901733
BAAI/bge-m3,triple_signed,QMT,en,zh,0.34978675842285156
BAAI/bge-m3,triple_signed,QMT,es,fr,0.337274968624115
BAAI/bge-m3,triple_signed,QMT,es,ru,0.4381946325302124
BAAI/bge-m3,triple_signed,QMT,es,zh,0.1986846923828125
BAAI/bge-m3,triple_signed,QMT,fr,ru,0.7998489737510681
BAAI/bge-m3,triple_signed,QMT,fr,zh,0.34615814685821533
BAAI/bge-m3,triple_signed,QMT,ru,zh,0.39943769574165344
