kind,mean_centroid_cosine,std_centroid_cosine,min_centroid_cosine,max_centroid_cosine,n
pair_commutator,0.2714274151276062,0.3020553728838219,-0.455469399690628,0.9445489645004272,882
triple_signed,0.2552672354710371,0.3145274064179519,-0.3528770804405212,0.9315202832221984,588
