model,language,template_id,pair,relative_commutator_norm,commutator_norm,cosine_ab_ba,noncommutativity
xlm-roberta-base,en,0,NQ_vs_QN,0.7792133092880249,0.6385567784309387,0.6998641490936279,0.30013585090637207
xlm-roberta-base,en,0,NM_vs_MN,0.24590526521205902,0.20716609060764313,0.9725703001022339,0.027429699897766113
xlm-roberta-base,en,0,NT_vs_TN,0.9999791383743286,0.6169732213020325,0.5341416597366333,0.4658583402633667
xlm-roberta-base,en,0,QM_vs_MQ,0.5761533379554749,0.5440400838851929,0.8521085381507874,0.14789146184921265
xlm-roberta-base,en,0,QT_vs_TQ,1.052742838859558,0.8069531917572021,0.5986412763595581,0.4013587236404419
xlm-roberta-base,en,0,MT_vs_TM,0.24186764657497406,0.1978602409362793,0.9731917381286621,0.02680826187133789
xlm-roberta-base,en,1,NQ_vs_QN,0.5458316802978516,0.5607385635375977,0.8516149520874023,0.14838504791259766
xlm-roberta-base,en,1,NM_vs_MN,0.14661762118339539,0.19594471156597137,0.9898924231529236,0.010107576847076416
xlm-roberta-base,en,1,NT_vs_TN,0.7229813933372498,0.7645447850227356,0.8201299905776978,0.17987000942230225
xlm-roberta-base,en,1,QM_vs_MQ,0.39067623019218445,0.46918854117393494,0.9275684356689453,0.07243156433105469
xlm-roberta-base,en,1,QT_vs_TQ,0.7852547764778137,0.7703707218170166,0.8001923561096191,0.19980764389038086
xlm-roberta-base,en,1,MT_vs_TM,0.15990936756134033,0.2515932321548462,0.9879418015480042,0.01205819845199585
xlm-roberta-base,en,2,NQ_vs_QN,0.7402748465538025,0.510456919670105,0.7260879278182983,0.27391207218170166
xlm-roberta-base,en,2,NM_vs_MN,0.27261728048324585,0.18435685336589813,0.9671226143836975,0.03287738561630249
xlm-roberta-base,en,2,NT_vs_TN,1.3202766180038452,0.6718814373016357,0.2117595076560974,0.7882404923439026
xlm-roberta-base,en,2,QM_vs_MQ,0.8902912735939026,0.720268726348877,0.6038238406181335,0.39617615938186646
xlm-roberta-base,en,2,QT_vs_TQ,1.0416100025177002,0.8344210982322693,0.46315211057662964,0.5368478894233704
xlm-roberta-base,en,2,MT_vs_TM,0.21425288915634155,0.1660471111536026,0.978152871131897,0.021847128868103027
xlm-roberta-base,en,3,NQ_vs_QN,0.763746440410614,0.6046632528305054,0.7088140249252319,0.29118597507476807
xlm-roberta-base,en,3,NM_vs_MN,0.30795854330062866,0.22457751631736755,0.9556325078010559,0.04436749219894409
