model,class_a,class_b,pca_dim,bracket_matrix_fro_norm,bracket_bias_norm,bracket_total_norm,normalized_bracket_norm,mean_empirical_bracket_norm,mean_composition_gap
bert-base-uncased,negation,question,32,0.4416388838731777,0.6492215346737213,1.090860418546899,0.04733671021057924,0.8109365549510584,0.8109365549510584
bert-base-uncased,negation,past_to_future,32,0.41479726516397164,0.6104063252841057,1.0252035904480774,0.05281534525420673,0.7690159472058427,0.7690159472058424
bert-base-uncased,negation,certainty_to_uncertainty,32,0.39922353136554,0.3280989322148369,0.7273224635803769,0.03584254847066502,0.5182182488653821,0.5182182488653821
bert-base-uncased,negation,active_to_passive,32,0.44062284639514854,0.39761245502058284,0.8382353014157313,0.052213800337602416,0.6051154730599857,0.6051154730599857
bert-base-uncased,negation,formalization,32,0.31542073686711714,0.42555869950991027,0.7409794363770275,0.04716726098885927,0.5452923551386134,0.5452923551386134
bert-base-uncased,question,past_to_future,32,0.42458225686199164,0.6703286213872008,1.0949108782491925,0.04317361900397884,0.8049709248451672,0.8049709248451672
bert-base-uncased,question,certainty_to_uncertainty,32,0.36057943092342537,0.786031761212996,1.1466111921364215,0.04324916590525808,0.8580731492212924,0.8580731492212923
bert-base-uncased,question,active_to_passive,32,0.42787690586462657,0.6164818872890666,1.0443587931536933,0.049791907536636225,0.7938116861284641,0.7938116861284641
bert-base-uncased,question,formalization,32,0.2776621226526843,0.433116396899388,0.7107785195520724,0.03463047717196275,0.520640843606452,0.5206408436064519
bert-base-uncased,past_to_future,certainty_to_uncertainty,32,0.43300791259072585,0.9372906457201505,1.3702985583108764,0.0613617697329504,1.0110018616330079,1.0110018616330079
bert-base-uncased,past_to_future,active_to_passive,32,0.48236842637622046,0.5338145820515381,1.0161830084277585,0.057517775564703444,0.7694113252438953,0.7694113252438952
bert-base-uncased,past_to_future,formalization,32,0.28122310590775335,0.5373961240439137,0.818619229951667,0.047350791157354494,0.6146226906737985,0.6146226906737985
bert-base-uncased,certainty_to_uncertainty,active_to_passive,32,0.3980751116031276,0.3324181065959382,0.7304932181990658,0.039551978854811015,0.49274472143748227,0.49274472143748216
bert-base-uncased,certainty_to_uncertainty,formalization,32,0.3095596599498962,0.5374271915655787,0.8469868515154749,0.0468644841962047,0.6090408008894621,0.6090408008894621
bert-base-uncased,active_to_passive,formalization,32,0.2790362733489291,0.31347516925468893,0.592511442603618,0.0414392028136573,0.4192613240987838,0.41926132409878375
roberta-base,negation,question,32,0.26215670491239,0.1569610301241756,0.4191177350365656,0.07051972501859846,0.1832028334507886,0.18320283345078867
roberta-base,negation,past_to_future,32,0.23105266403609329,0.21221362947514608,0.44326629351123936,0.0841546892067855,0.22780771417845813,0.22780771417845813
roberta-base,negation,certainty_to_uncertainty,32,0.5522319136686875,0.30458712088736045,0.856819034556048,0.12636269713502962,0.3430356598222822,0.3430356598222822
roberta-base,negation,active_to_passive,32,0.20214600413762795,0.23223301572531324,0.4343790198629412,0.09859305674810931,0.2458588714653718,0.2458588714653718
roberta-base,negation,formalization,32,0.10458107912766532,0.13936297718912194,0.24394405631678726,0.07267686607415733,0.14557479095090647,0.14557479095090645
roberta-base,question,past_to_future,32,0.2309478602618042,0.22708819499335256,0.4580360552551568,0.08080942081794591,0.24183764929072396,0.24183764929072396
roberta-base,question,certainty_to_uncertainty,32,0.39118368090717615,0.24966711110299858,0.6408507920101747,0.0878284913266664,0.29108910155220324,0.29108910155220324
roberta-base,question,active_to_passive,32,0.17117743342627614,0.20674207762968214,0.3779195110559583,0.07971233311731415,0.2169182058296345,0.2169182058296345
roberta-base,question,formalization,32,0.10616919537495922,0.11625860728833584,0.22242780266329507,0.0615805748059027,0.12331316430384907,0.12331316430384905
roberta-base,past_to_future,certainty_to_uncertainty,32,0.45781951046388736,0.2880102737917171,0.7458297842556045,0.11533397503600627,0.335588208565221,0.335588208565221
roberta-base,past_to_future,active_to_passive,32,0.15164265231214763,0.23165656419122563,0.3832992165033733,0.09122275385260777,0.24065035557390946,0.24065035557390946
roberta-base,past_to_future,formalization,32,0.11842466434061968,0.1276443162344432,0.24606898057506288,0.07686888424946665,0.13450220479868383,0.13450220479868383
roberta-base,certainty_to_uncertainty,active_to_passive,32,0.22970297021214367,0.6131194372494956,0.8428224074616393,0.1558179511455562,0.617199067488031,0.617199067488031
roberta-base,certainty_to_uncertainty,formalization,32,0.1538324232724841,0.2150104486211299,0.368842871893614,0.08950581907319265,0.21873899478918776,0.21873899478918776
roberta-base,active_to_passive,formalization,32,0.08587572719864915,0.11775317099537577,0.2036288981940249,0.07604961101697752,0.12204133409133514,0.12204133409133514
distilroberta-base,negation,question,32,0.11262558018633767,0.14376118107963776,0.2563867612659754,0.05915841839305878,0.14675336307981354,0.14675336307981354
distilroberta-base,negation,past_to_future,32,0.0843001452238654,0.04710834666983443,0.13140849189369985,0.04095817994910285,0.05676071779223747,0.056760717792237486
distilroberta-base,negation,certainty_to_uncertainty,32,0.0738651232201764,0.1309620496436261,0.20482717286380248,0.05800571061583478,0.1329983899816399,0.13299838998163988
distilroberta-base,negation,active_to_passive,32,0.09980430428209454,0.12751227616308305,0.2273165804451776,0.06464736713361871,0.1330923097429371,0.1330923097429371
distilroberta-base,negation,formalization,32,0.07616019980623943,0.0884531202922886,0.16461332009852803,0.058604436857130536,0.0913044487878601,0.09130444878786009
distilroberta-base,question,past_to_future,32,0.09350770778129938,0.09962099743886116,0.19312870522016054,0.055673258318133294,0.10418266571952091,0.1041826657195209
distilroberta-base,question,certainty_to_uncertainty,32,0.07249913686419084,0.06350313448602471,0.13600227135021553,0.03562147793913092,0.06817373166515563,0.06817373166515563
distilroberta-base,question,active_to_passive,32,0.09439731136212445,0.11095240043081167,0.20534971179293612,0.05401276593744163,0.11760625028170264,0.11760625028170264
distilroberta-base,question,formalization,32,0.061652206090416925,0.09261972943982068,0.1542719355302376,0.050796646631470835,0.09542973327986418,0.09542973327986419
distilroberta-base,past_to_future,certainty_to_uncertainty,32,0.06563644328353974,0.07608218697100325,0.14171863025454298,0.050140536819777384,0.07985427281921834,0.07985427281921835
distilroberta-base,past_to_future,active_to_passive,32,0.08268478000260478,0.060572772434288255,0.14325755243689303,0.05089980367114083,0.07062002630054434,0.07062002630054434
distilroberta-base,past_to_future,formalization,32,0.0568943298415028,0.08523524314362539,0.14212957298512818,0.06321626403655474,0.0868686766495,0.0868686766495
distilroberta-base,certainty_to_uncertainty,active_to_passive,32,0.06369630868738474,0.09441636129484128,0.158112669982226,0.05104241510148289,0.09660070052839852,0.09660070052839852
distilroberta-base,certainty_to_uncertainty,formalization,32,0.058942782125816266,0.048766302196567274,0.10770908432238355,0.043527394461574095,0.052005912759398164,0.05200591275939813
distilroberta-base,active_to_passive,formalization,32,0.06660477243335795,0.08113014483388915,0.1477349172672471,0.05995563923738,0.08388282365616553,0.08388282365616553
distilgpt2,negation,question,32,0.741846090364077,2.274176314176796,3.016022404540873,0.04407027033845209,2.5617790742877746,2.561779074287774
distilgpt2,negation,past_to_future,32,0.52547717582643,2.2147837985904757,2.7402609744169055,0.02966709167747347,2.330702000477265,2.330702000477265
distilgpt2,negation,certainty_to_uncertainty,32,1.719734116573241,4.621698711224497,6.341432827797738,0.061113454767170894,4.975796736651457,4.975796736651457
distilgpt2,negation,active_to_passive,32,1.56325220945405,2.7376551765384796,4.300907385992529,0.047163951114352336,3.7345151739421585,3.7345151739421576
distilgpt2,negation,formalization,32,1.4000850503506412,5.865862142347918,7.26594719269856,0.07741777077796595,7.070502658761114,7.070502658761113
distilgpt2,question,past_to_future,32,0.3872804747432095,1.9019058678650596,2.289186342608269,0.03496437301337736,2.121648396236269,2.121648396236268
distilgpt2,question,certainty_to_uncertainty,32,1.3295064075350678,3.697010691274568,5.026517098809636,0.06834050026920421,4.0643683955346654,4.0643683955346654
distilgpt2,question,active_to_passive,32,0.967126714891521,2.4935228257922257,3.4606495406837467,0.05353887744518237,3.273040338101799,3.2730403381017994
distilgpt2,question,formalization,32,1.337356600608611,4.337505092003985,5.6748616926125965,0.08530318691077461,5.645693821894611,5.6456938218946116
distilgpt2,past_to_future,certainty_to_uncertainty,32,0.9695210309118593,2.6822453333899157,3.651766364301775,0.036786279833445235,3.0086788958202626,3.0086788958202626
distilgpt2,past_to_future,active_to_passive,32,1.000410762144322,3.314477341976554,4.314888104120875,0.049459881900824794,3.8228957133013037,3.8228957133013037
distilgpt2,past_to_future,formalization,32,1.093036126938395,5.7968795139973714,6.889915640935767,0.07673540267731645,6.516625090109404,6.516625090109404
distilgpt2,certainty_to_uncertainty,active_to_passive,32,2.1278541170003678,4.708889794985403,6.836743911985771,0.06975883844454142,5.509166385043262,5.509166385043263
distilgpt2,certainty_to_uncertainty,formalization,32,1.2184740245104857,4.4750653607739,5.693539385284386,0.05644566474797954,4.9668211662194075,4.9668211662194075
distilgpt2,active_to_passive,formalization,32,1.9690060176952757,3.500333984217947,5.469340001913222,0.06169981132533978,6.441461378664796,6.441461378664797
gpt2,negation,question,32,0.8557951335479365,3.748852322478412,4.604647456026348,0.013179951395181213,4.684784728918344,4.684784728918345
gpt2,negation,past_to_future,32,1.945333913309575,3.4580188940673544,5.40335280737693,0.017350067619153666,5.2871518460464575,5.2871518460464575
gpt2,negation,certainty_to_uncertainty,32,2.015229854269939,11.037982149562191,13.05321200383213,0.06344234074199198,12.158165407184852,12.158165407184852
gpt2,negation,active_to_passive,32,3.1075969697622545,7.155406577424807,10.263003547187061,0.032806618961933876,10.401442798368317,10.401442798368317
gpt2,negation,formalization,32,4.25823997781765,10.449526464578831,14.70776644239648,0.02977535344422589,13.594294229630192,13.594294229630192
gpt2,question,past_to_future,32,1.9773300328474521,2.0968664453892196,4.074196478236672,0.0157285167092285,5.433193114463705,5.433193114463707
gpt2,question,certainty_to_uncertainty,32,2.076515560864495,10.256096103247339,12.332611664111834,0.07206507045479106,10.82223727719108,10.82223727719108
gpt2,question,active_to_passive,32,2.5548864072602573,6.43720043395309,8.992086841213347,0.034558544302682445,9.853652396991937,9.853652396991935
gpt2,question,formalization,32,3.2616438893864763,7.862740963437949,11.124384852824425,0.027076601820749783,12.056338651349884,12.056338651349884
gpt2,past_to_future,certainty_to_uncertainty,32,1.9972133859017047,9.685640965376791,11.682854351278497,0.07658419369860578,11.343615021367553,11.343615021367551
gpt2,past_to_future,active_to_passive,32,4.742750614137687,8.284853033689977,13.027603647827664,0.05616682929630461,12.301259187930308,12.301259187930308
gpt2,past_to_future,formalization,32,4.550819030152061,3.065247871278353,7.616066901430414,0.02079549806634398,12.435188164972763,12.435188164972764
gpt2,certainty_to_uncertainty,active_to_passive,32,2.657568480793974,7.661100707048044,10.31866918784202,0.06733843524162117,9.602688142280691,9.60268814228069
gpt2,certainty_to_uncertainty,formalization,32,1.9448617055908568,5.424032193909976,7.368893899500833,0.03045543729152092,6.416917807632168,6.416917807632167
gpt2,active_to_passive,formalization,32,3.8072861952033703,10.044710295746214,13.851996490949585,0.03765304454444398,17.260671403165524,17.26067140316552
